layout,method,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,write_samples,write_min_us,write_mean_us,write_stddev_us,write_max_us,write_p01_us,write_p05_us,write_p25_us,write_p50_us,write_p75_us,write_p90_us,write_p95_us,write_p99_us,write_p999_us,write_over_1000us_pct,write_over_2000us_pct,write_over_5000us_pct,write_over_10000us_pct,sync_samples,sync_min_us,sync_mean_us,sync_stddev_us,sync_max_us,sync_p01_us,sync_p05_us,sync_p25_us,sync_p50_us,sync_p75_us,sync_p90_us,sync_p95_us,sync_p99_us,sync_p999_us,sync_over_1000us_pct,sync_over_2000us_pct,sync_over_5000us_pct,sync_over_10000us_pct
initialized,direct-dsync,6000,57.118,66.118491,32.54434028171799,1286.622,58.50067,61.3968,62.65175,63.164,64.17224999999999,68.88629999999999,72.7287,87.90920000000011,644.1615140000121,0.05,0.0,0.0,0.0,6000,57.061,66.06375533333333,32.54442464129309,1286.537,58.44566,61.3533,62.595,63.108,64.12225000000001,68.832,72.67190000000001,87.80687000000013,644.1255140000121,0.05,0.0,0.0,0.0,6000,0.035,0.05473566666666666,0.00639109754963018,0.12,0.035,0.036,0.054,0.056,0.057,0.057,0.057,0.06601000000000022,0.11000100000000021,0.0,0.0,0.0,0.0
initialized,direct-dsync-fdatasync,6000,809.707,1119.3063785,325.4749878728516,4150.922,833.71243,877.18835,915.4625,959.4190000000001,1369.786,1674.6614000000002,1789.1144500000003,1940.7180300000016,3036.672630000002,32.03333333333333,0.8,0.0,0.0,6000,291.336,450.27727316666665,232.0874907319498,1786.794,306.20595000000003,312.47679999999997,327.94875,368.42650000000003,390.85850000000005,819.9764,913.94695,1284.4847100000002,1496.901004000018,4.616666666666666,0.0,0.0,0.0,6000,483.543,669.0291053333334,250.31917884930346,3761.682,505.70063,524.923,576.66275,591.184,619.02475,759.4097000000007,1365.2498,1511.37899,2603.77504800001,9.1,0.21666666666666667,0.0,0.0
initialized,direct-fdatasync,6000,795.146,1129.6274525,406.8507903735153,19044.726,830.92783,880.6384499999999,917.835,965.19,1374.324,1683.8984,1793.83565,1984.5905300000018,3239.7605780000185,34.13333333333333,0.95,0.016666666666666666,0.016666666666666666,6000,291.098,453.2108535,232.84760721568455,2505.603,305.66188,312.1079,327.804,370.62800000000004,395.50675,826.4724,925.6056500000001,1285.7224800000001,1442.3078840000005,4.766666666666667,0.016666666666666666,0.0,0.0,6000,476.786,676.416599,342.57884912247215,18245.487,506.12477,526.7800500000001,579.0325,593.8130000000001,623.68725,798.9249000000012,1370.8970000000002,1536.1317900000001,2474.5186150000072,9.383333333333333,0.3333333333333333,0.016666666666666666,0.016666666666666666
initialized,uring-direct-dsync,6000,60.396,64.9347825,14.894360971886657,707.134,61.43698,61.941,62.58675,63.102,64.24725000000001,68.729,72.05405,78.95949000000002,169.07318800000024,0.0,0.0,0.0,0.0,6000,60.344,64.87932016666666,14.893900027639726,707.071,61.38299,61.886,62.53275,63.0475,64.19425,68.6703,71.99634999999999,78.90649000000002,169.02118800000025,0.0,0.0,0.0,0.0,6000,0.052,0.055462333333333336,0.008649272487068238,0.43,0.052,0.052,0.053,0.053,0.056,0.061,0.064,0.085,0.13200300000000062,0.0,0.0,0.0,0.0
raw,direct-dsync,6000,659.126,1129.9773743333333,733.7376834114198,49307.716,822.68182,869.26325,908.246,956.038,1359.77275,1704.0537,1793.5095500000002,2011.5111500000003,5484.718990000354,32.4,1.05,0.11666666666666667,0.016666666666666666,6000,659.058,1129.9347553333332,733.7357698008346,49307.645,822.58641,869.2072499999999,908.19525,955.9955,1359.6905,1704.0141,1793.4745,2011.4533700000004,5484.625853000354,32.38333333333333,1.0333333333333334,0.11666666666666667,0.016666666666666666,6000,0.035,0.042619,0.01790718214385874,0.427,0.035,0.035,0.036,0.036,0.037,0.058,0.071,0.099,0.24800600000000123,0.0,0.0,0.0,0.0
raw,direct-dsync-fdatasync,6000,915.51,1313.0104458333333,414.1520724452035,8019.479,963.65936,1003.85645,1060.84525,1111.838,1610.9445,1839.5289,1930.2224999999999,2571.294030000001,5069.4437270000535,95.63333333333334,3.2,0.11666666666666667,0.0,6000,795.518,1150.3130276666668,381.91226788972693,6390.075,821.38198,863.3608499999999,910.7262499999999,955.3525,1454.02925,1685.2560999999998,1761.70245,2197.9202800000135,4056.225899000051,35.583333333333336,1.55,0.06666666666666667,0.0,6000,99.835,162.69741816666667,103.69880002489568,3017.963,106.43795,113.3868,136.98575,152.3955,165.21275,187.2067,221.10430000000002,413.21590000000003,2046.2842290000317,0.25,0.11666666666666667,0.0,0.0
raw,direct-fdatasync,6000,601.247,1130.0091725,346.4773963909071,4093.889,829.23583,872.2309,914.13225,955.408,1378.455,1718.4793,1802.9633000000001,2090.243980000001,3125.233223000004,34.31666666666667,1.35,0.0,0.0,6000,253.897,445.16276433333337,231.77406246022323,1606.99,301.48651,308.39979999999997,324.52299999999997,358.2445,383.9695,812.7833,908.076,1256.6453900000006,1419.5521710000007,4.8,0.0,0.0,0.0,6000,291.64,684.8464081666667,277.7951267581937,3742.885,503.86677000000003,529.9033,575.5174999999999,594.262,629.663,984.0428,1407.51315,1689.9115400000017,2680.1069910000147,9.966666666666667,0.5833333333333334,0.0,0.0
raw,uring-direct-dsync,6000,56.808,68.25134216666667,51.27839482909044,1425.328,58.083940000000005,60.55495,62.433,62.903,63.61125,68.2524,72.74455,154.48392,923.2760130000515,0.1,0.0,0.0,0.0,6000,56.755,68.1955145,51.27587083295407,1425.166,58.03094,60.502,62.378,62.847,63.55525,68.1993,72.6849,154.43093000000002,923.1769840000516,0.1,0.0,0.0,0.0,6000,0.052,0.05582766666666667,0.047941627366575236,3.705,0.052,0.052,0.052,0.053,0.054,0.058,0.072,0.08601000000000021,0.15600200000000042,0.0,0.0,0.0,0.0
