worker,placement,transport,mtu,bytes,packet_bytes,retry_us,device,method,layout,filesystem,surviving_only,key,node,role,stage,repeat,run,samples,leader_az,follower_azs,command,device_path,warmup,verified_records,remote_voters,fragments_per_record,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,file,started,ended,recovered_records,retried_packets,all_samples,all_min_us,all_mean_us,all_stddev_us,all_max_us,all_p01_us,all_p05_us,all_p25_us,all_p50_us,all_p75_us,all_p90_us,all_p95_us,all_p99_us,all_p999_us,all_over_1000us_pct,all_over_2000us_pct,all_over_5000us_pct,all_over_10000us_pct
use1-az4,good,udp,1500,8192,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-7610fd0b31026370-r0,2,leader,screen,0,1544054532868339684,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '8192', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-7610fd0b31026370-r0.csv', '1544054532868339684', '1472', '2000']",/dev/nvme3n1,64,2064,2,6,470.541,513.253313,29.51072021130679,591.732,475.50454,478.1539,484.6875,500.5095,540.78225,550.2664,555.3063,567.3930300000001,587.750562,0.0,0.0,0.0,0.0,screen-7610fd0b31026370-r0.csv.gz,1789405360.2200875,1789405361.578204,2064,0,2000,485.42,572.1897885000001,37.54104630848437,958.127,494.11043,509.13925,546.7345,556.3115,606.29475,618.2871,624.3854,645.87956,708.7168029999996,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,65536,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-30dbb64d4ae329ab-r0,2,leader,screen,0,14018427340049298055,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-30dbb64d4ae329ab-r0.csv', '14018427340049298055', '8973', '2000']",/dev/nvme3n1,64,2064,2,8,475.338,552.12333,28.581927463400717,671.641,483.18577999999997,507.96755,538.29525,543.6220000000001,561.5405000000001,602.0154,607.55425,633.93621,663.209125,0.0,0.0,0.0,0.0,screen-30dbb64d4ae329ab-r0.csv.gz,1789405373.8729768,1789405375.5081003,2064,0,2000,543.815,632.6091015,56.69979057108763,881.547,548.67394,551.6654500000001,578.5414999999999,629.1575,676.05125,692.8977000000001,701.7588000000001,805.00245,833.9798539999994,0.0,0.0,0.0,0.0
use1-az4,good,tcp,9001,512,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-8e9a4ad25c98ae04-r0,2,leader,screen,0,5399777292175383548,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '512', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-8e9a4ad25c98ae04-r0.csv', '5399777292175383548', '8973', '2000']",/dev/nvme3n1,64,2064,2,1,465.928,483.19628850000004,20.426808185232165,760.912,469.04994,470.73650000000004,473.39125,475.7045,480.06725,526.9517,533.98805,543.1151500000001,556.9619369999999,0.0,0.0,0.0,0.0,screen-8e9a4ad25c98ae04-r0.csv.gz,1789405376.9475534,1789405378.1436193,2064,0,2000,479.828,502.17275550000005,23.61098430338557,761.719,484.03078,485.81190000000004,489.4065,493.22249999999997,500.1985,548.6641000000001,559.2647,573.40683,603.2186619999998,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,4096,8973,2000,gp3,buffered-fdatasync,extend,ordered,False,screen-abd7e2da278efcb9-r0,2,leader,screen,0,10761623889931639541,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/mnt/sixdb-cft-gp3/wal.dat', 'buffered-fdatasync', 'extend', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-abd7e2da278efcb9-r0.csv', '10761623889931639541', '8973', '2000']",/dev/nvme1n1,64,2064,2,1,2099.641,3141.730485,151.52221426600053,4576.974,2613.29727,2728.4726,3146.69325,3179.517,3205.1952499999998,3227.7745,3244.1802,3273.05366,3406.943573999982,100.0,100.0,0.0,0.0,screen-abd7e2da278efcb9-r0.csv.gz,1789405378.9984539,1789405387.018937,2064,3839,2000,3046.808,3315.0182295,88.49439623243288,4905.93,3144.9948799999997,3187.7773,3272.9300000000003,3313.6975,3348.52775,3403.1814,3443.5123,3516.0350399999998,4166.20721499999,100.0,100.0,0.0,0.0
use1-az4,good,tcp,1500,65536,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-d0865fce2b122186-r0,2,leader,screen,0,18337728322631150719,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-d0865fce2b122186-r0.csv', '18337728322631150719', '1472', '2000']",/dev/nvme3n1,64,2064,2,1,501.12,584.5138314999999,37.56548592174881,1267.191,511.39567,545.6671,558.366,575.715,603.76325,639.5418000000001,649.33695,677.26176,717.6949219999989,0.05,0.0,0.0,0.0,screen-d0865fce2b122186-r0.csv.gz,1789405389.294275,1789405391.1067407,2064,0,2000,571.172,704.8937615,33.39513029632641,1267.258,618.0343099999999,670.76035,693.79625,701.511,710.5025,731.8129000000001,770.6369,814.0427099999999,882.8395539999991,0.05,0.0,0.0,0.0
use1-az4,good,tcp,1500,8192,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-22face0660469f0f-r0,2,leader,screen,0,10766725636052600439,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '8192', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-22face0660469f0f-r0.csv', '10766725636052600439', '1472', '2000']",/dev/nvme3n1,64,2064,2,1,452.319,546.010553,39.214539592225115,646.155,459.66499,479.9971,516.864,548.981,569.89,608.9833,613.35555,624.81092,638.819172,0.0,0.0,0.0,0.0,screen-22face0660469f0f-r0.csv.gz,1789405398.314063,1789405399.7409005,2064,0,2000,486.465,604.4290085,30.80815931749944,743.479,523.74362,547.6345,577.05375,611.658,621.72975,634.101,639.09625,666.1981400000001,740.856125,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,4096,8973,2000,io2,direct-dsync,initialized,ordered-tuned,False,screen-3f67d2412d726f14-r0,2,leader,screen,0,1719476791889968242,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/mnt/sixdb-cft-io2/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-3f67d2412d726f14-r0.csv', '1719476791889968242', '8973', '2000']",/dev/nvme2n1,64,2064,2,1,656.239,735.589514,32.68169572748336,898.784,675.87644,687.4051,713.63775,732.4705,753.6804999999999,777.8717,792.0424999999999,829.39365,884.8626169999999,0.0,0.0,0.0,0.0,screen-3f67d2412d726f14-r0.csv.gz,1789405404.2259138,1789405406.4807825,2064,0,2000,706.944,793.9118275,55.058590124482336,1314.612,720.09721,731.75995,758.59825,783.4035,814.46625,853.9612000000001,885.42495,993.7344599999999,1176.6721859999996,1.0,0.0,0.0,0.0
use1-az4,good,tcp,9001,65536,8973,2000,nvme,buffered-fdatasync,extend,ordered,False,screen-c21c758873332e03-r0,2,leader,screen,0,8744275882153098910,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'buffered-fdatasync', 'extend', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-c21c758873332e03-r0.csv', '8744275882153098910', '8973', '2000']",/dev/nvme3n1,64,2064,2,1,539.227,641.8926315,86.83751925170196,872.008,544.35488,549.8476499999999,596.22925,608.4125,670.0350000000001,803.0611,812.9475,837.56326,853.3377469999999,0.0,0.0,0.0,0.0,screen-c21c758873332e03-r0.csv.gz,1789405408.357837,1789405410.5069332,2064,0,2000,862.929,891.7602284999999,14.908772123092085,1009.382,871.0238300000001,874.0563500000001,880.2025,888.13,900.3589999999999,911.5481,921.15865,934.79778,964.0328399999997,0.05,0.0,0.0,0.0
use1-az4,good,udp,9001,65536,8973,2000,nvme,direct-fdatasync,initialized,ordered-tuned,False,screen-c1ae2d9fe19b615b-r0,2,leader,screen,0,11723149076619527371,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-fdatasync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-c1ae2d9fe19b615b-r0.csv', '11723149076619527371', '8973', '2000']",/dev/nvme3n1,64,2064,2,8,568.128,643.1074605,40.41965921406859,1787.787,572.09955,580.68525,627.03625,632.0844999999999,657.6895,691.4214999999999,695.5994000000001,720.66561,772.617847,0.05,0.0,0.0,0.0,screen-c1ae2d9fe19b615b-r0.csv.gz,1789405410.9362948,1789405412.7462955,2064,0,2000,678.592,703.457271,34.41972631104958,1788.677,681.29699,683.9685499999999,689.7149999999999,695.412,711.7697499999999,724.3221000000001,730.42935,820.28426,862.5958389999935,0.1,0.0,0.0,0.0
use1-az4,good,udp,9001,512,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-da35030cc9f81789-r0,2,leader,screen,0,18092415815250979529,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '512', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-da35030cc9f81789-r0.csv', '18092415815250979529', '8973', '2000']",/dev/nvme3n1,64,2064,2,1,469.886,486.4705565,21.13025576714129,558.812,472.54457,473.6773,475.916,478.564,482.70574999999997,536.2222,542.54155,548.7376399999999,556.933034,0.0,0.0,0.0,0.0,screen-da35030cc9f81789-r0.csv.gz,1789405414.1529744,1789405415.3691564,2064,0,2000,504.664,519.86596,21.403728448132583,997.179,506.20484,507.632,510.15075,512.812,516.915,561.8593000000001,566.48475,580.0801299999999,590.5270169999998,0.0,0.0,0.0,0.0
