case,median_ns_tuple,min_ns_tuple,max_ns_tuple,samples_ns_tuple
edge/143/select1/direct/read_sum/1024/min_time:0.015/repeats:5,0.5632213207585329,0.5572480675597785,0.5694381829795268,"[0.5632213207585329, 0.5694381829795268, 0.55811706526099, 0.5572480675597785, 0.5655759621963884]"
edge/143/select1/direct/read_sum/65536/min_time:0.015/repeats:5,0.7113159077848485,0.7012764701705814,0.7131461325927011,"[0.7124903413276352, 0.7113159077848485, 0.7012764701705814, 0.7082982833772653, 0.7131461325927011]"
edge/143/select1/direct/materialize/1024/min_time:0.015/repeats:5,0.65523605561481,0.6528912517841589,0.6581169651539868,"[0.6528912517841589, 0.6534592174890788, 0.6576829952415876, 0.65523605561481, 0.6581169651539868]"
edge/143/select1/direct/materialize/65536/min_time:0.015/repeats:5,0.9066175934435429,0.8933273062339719,0.9138888927105236,"[0.908631145646455, 0.9138888927105236, 0.901931357449068, 0.8933273062339719, 0.9066175934435429]"
edge/143/select1/direct/replace/1024/min_time:0.015/repeats:5,0.40596162016437953,0.40481256179705855,0.4091930849091586,"[0.40517708719564854, 0.406204617785193, 0.4091930849091586, 0.40481256179705855, 0.40596162016437953]"
edge/143/select1/direct/replace/65536/min_time:0.015/repeats:5,0.9403577692210925,0.93819501203329,0.9546134890545313,"[0.9403577692210925, 0.9396533447574068, 0.9420559818462556, 0.93819501203329, 0.9546134890545313]"
edge/143/select1/bound/read_sum/1024/min_time:0.015/repeats:5,1.02290247254848,1.013684659264698,1.05097408928244,"[1.02290247254848, 1.0231792339573, 1.05097408928244, 1.0217494991435718, 1.013684659264698]"
edge/143/select1/bound/read_sum/65536/min_time:0.015/repeats:5,1.0439635809976198,1.0375321246991476,1.0588121760668305,"[1.0588121760668305, 1.0435117559087956, 1.0444838538814667, 1.0439635809976198, 1.0375321246991476]"
edge/143/select1/bound/materialize/1024/min_time:0.015/repeats:5,0.9959013420028847,0.9898288475716871,1.0149276742015398,"[0.9943449206249646, 0.9959013420028847, 1.0149276742015398, 0.9898288475716871, 0.9976640443621746]"
edge/143/select1/bound/materialize/65536/min_time:0.015/repeats:5,1.0306522188204452,1.0088998497860333,1.0532255108230435,"[1.0269891610306543, 1.0306522188204452, 1.0331066789894612, 1.0532255108230435, 1.0088998497860333]"
edge/143/select1/bound/replace/1024/min_time:0.015/repeats:5,0.9874229198115427,0.9817124811307356,0.9893519975617461,"[0.9893519975617461, 0.9883634805381268, 0.9832614557044216, 0.9817124811307356, 0.9874229198115427]"
edge/143/select1/bound/replace/65536/min_time:0.015/repeats:5,1.3383481757118136,1.3306574406476384,1.3591726799086488,"[1.3389508928571452, 1.3383481757118136, 1.3306574406476384, 1.3591726799086488, 1.3340541294642871]"
edge/control/select1/unpacked/read_sum/1024/min_time:0.015/repeats:5,0.6492785929696788,0.6448946901799604,0.6514281692057632,"[0.6511931796889201, 0.6448946901799604, 0.6492785929696788, 0.6514281692057632, 0.6450616328963855]"
edge/control/select1/unpacked/read_sum/65536/min_time:0.015/repeats:5,0.7990810484878332,0.795710151290264,0.8120225490340164,"[0.8026927377243517, 0.8120225490340164, 0.7964070016140569, 0.795710151290264, 0.7990810484878332]"
edge/control/select1/unpacked/materialize/1024/min_time:0.015/repeats:5,0.6594168141812958,0.6537268319147972,0.6703723545239466,"[0.6594168141812958, 0.6703723545239466, 0.6537268319147972, 0.6540299070261041, 0.6618732568055997]"
edge/control/select1/unpacked/materialize/65536/min_time:0.015/repeats:5,0.9982935267857203,0.9954305609471986,1.0059624902950275,"[0.9982935267857203, 0.9955235830745423, 0.9954305609471986, 1.0059624902950275, 1.0000748253105527]"
edge/control/select1/unpacked/replace/1024/min_time:0.015/repeats:5,0.4492774289117436,0.4466275347915244,0.4533251999035014,"[0.4533251999035014, 0.4483789027060701, 0.45230497724323543, 0.4492774289117436, 0.4466275347915244]"
edge/control/select1/unpacked/replace/65536/min_time:0.015/repeats:5,0.807241769563357,0.8014917497793825,0.8090918342509906,"[0.8052090027913396, 0.8077726023011728, 0.8090918342509906, 0.807241769563357, 0.8014917497793825]"
edge/143/select2/direct/read_sum/1024/min_time:0.015/repeats:5,0.5292151915535347,0.5283913847323832,0.5337510657017852,"[0.5283913847323832, 0.5337510657017852, 0.5292151915535347, 0.5291727975903604, 0.5303104876863157]"
edge/143/select2/direct/read_sum/65536/min_time:0.015/repeats:5,0.7104276855896671,0.7069157851528344,0.7121137028136191,"[0.7120741865201597, 0.7074707077849283, 0.7104276855896671, 0.7069157851528344, 0.7121137028136191]"
