node,tx,n,p50_us,p99_us,max_us
0,0,20480,8.5335,16.395259999999993,207.6105
0,1,20480,2.368,5.208679999999993,14.613
1,0,20480,9.2895,18.06709499999998,967.2355
1,1,20480,2.64175,6.245814999999999,13.82
2,0,20480,7.99625,15.303389999999993,75.791
2,1,20480,2.2215,5.082314999999999,18.288
3,0,20480,8.455,15.025049999999995,2524.79
3,1,20480,2.256,5.205179999999993,18.7965
4,0,20480,9.2345,20.2645,357.8785
4,1,20480,2.536,6.874049999999996,21.556
5,0,20480,7.7865,15.269384999999984,480.4325
5,1,20480,2.21425,4.836814999999999,41.111
6,0,20480,6.2105,10.25841499999999,109.6495
6,1,20480,1.5135,2.684524999999998,65.7885
7,0,20480,8.80875,16.547049999999995,232.774
7,1,20480,2.5075,5.241314999999998,15.287
