src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,baseline_flow,baseline_holdout_worst_p50_us,baseline_holdout_request_p50_us,holdout_worst_gain_vs_flow0_us,holdout_request_gain_vs_flow0_us
0,4,az2a,az4a,2,4,0,all-legs,3,0,206.43911953594494,201.84134927953204,,210.96346270638148,205.51506317040318,,259.04854410648784,237.54500500542423,,153.30790524764762,158.43885610185188,,261.91437492687686,250.55726482742745,,406.12475,1.5268101884541352,0,201.84134927953204,,0.0,
0,5,az2a,az4b,2,4,4,all-legs,3,0,168.06002135975552,166.7124691500823,,171.18957964621083,169.61822927652548,,174.05636713776076,175.56356642236202,,128.72387575285288,122.96862526286289,,224.0707974242743,210.86796629899902,,343.28650000000005,0.693457232452829,0,166.03579714707467,,-0.6766720030076385,
0,6,az2a,az4c,2,4,4,all-legs,3,0,98.69112488936398,97.82600593223725,,100.57205338094361,100.82077924845986,,166.1315647261337,105.15376278042105,,58.105561568318315,42.984941092092136,,152.2914852097598,153.70625283578585,,197.56725,0.49457048448749674,0,98.79546919871638,,0.9694632664791243,
0,7,az2a,az4d,2,4,7,all-legs,3,0,123.13037162280824,119.11282631796465,,127.82660738093108,122.05351147291465,,141.6614389368044,127.12710357446066,,75.97460676231229,80.14231901481486,,179.77912492207201,160.08471021716716,,241.93475,1.5619148724424292,0,119.95414383781288,,0.8413175198482321,
1,4,az2b,az4a,2,4,0,all-legs,3,0,148.23227689827164,143.81822071357897,,152.09689705994236,146.99207677203742,,156.0719258418408,151.76406057611823,,108.05061522942944,96.6368516689188,,201.42087124939945,195.07325960655663,,338.00625,0.4305948896499956,0,143.81822071357897,,0.0,
1,5,az2b,az4b,2,4,13,all-legs,3,0,136.67688355808997,132.4246111698465,,138.9880969349671,134.3997422208627,,143.73692734114113,136.35833024855387,,96.30923747662663,93.00227227217204,,192.38160428428426,173.75543266936944,,270.905,0.9679561091541018,0,149.16724642158428,,16.742635251737795,
1,6,az2b,az4c,2,4,15,all-legs,3,0,119.80228877054074,118.24179360661411,,121.25244558551238,119.93745841771035,,123.43408572112592,122.26871894263587,,67.57653763888887,80.44867884404417,,173.91413090910908,158.93316221411416,,268.24575000000004,0.5532218107460665,0,133.92096185631425,,15.67916824970014,
1,7,az2b,az4d,2,4,12,all-legs,3,0,104.76331288813853,101.18968255453917,,106.83906946677288,103.56553953927933,,113.6471237559266,124.57437249242524,,62.9515096918419,49.78054999644658,,155.8680719976977,154.20332167497475,,209.1215,0.8329387243508961,0,107.89282303047774,,6.703140475938568,
2,4,az2c,az4a,2,4,15,all-legs,3,0,147.53790383459972,143.6513863443559,,151.6644307650044,146.55965086964002,,164.3988583478103,149.25774535784743,,107.79916316996997,104.36012113948958,,200.42591007037032,184.43953876371378,,343.65825,0.3915354896421377,0,153.44527694398408,,9.793890599628185,
2,5,az2c,az4b,2,4,14,all-legs,3,0,137.58546959505557,135.02033588594895,,141.26250005373296,137.83230583957462,,144.00734714540653,140.06046211810568,,98.74938808773771,94.54540223983966,,188.53784540615635,174.1080369363865,,286.65,0.4914827634311507,0,141.92892722800187,,6.908591342052915,
2,6,az2c,az4c,2,4,12,all-legs,3,0,117.78103662351472,116.91631727434182,,119.86325420996957,119.28914085444556,,122.20466906763149,119.99298172232155,,79.45752376931941,78.20812284929923,,173.73328805355362,155.85450873828842,,238.51600000000002,0.30573865905427056,0,118.46391700851859,,1.5475997341767709,
2,7,az2c,az4d,2,4,13,all-legs,3,0,106.10178587242169,103.58584783905395,,108.9819182815329,105.89666037190334,,131.31381585346918,108.30559904564787,,60.75432716561563,63.527917701751925,,160.83593724404403,144.32830716301328,,208.28025,0.0783299723906623,0,105.87239631676988,,2.2865484777159253,
3,4,az2d,az4a,2,4,13,all-legs,3,0,141.76699507034445,138.486731418225,,147.09473514543728,142.28296181792692,,153.65203295871964,148.78637816808623,,97.20357415405405,97.30586424769768,,195.52653599624625,179.31426315275277,,283.37350000000004,0.2531353538407757,0,140.4293001963478,,1.9425687781228191,
