src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us
0,4,az2a,az4a,2,4,0,all-legs,3,0,206.43911953594494,201.84134927953204,,210.96346270638148,205.51506317040318,,259.04854410648784,237.54500500542423,,153.30790524764762,158.43885610185188,,261.91437492687686,250.55726482742745,,406.12475,1.5268101884541352
0,4,az2a,az4a,2,4,1,all-legs,3,0,206.49272642394217,201.4190723342383,,209.7122688274554,207.49386055713106,,217.49147205595057,224.33926213962224,,165.39557773688693,149.0570470273774,,261.4254929788288,255.71439203623623,,422.38025,1.4132460041602144
0,4,az2a,az4a,2,4,2,all-legs,3,0,224.03513084528782,219.53109811936082,,228.92984812541795,223.3251146090544,,268.3018386313868,226.18267158809843,,180.17345486506508,179.79410769359362,,277.5321534246246,260.4484251785285,,437.60225,2.687819299371938
0,4,az2a,az4a,2,4,3,all-legs,3,0,220.46533046295633,214.60395959403053,,224.74948201148982,220.01512419344755,,227.9714017852865,232.52572296831144,,179.34517698943944,169.05788631601604,,261.6107379701201,262.1124174548048,,434.94849999999997,2.5663882953651296
0,4,az2a,az4a,2,4,4,all-legs,3,0,221.93263433171282,216.87352231265805,,225.89705163473892,220.00437576048247,,236.00286613249298,222.5354070755042,,169.01128954469468,162.85308330195193,,276.4994338007508,272.04210299384386,,435.9975,1.1491183158342153
0,4,az2a,az4a,2,4,5,all-legs,3,0,220.0139023438316,216.25520466700183,,225.4869052657011,221.07756278078617,,248.88592554048145,227.93852081687368,,175.7778553841842,163.6654950099099,,268.84593782422417,271.84461033708703,,435.39575,1.1546835803406452
0,4,az2a,az4a,2,4,6,all-legs,3,0,221.7273381738541,217.7131830652751,,226.32569712071515,222.45104944328708,,251.05683416632988,226.07675878597618,,179.62085829289288,177.2941821096096,,272.10540045600607,258.86038059029033,,451.3975,1.4724322552931994
0,4,az2a,az4a,2,4,7,all-legs,3,0,222.6777626357108,218.7437328358707,,229.5807985906706,221.42881444199668,,239.43185965562597,224.71978327284643,,176.9010161931932,164.0492844726727,,272.61237406191196,274.3013930014514,,435.651,2.384527458178013
0,4,az2a,az4a,2,4,8,all-legs,3,0,221.72563998685118,218.33720773969017,,225.75963289475027,222.6068009327528,,229.47046529737784,232.2776853463725,,180.8658664231732,164.53714227052052,,275.0521554029028,274.08699120450456,,451.86725,0.6641672246108499
0,4,az2a,az4a,2,4,9,all-legs,3,0,221.14869962379794,217.25542910459794,,225.48015940492226,220.97595260158673,,247.34621923434239,224.4561755350731,,177.43523015895897,170.19020225830832,,276.58767736156165,266.3723443620121,,435.8535,0.24068247149676836
0,4,az2a,az4a,2,4,10,all-legs,3,0,234.3319155946951,231.02038383552735,,239.0655356432067,234.65035143375403,,289.35430059442314,237.54152041826,,184.21161790025025,190.54272887082087,,290.175148621972,271.20983752722725,,436.81399999999996,0.3822257363549397
0,4,az2a,az4a,2,4,11,all-legs,3,0,207.5757532075006,202.9126711200547,,212.23460471377274,206.6317023259264,,219.1216464122862,210.51442098342392,,169.35561818228223,161.5593216041542,,253.38902266191195,245.91137486316308,,408.30725,1.1779281261498227
0,4,az2a,az4a,2,4,12,all-legs,3,0,210.13216001759656,206.01758356791282,,214.76990577551265,210.97334275274937,,235.93857503706298,221.28829883050605,,169.64120231631637,166.70895355475477,,266.00781421761764,246.22934871786788,,411.90274999999997,1.701933707530344
0,4,az2a,az4a,2,4,13,all-legs,3,0,220.10103012298526,216.23960967052835,,224.22167131863836,221.25893055546,,243.36699014194065,225.15674202582528,,179.97837855520518,176.31668142182178,,275.8357446460961,258.3334906937438,,434.75800000000004,0.9164729055118528
0,4,az2a,az4a,2,4,14,all-legs,3,0,223.2040737949562,220.3239354937,,227.76103399648613,224.30417530428423,,236.31326267942865,230.0700914062236,,182.78716666166167,170.38552052142145,,269.1455627709209,270.9561730254254,,454.0575,0.5669278821941646
0,4,az2a,az4a,2,4,15,all-legs,3,0,221.70409780250685,217.3468051609541,,227.16687258335162,221.0188414569452,,267.0404176168241,223.00799889453236,,180.84338258778774,176.61629164279282,,266.9879173645146,260.3292270292293,,435.8185,1.7340186370929302
0,5,az2a,az4b,2,4,0,all-legs,3,0,168.8955026061656,166.03579714707467,,171.29199164545227,168.26029860499943,,185.4568241682019,170.3734409701592,,127.86720822102099,120.65806691801804,,223.7117090480481,211.81536224239235,,333.77375,0.5344216312562367
0,5,az2a,az4b,2,4,1,all-legs,3,0,172.8662086407839,166.99242255597807,,175.31190168110098,170.94063284210978,,203.91275778971178,218.78555700674877,,131.80316755130127,115.67854401931935,,215.41856257817818,217.96962787982977,,342.41475,4.923509094641901
0,5,az2a,az4b,2,4,2,all-legs,3,0,177.95116488453542,177.9468585045127,,181.12846381784252,179.97336216453968,,197.545350584947,181.351178554778,,137.67200692557554,121.34539868118114,,230.4408727028028,233.16368019444448,,353.53075,1.0458299204299522
0,5,az2a,az4b,2,4,3,all-legs,3,0,169.47677688428365,168.07069244244286,,171.80920770819185,169.98761213660256,,190.5512317174369,174.3545724707515,,128.67977707472477,114.17745879154151,,224.39989330240243,222.9579585866867,,344.38,1.6223340676728526
0,5,az2a,az4b,2,4,4,all-legs,3,0,168.06002135975552,166.7124691500823,,171.18957964621083,169.61822927652548,,174.05636713776076,175.56356642236202,,128.72387575285288,122.96862526286289,,224.0707974242743,210.86796629899902,,343.28650000000005,0.693457232452829
0,5,az2a,az4b,2,4,5,all-legs,3,0,168.58027301714043,168.6131438373319,,171.411555920742,170.46248523195283,,200.8470215682403,172.92001744231945,,127.72752461966962,125.03235694714712,,224.52722899324328,210.7901078609109,,335.25300000000004,0.853427923531342
0,5,az2a,az4b,2,4,6,all-legs,3,0,168.84072347692478,166.05158135678533,,171.66542861842063,168.7575103904308,,182.97264258585415,206.47192778494676,,127.13750135735737,126.07294795065059,,224.47246097762752,207.1193183244244,,342.94100000000003,0.6664354982511611
0,5,az2a,az4b,2,4,7,all-legs,3,0,177.685814191237,175.001312873922,,180.27317003559503,176.79241410429356,,185.6556894338368,202.16244811561225,,136.02981583473473,120.27853855840847,,221.53447945240254,230.72453178898903,,353.7375,0.8878017865591232
0,5,az2a,az4b,2,4,8,all-legs,3,0,177.66414922465168,176.08295442039287,,179.76355546581317,178.98485258166215,,185.96884446329176,239.24862092015294,,126.58640990055054,131.25780950520533,,233.94106828003,220.1111929573073,,344.967,0.965940388950429
0,5,az2a,az4b,2,4,9,all-legs,3,0,179.04910659598323,177.30007012825814,,182.302299373513,179.43053475932473,,184.937798487747,183.98019919283334,,139.1474571814814,126.67304200720712,,234.40099037527528,227.3409245178679,,346.92525,1.1554009686239226
