key,second,records,offered_rps,committed_rps,below_1ms_pct,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,queue_p50_ms,queue_p90_ms,queue_p99_ms,queue_p999_ms,queue_max_ms,prepare_p50_ms,prepare_p90_ms,prepare_p99_ms,prepare_p999_ms,prepare_max_ms,local_p50_ms,local_p90_ms,local_p99_ms,local_p999_ms,local_max_ms,ack0_p50_ms,ack0_p90_ms,ack0_p99_ms,ack0_p999_ms,ack0_max_ms,ack1_p50_ms,ack1_p90_ms,ack1_p99_ms,ack1_p999_ms,ack1_max_ms,post_prepare_p50_ms,post_prepare_p90_ms,post_prepare_p99_ms,post_prepare_p999_ms,post_prepare_max_ms,all_durable_p50_ms,all_durable_p90_ms,all_durable_p99_ms,all_durable_p999_ms,all_durable_max_ms
00-raw-129k-r0,0,129244,129244.0,129151.0,76.14666831729132,0.746953,10.864609399999997,18.311629800000002,18.562531247,18.728216,0.0164815,10.083596199999999,17.50192248,17.734100176,17.941558,0.003223,0.004279,0.008092,0.01309,0.075557,0.026103,0.0372,0.051587,0.148415,0.539906,0.871502,1.7725372,2.3771769899999984,2.666148,2.976065,0.7281675,0.886462,2.8768020499999873,3.215113,3.666186,0.711792,0.825685,1.4962224599999978,2.621189,2.974531,0.894739,2.006381,2.877859999999995,3.215113,3.666186
00-raw-129k-r0,1,129590,129590.0,129566.0,100.0,0.708726,0.8072373,0.85388476,0.8836001649999999,0.938711,0.0108335,0.031655100000000005,0.05230811,0.053860698999999936,0.085487,0.003231,0.00429,0.007181,0.010425,0.01409,0.0248555,0.036525,0.050407440000000005,0.064306,0.111392,0.809008,1.0926085000000005,1.4973913900000002,1.846071,2.1097,0.708618,0.79837,0.838832,0.862903,0.914635,0.691057,0.788628,0.8343743100000001,0.86196,0.914698,0.8156875,1.0926085000000005,1.4973913900000002,1.846071,2.1097
00-raw-129k-r0,2,129969,129969.0,129982.0,99.98384230085637,0.728204,0.8181982,0.8639121599999999,0.9015092080000005,1.082825,0.010959,0.032136,0.05278731999999999,0.1119013360000013,0.280984,0.003231,0.004292,0.007097,0.010863,0.01882,0.02485,0.03665039999999998,0.050021,0.067129,0.097741,0.871159,1.30174,1.852324,2.066507,2.094162,0.712763,0.799861,0.840974,0.867308,0.943179,0.71055,0.798669,0.839986,0.864949,0.89177,0.871235,1.30174,1.852324,2.066507,2.094162
00-raw-129k-r0,3,129935,129935.0,129941.0,99.93227382922231,0.731673,0.820801,0.8661489400000001,0.9655926500000002,1.101615,0.010928,0.032286600000000006,0.05289966,0.16505681800000044,0.288909,0.003231,0.004298,0.007373,0.01087,0.067868,0.025154,0.037396,0.051293,0.067711,0.101343,0.873254,1.286454,1.842176,2.009302,2.099787,0.714872,0.801414,0.8416565200000006,0.8677710560000002,0.969226,0.714085,0.8010144000000001,0.8408878800000001,0.8659939940000025,0.969284,0.873292,1.286454,1.842176,2.009302,2.099787
00-raw-129k-r0,4,129616,129616.0,129607.0,99.05027157141095,0.7326125,0.824427,0.9931125500000003,1.1847676449999924,1.326789,0.011289,0.034017,0.2166611000000005,0.40117827999999933,0.534621,0.00323,0.004292,0.007148,0.010807,0.016547,0.025262,0.037669,0.051661,0.066532,0.113409,0.862194,1.3932845,2.00941,2.1447,2.372109,0.715552,0.800875,0.8441171500000005,0.870391,0.908509,0.714741,0.800263,0.8435698500000001,0.868603,0.90859,0.862215,1.3932845,2.00941,2.1447,2.372109
00-raw-129k-r0,5,129804,129804.0,129814.0,100.0,0.7280935,0.8179107,0.86179276,0.891930963,0.984797,0.010913,0.032129,0.052608,0.09200516000000003,0.201894,0.003231,0.004297,0.007331,0.011079,0.05061,0.024936,0.037405,0.051616,0.065864,0.11851,0.8639975,1.215918,1.72823,1.949146,2.109411,0.711475,0.799451,0.83923841,0.865083,0.883922,0.710455,0.798789,0.8386719100000001,0.864301,0.883977,0.8640945,1.215918,1.72823,1.949146,2.109411
00-raw-129k-r0,6,129424,129424.0,129423.0,97.84043145011745,0.7335035,0.8277287,1.1669064900000004,1.3544745360000046,1.484477,0.0114915,0.03619,0.38880907000000076,0.5723971060000018,0.705762,0.00323,0.004294,0.007048,0.010524,0.017059,0.0249915,0.036934,0.051415,0.068162,0.114248,0.851216,1.3170681,2.051847,2.145141,2.318327,0.7169015,0.800526,0.841009,0.867811,0.907859,0.7160075,0.800173,0.839802,0.867218,0.907939,0.851364,1.3170681,2.051847,2.145141,2.318327
00-raw-129k-r0,7,130175,130175.0,130192.0,98.77779911657385,0.732661,0.8239951999999999,1.0370634999999997,1.290563732,1.54231,0.011167,0.033794,0.25064297999999985,0.507295602000001,0.761742,0.003231,0.0043,0.007283,0.010956,0.018431,0.025347,0.037703,0.051784,0.067537,0.092488,0.837601,1.142586,1.904207,2.145513,2.350509,0.716315,0.8014316000000001,0.841805,0.871422,0.942747,0.714813,0.800637,0.840419,0.87019,0.942808,0.838183,1.142586,1.904207,2.145513,2.350509
00-raw-129k-r0,8,130115,130115.0,130110.0,100.0,0.729134,0.8180202,0.86020388,0.886312212,0.91764,0.010843,0.0314796,0.05228272,0.053860771999999994,0.125328,0.003231,0.004298,0.007260640000000014,0.011169,0.022479,0.024983,0.03756720000000001,0.050725,0.066428,0.093097,0.847244,1.178229,1.54128,1.7335278419999975,1.90714,0.712609,0.8003916,0.841181,0.866478,0.904864,0.711278,0.799315,0.8391127199999999,0.864958,0.886512,0.847924,1.178229,1.54128,1.7335278419999975,1.90714
00-raw-129k-r0,9,129516,129516.0,129504.0,100.0,0.728501,0.817534,0.8593665,0.886488425,0.918394,0.010844,0.0316275,0.052286,0.05383794,0.121805,0.003231,0.004297,0.006923,0.010567,0.014062,0.024933,0.037165,0.051044,0.067739,0.088239,0.851148,1.240488,1.61802,1.8560869750000004,2.031344,0.712621,0.800353,0.8400302000000004,0.865495,0.982125,0.710821,0.798783,0.838155,0.860366,0.900618,0.851595,1.240488,1.61802,1.8560869750000004,2.031344
00-raw-129k-r0,10,129420,129420.0,129432.0,100.0,0.729477,0.8185652,0.8601788100000001,0.8881248150000006,0.968326,0.010824,0.031705,0.052328809999999996,0.054267905000000026,0.11914,0.003233,0.004316,0.007061,0.01052,0.064826,0.024971,0.037322,0.050842,0.065365,0.102557,0.852999,1.209444,1.510922,1.71878,1.808953,0.713718,0.801383,0.8415243799999997,0.864893,0.931002,0.7122735,0.799927,0.8392703499999998,0.861978,0.931069,0.8532605,1.209444,1.510922,1.71878,1.808953
00-raw-129k-r0,11,129471,129471.0,129467.0,99.96060893945362,0.731035,0.819718,0.8619984,0.90103446,1.125497,0.010877,0.031713,0.052314,0.05616970999999999,0.331066,0.003232,0.004308,0.006785,0.010618,0.091777,0.025024,0.037403,0.051159,0.066786,0.15603,0.825551,1.116034,1.658702,1.945149,2.336965,0.715539,0.80237,0.8419185000000001,0.870832,1.049104,0.713702,0.800632,0.839817,0.869171,1.04916,0.826947,1.116034,1.658702,1.945149,2.336965
00-raw-129k-r0,12,129325,129325.0,129315.0,99.99226754301179,0.730032,0.8188888000000001,0.8618127999999999,0.9096579240000007,1.023759,0.010965,0.0321176,0.052701,0.1149268840000004,0.219444,0.003231,0.004306,0.006604,0.009981,0.015869,0.025004,0.037528,0.051581,0.068579,0.221139,0.820504,1.154948,1.804632,2.100016,2.250225,0.714803,0.8013296000000001,0.83997,0.864295,0.895827,0.712432,0.7992512,0.8367232800000001,0.862008,0.895899,0.822479,1.154948,1.804632,2.100016,2.250225
00-raw-129k-r0,13,129883,129883.0,129883.0,99.16925232709438,0.733702,0.8244788000000001,0.9638904799999998,1.1922105300000063,1.406265,0.011212,0.033661800000000006,0.17667657999999944,0.3915367980000006,0.58677,0.003232,0.004306,0.006668,0.010329,0.018104,0.025128,0.03767,0.050987,0.066548,0.092015,0.849149,1.3096922,1.91594,2.098159,2.290148,0.717862,0.803574,0.842874,0.871672,0.963739,0.716141,0.802343,0.8408464199999994,0.867972,0.907272,0.849591,1.3096922,1.91594,2.098159,2.290148
00-raw-129k-r0,14,129305,129305.0,129322.0,99.98298596341982,0.731666,0.8215466,0.8669969599999999,0.9343722719999998,1.057537,0.010927,0.032488600000000006,0.052980959999999994,0.1334405839999984,0.252914,0.003231,0.004313,0.006703,0.010627,0.016225,0.025094,0.03768,0.05131111999999962,0.066823,0.133357,0.829762,1.224914,1.8542216799999998,2.038818,2.069378,0.716225,0.803393,0.841776,0.864789,0.901764,0.714143,0.801397,0.83995088,0.863905,0.894138,0.831033,1.224914,1.8542216799999998,2.038818,2.069378
00-raw-129k-r0,15,128649,128649.0,128634.0,99.38748066444356,0.731026,0.8225112,0.8849660800000001,1.2518358559999996,1.457824,0.011121,0.03307539999999999,0.10823980000000169,0.4839923599999998,0.670554,0.003231,0.004297,0.006814640000000029,0.010118,0.020897,0.024955,0.037237,0.050897,0.064474,0.099475,0.835294,1.157562,1.910561,2.149409,2.322619,0.714155,0.802839,0.841516,0.86436,0.89701,0.712211,0.801468,0.8397062400000003,0.86319,0.891369,0.835975,1.157562,1.910561,2.149409,2.322619
00-raw-129k-r0,16,129828,129828.0,129833.0,95.32689404442802,0.738374,0.8358241999999999,2.00237906,2.1362668079999976,2.241885,0.0116705,0.03853090000000001,1.2102184999999999,1.3306454769999998,1.456609,0.00323,0.0043,0.006779189999999988,0.010567,0.016284,0.025172,0.037273600000000004,0.050512379999999975,0.064574,0.105778,0.839559,1.280966,2.052109,2.125459,2.312426,0.722429,0.806239,0.843461,0.871476,0.944812,0.720139,0.804953,0.841006,0.866824,0.94487,0.840328,1.280966,2.052109,2.125459,2.312426
00-raw-129k-r0,17,129731,129731.0,129736.0,100.0,0.714985,0.812656,0.8572826,0.8855070700000002,0.944388,0.010857,0.031627,0.052250499999999984,0.053886,0.114195,0.003229,0.004293,0.007138,0.010608,0.016523,0.024978,0.037284,0.051506,0.067173,0.101075,0.788388,1.064181,1.504084,1.664269,1.782056,0.710526,0.801415,0.841999,0.869909,0.894515,0.697495,0.794096,0.837368,0.866296,0.88839,0.798382,1.064181,1.504084,1.664269,1.782056
00-raw-129k-r0,18,129829,129829.0,129813.0,98.39096041716412,0.713688,0.816323,1.139339,1.3166074360000095,1.455751,0.011174,0.0337672,0.34312176,0.5179998160000017,0.635924,0.003232,0.0043,0.006899,0.010629,0.017087,0.02506,0.037237,0.051105,0.064881,0.096429,0.780659,1.117549,1.9205400800000008,2.08853,2.238078,0.716448,0.803798,0.8423759599999999,0.863664,0.919867,0.69589,0.7947234,0.836068,0.860241,0.891554,0.797646,1.117549,1.9205400800000008,2.08853,2.238078
00-raw-129k-r0,19,129908,129908.0,129908.0,100.0,0.708728,0.8085239000000001,0.8544011299999996,0.884570651,0.918779,0.01081,0.031522,0.05224792999999999,0.053773929999999935,0.083426,0.003231,0.004294,0.007026,0.010692,0.01602,0.024934,0.037344,0.051267,0.065288,0.10047,0.777279,1.0820361,1.430478,1.681884,1.856547,0.710652,0.800685,0.840623,0.865781,0.896302,0.691493,0.790046,0.834177,0.862608,0.896357,0.7941045,1.0820361,1.430478,1.681884,1.856547
00-raw-129k-r0,20,129975,129975.0,129998.0,100.0,0.709492,0.8089858000000001,0.85565434,0.880513,0.931598,0.010931,0.031753,0.05230425999999999,0.05390641599999997,0.071542,0.00323,0.004292,0.007187259999999995,0.010925,0.014563,0.024962,0.03716760000000001,0.051504,0.068654,0.104051,0.767395,1.038578,1.322675,1.502888,1.666913,0.713368,0.801916,0.841176,0.863033,0.936222,0.691915,0.79076,0.834022,0.858728,0.884254,0.788066,1.038578,1.322675,1.502888,1.666913
00-raw-129k-r0,21,129270,129270.0,129267.0,99.67896650421598,0.7082875,0.8125730999999999,0.88184779,1.072663872,1.168442,0.01106,0.032885,0.05899604999999964,0.29183596399999956,0.384729,0.00323,0.004288,0.007007859999999986,0.010468,0.016663,0.024959,0.0369951,0.05048792999999999,0.06571232899999994,0.10206,0.771846,1.140385,1.847436,2.089537,2.318292,0.71566,0.803748,0.844235,0.873932,0.924854,0.690648,0.79232,0.8369169299999997,0.866571,0.924909,0.794726,1.140385,1.847436,2.089537,2.318292
00-raw-129k-r0,22,129555,129555.0,129540.0,100.0,0.70926,0.8103784,0.8567181199999999,0.8847155859999997,0.960344,0.010868,0.03165200000000003,0.052332919999999984,0.05388589199999999,0.085748,0.003231,0.004296,0.007061,0.010256,0.017048,0.024981,0.03723,0.050893,0.066079,0.115203,0.77255,1.022026,1.413037,1.711916,1.853617,0.711987,0.80251,0.842915,0.866237,0.973177,0.692047,0.791812,0.836776,0.862655,0.916914,0.790362,1.022026,1.413037,1.711916,1.853617
00-raw-129k-r0,23,129325,129325.0,129356.0,100.0,0.705796,0.8083431999999999,0.85572732,0.8844158400000005,0.920983,0.010854,0.031771600000000004,0.05229175999999999,0.05376902800000002,0.109554,0.00323,0.004288,0.006982,0.010469,0.027315,0.024951,0.036933,0.050729,0.07282,0.188962,0.766766,1.047488,1.4892927599999988,1.844448,1.993299,0.712425,0.802643,0.84228,0.863501,0.896701,0.687803,0.7895268000000001,0.835993,0.860696,0.896822,0.788867,1.047488,1.4892927599999988,1.844448,1.993299
00-raw-129k-r0,24,129109,129109.0,129086.0,100.0,0.700455,0.805698,0.85400372,0.8830392520000006,0.933662,0.010865,0.031801,0.05227892,0.05382635200000004,0.0932,0.003231,0.004288,0.007320759999999995,0.010952,0.089639,0.024985,0.037006,0.050476,0.067708,0.12099,0.750736,1.055333,1.43655988,1.5967756560000077,1.697498,0.711092,0.8018714,0.841846,0.86601,0.902811,0.682947,0.787201,0.833246,0.859344,0.902882,0.779917,1.055333,1.43655988,1.5967756560000077,1.697498
00-raw-129k-r0,25,129809,129809.0,129823.0,100.0,0.711188,0.811129,0.85738008,0.8869711359999991,0.928681,0.010858,0.031669199999999995,0.05232492,0.053934919999999956,0.089707,0.003231,0.004293,0.007208,0.010946,0.015856,0.025029,0.037191,0.050802,0.065919,0.116099,0.77896,1.052187,1.272046,1.376047,1.482725,0.713453,0.8029308,0.8424826799999999,0.866703,0.912323,0.69378,0.792787,0.8372348799999999,0.863258,0.905922,0.795343,1.052187,1.272046,1.376047,1.482725
00-raw-129k-r0,26,129276,129276.0,129236.0,100.0,0.725209,0.8166085,0.85982125,0.8852536000000003,0.943006,0.010839,0.0316375,0.052261,0.05384062500000003,0.090959,0.00323,0.004288,0.006905,0.010592,0.092397,0.024902,0.037132,0.051082,0.06616142500000682,0.087186,0.806555,1.097189,1.67306675,1.928776,2.05284,0.713702,0.801926,0.84202525,0.8637723500000003,0.882642,0.707608,0.798037,0.838777,0.86182,0.882709,0.810289,1.097189,1.67306675,1.928776,2.05284
00-raw-129k-r0,27,130158,130158.0,130191.0,100.0,0.727018,0.8187215999999999,0.8616361999999997,0.8912191319999979,0.934249,0.010856,0.0314983,0.05225585999999999,0.0539146449999999,0.095382,0.003231,0.004295,0.007015,0.010122678999999654,0.016563,0.025121,0.037461,0.050942,0.066581,0.109705,0.820415,1.191816,1.499075,1.652908,1.781381,0.714989,0.8035943000000001,0.844188,0.870863,0.90744,0.7097475,0.8000735999999999,0.841037,0.868833,0.907511,0.823376,1.191816,1.499075,1.652908,1.781381
00-raw-129k-r0,28,129659,129659.0,129670.0,99.09069173755775,0.73074,0.823786,0.9831133599999999,1.2021171220000004,1.26882,0.011145,0.033565199999999996,0.19654663999999994,0.401605424000002,0.480278,0.00323,0.004289,0.006933,0.01084,0.022295,0.025086,0.037291,0.051243,0.065568,0.102118,0.827518,1.1119245999999998,1.893132,2.07529,2.118315,0.71782,0.80447,0.8456671,0.872219,0.906504,0.713177,0.801587,0.843367,0.868985,0.906578,0.829251,1.1119245999999998,1.893132,2.07529,2.118315
00-raw-129k-r0,29,130106,130106.0,130076.0,100.0,0.719962,0.816307,0.85931365,0.8864173800000001,0.929703,0.010853,0.031623,0.0523279,0.054444685000000013,0.11581,0.003231,0.004304,0.007126,0.010729685000000011,0.06662,0.025247,0.037639,0.051269,0.065157,0.101174,0.848425,1.278615,1.816844,2.010089695000001,2.255833,0.712552,0.802306,0.8410031,0.86229,0.912934,0.702235,0.797882,0.8387300499999999,0.860675,0.912991,0.849171,1.278615,1.816844,2.010089695000001,2.255833
