key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_mode,ena_srd_tx_pkts,ena_srd_eligible_tx_pkts,ena_srd_rx_pkts,ena_srd_resource_utilization
00-raw-129k-r0,use1-az1,-1,0.800493596,0.0,0.0,0,0,0,0,0,0,3,0,0,1,0
00-raw-129k-r0,use1-az1,0,0.900541253,476.635136,29342.0,2,0,0,0,0,0,3,42897,42897,60625,0
00-raw-129k-r0,use1-az1,1,1.000601136,530.0510720000001,32698.0,2,0,0,0,0,0,3,48526,48526,67680,0
00-raw-129k-r0,use1-az1,2,1.000611803,533.97504,32932.0,2,0,0,0,0,0,3,49010,49010,68003,0
00-raw-129k-r0,use1-az1,3,1.000602548,531.095552,32774.0,3,0,0,0,0,0,3,48520,48520,67685,0
00-raw-129k-r0,use1-az1,4,1.000608484,531.4846719999999,32782.0,2,0,0,0,0,0,3,48492,48492,67587,0
00-raw-129k-r0,use1-az1,5,1.000596805,532.4595199999999,32835.0,2,0,0,0,0,0,3,49108,49108,67652,0
00-raw-129k-r0,use1-az1,6,1.000605639,531.9475199999999,32806.0,1,0,0,0,0,0,3,48901,48901,67619,0
00-raw-129k-r0,use1-az1,7,1.000599931,531.677184,32791.0,2,0,0,0,0,0,3,48454,48454,67844,0
00-raw-129k-r0,use1-az1,8,1.0005978899999999,534.13888,32941.0,2,0,0,0,0,0,3,49274,49274,68016,0
00-raw-129k-r0,use1-az1,9,1.000599524,529.833984,32697.0,2,0,0,0,0,0,3,48427,48427,67577,0
00-raw-129k-r0,use1-az1,10,1.000600672,531.509248,32795.0,3,0,0,0,0,0,3,49009,49009,67761,0
00-raw-129k-r0,use1-az1,11,1.000602377,530.1739520000001,32689.0,2,0,0,0,0,0,3,48449,48449,67538,0
00-raw-129k-r0,use1-az1,12,1.0005988000000001,530.300928,32745.0,1,0,0,0,0,0,3,48912,48912,67565,0
00-raw-129k-r0,use1-az1,13,1.000599812,531.894272,32823.0,2,0,0,0,0,0,3,48934,48934,67623,0
00-raw-129k-r0,use1-az1,14,1.000600877,530.2558720000001,32719.0,2,0,0,0,0,0,3,49069,49069,67482,0
00-raw-129k-r0,use1-az1,15,1.00059794,527.568896,32570.0,2,0,0,0,0,0,3,48719,48719,67043,0
00-raw-129k-r0,use1-az1,16,1.000600506,530.82112,32761.0,2,0,0,0,0,0,3,48331,48331,67355,0
00-raw-129k-r0,use1-az1,17,1.000601422,533.4016,32908.0,2,0,0,0,0,0,3,50227,50227,67285,0
00-raw-129k-r0,use1-az1,18,1.000598717,531.202048,32759.0,1,0,0,0,0,0,3,48321,48321,67192,0
00-raw-129k-r0,use1-az1,19,1.000600191,531.677184,32826.0,6,0,0,0,0,0,3,48941,48941,67247,0
00-raw-129k-r0,use1-az1,20,1.00060097,533.925888,32927.0,3,0,0,0,0,0,3,48305,48305,67322,0
00-raw-129k-r0,use1-az1,21,1.000601518,529.8216960000001,32710.0,2,0,0,0,0,0,3,48054,48054,66894,0
00-raw-129k-r0,use1-az1,22,1.0005995799999998,530.6859519999999,32750.0,1,0,0,0,0,0,3,48427,48427,67045,0
00-raw-129k-r0,use1-az1,23,1.00060062,530.182144,32727.0,2,0,0,0,0,0,3,48889,48889,66962,0
00-raw-129k-r0,use1-az1,24,1.000601082,528.289792,32594.0,2,0,0,0,0,0,3,48637,48637,66736,0
00-raw-129k-r0,use1-az1,25,1.000599828,532.7298559999999,32877.0,2,0,0,0,0,0,3,48269,48269,67176,0
00-raw-129k-r0,use1-az1,26,1.000602444,529.5800320000001,32688.0,3,0,0,0,0,0,3,48593,48593,67044,0
00-raw-129k-r0,use1-az1,27,1.000610161,533.499904,32910.0,2,0,0,0,0,0,3,48838,48838,67578,0
00-raw-129k-r0,use1-az1,28,1.0005999,532.668416,32848.0,2,0,0,0,0,0,3,48396,48396,67315,0
00-raw-129k-r0,use1-az1,29,1.000600954,531.68128,32793.0,3,0,0,0,0,0,3,48500,48500,67355,0
00-raw-129k-r0,use1-az1,30,1.000605806,532.5619199999999,32839.0,1,0,0,0,0,0,3,49345,49345,69090,0
00-raw-129k-r0,use1-az1,31,1.0006011670000001,529.485824,32663.0,2,0,0,0,0,0,3,48991,48991,66945,0
00-raw-129k-r0,use1-az1,32,1.000601935,528.699392,32652.0,2,0,0,0,0,0,3,48606,48606,67066,0
00-raw-129k-r0,use1-az1,33,1.0006027620000002,533.037056,32871.0,2,0,0,0,0,0,3,48486,48486,67504,0
00-raw-129k-r0,use1-az1,34,1.0006007829999999,531.9925760000001,32805.0,3,0,0,0,0,0,3,48878,48878,67716,0
00-raw-129k-r0,use1-az1,35,1.000603118,530.59584,32739.0,3,0,0,0,0,0,3,48619,48619,67496,0
00-raw-129k-r0,use1-az1,36,1.000605891,530.092032,32708.0,2,0,0,0,0,0,3,48454,48454,67891,0
00-raw-129k-r0,use1-az1,37,1.000603198,531.0013439999999,32767.0,1,0,0,0,0,0,3,48551,48551,68051,0
00-raw-129k-r0,use1-az1,38,1.00060979,533.3237760000001,32895.0,0,0,0,0,0,0,3,48821,48821,68302,0
00-raw-129k-r0,use1-az1,39,1.000615017,534.3395840000001,32960.0,2,0,0,0,0,0,3,48984,48984,68600,0
00-raw-129k-r0,use1-az1,40,1.000601242,528.1259519999999,32596.0,1,0,0,0,0,0,3,48933,48933,68307,0
00-raw-129k-r0,use1-az1,41,1.0006046400000002,532.3243520000001,32840.0,2,0,0,0,0,0,3,49064,49064,68612,0
00-raw-129k-r0,use1-az1,42,1.000602389,529.416192,32668.0,3,0,0,0,0,0,3,48496,48496,68229,0
00-raw-129k-r0,use1-az1,43,1.000601342,530.153472,32708.0,2,0,0,0,0,0,3,49095,49095,68242,0
00-raw-129k-r0,use1-az1,44,1.000601796,530.3500799999999,32712.0,2,0,0,0,0,0,3,49059,49059,68267,0
00-raw-129k-r0,use1-az1,45,1.0006124930000002,529.7643519999999,32701.0,2,0,0,0,0,0,3,48386,48386,67857,0
00-raw-129k-r0,use1-az1,46,1.000569967,529.850368,32699.0,2,0,0,0,0,0,3,48694,48694,68181,0
00-raw-129k-r0,use1-az1,47,1.0006039290000002,529.6619519999999,32691.0,1,0,0,0,0,0,3,48883,48883,67816,0
00-raw-129k-r0,use1-az1,48,1.000604122,531.27168,32784.0,1,0,0,0,0,0,3,48565,48565,67836,0
00-raw-129k-r0,use1-az1,49,1.000615408,533.098496,32882.0,3,0,0,0,0,0,3,48863,48863,67990,0
00-raw-129k-r0,use1-az1,50,1.00060108,529.2113919999999,32678.0,2,0,0,0,0,0,3,48279,48279,67409,0
00-raw-129k-r0,use1-az1,51,1.000604088,530.5589759999999,32734.0,2,0,0,0,0,0,3,48573,48573,67325,0
00-raw-129k-r0,use1-az1,52,1.00060437,530.632704,32743.0,2,0,0,0,0,0,3,48301,48301,67304,0
00-raw-129k-r0,use1-az1,53,1.000601392,531.59936,32792.0,2,0,0,0,0,0,3,48689,48689,67433,0
00-raw-129k-r0,use1-az1,54,1.0006028230000001,531.017728,32751.0,2,0,0,0,0,0,3,48468,48468,67390,0
00-raw-129k-r0,use1-az1,55,1.0006031260000001,530.771968,32735.0,2,0,0,0,0,0,3,48760,48760,67359,0
00-raw-129k-r0,use1-az1,56,1.000605914,530.034688,32703.0,2,0,0,0,0,0,3,48177,48177,67165,0
00-raw-129k-r0,use1-az1,57,1.000605996,530.4647679999999,32719.0,2,0,0,0,0,0,3,48229,48229,67120,0
00-raw-129k-r0,use1-az1,58,1.000600331,531.365888,32800.0,2,0,0,0,0,0,3,48451,48451,67172,0
00-raw-129k-r0,use1-az1,59,1.00060389,531.976192,32773.0,2,0,0,0,0,0,3,48133,48133,67124,0
00-raw-129k-r0,use1-az2,-1,0.700467842,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0
00-raw-129k-r0,use1-az2,0,1.0006562519999997,529.113088,32578.0,3,0,0,0,0,0,3,43527,43542,69699,0
00-raw-129k-r0,use1-az2,1,0.9005848479999999,477.3027839999999,29445.0,2,0,0,0,0,0,3,39881,39881,63176,0
00-raw-129k-r0,use1-az2,2,1.000648067,534.048768,32937.0,2,0,0,0,0,0,3,44918,44918,70859,0
00-raw-129k-r0,use1-az2,3,1.0006540629999998,531.062784,32772.0,2,0,0,0,0,0,3,45640,45640,70293,0
00-raw-129k-r0,use1-az2,4,1.0006476519999998,531.43552,32779.0,2,0,0,0,0,0,3,44747,44747,70005,0
00-raw-129k-r0,use1-az2,5,1.000649132,533.905408,32924.0,2,0,0,0,0,0,3,46528,46528,70307,0
00-raw-129k-r0,use1-az2,6,1.000639716,529.620992,32663.0,2,0,0,0,0,0,3,46364,46364,70095,0
00-raw-129k-r0,use1-az2,7,1.000647548,532.8527359999999,32863.0,1,0,0,0,0,0,3,46002,46002,70098,0
00-raw-129k-r0,use1-az2,8,1.0006462010000001,534.1224960000001,32940.0,2,0,0,0,0,0,3,45284,45284,70157,0
00-raw-129k-r0,use1-az2,9,1.000647767,529.6537599999999,32686.0,2,0,0,0,0,0,3,45182,45182,69817,0
00-raw-129k-r0,use1-az2,10,1.000639131,531.7058559999999,32807.0,2,0,0,0,0,0,3,45458,45458,69819,0
00-raw-129k-r0,use1-az2,11,1.000650234,530.223104,32692.0,2,0,0,0,0,0,3,46144,46144,68742,0
00-raw-129k-r0,use1-az2,12,1.000646977,530.235392,32741.0,2,0,0,0,0,0,3,46334,46334,67780,0
00-raw-129k-r0,use1-az2,13,1.0006444399999999,531.976192,32828.0,1,0,0,0,0,0,3,45952,45952,67945,0
00-raw-129k-r0,use1-az2,14,1.000638004,530.141184,32712.0,2,0,0,0,0,0,3,44878,44878,67563,0
00-raw-129k-r0,use1-az2,15,1.000653204,527.8720000000001,32589.0,2,0,0,0,0,0,3,45015,45015,67110,0
00-raw-129k-r0,use1-az2,16,1.000644673,531.968,32831.0,2,0,0,0,0,0,3,44683,44683,67306,0
00-raw-129k-r0,use1-az2,17,1.000643872,531.079168,32765.0,2,0,0,0,0,0,3,44673,44673,68262,0
00-raw-129k-r0,use1-az2,18,1.000646496,532.2547199999999,32824.0,2,0,0,0,0,0,3,45133,45133,68348,0
00-raw-129k-r0,use1-az2,19,1.000652344,531.6116480000001,32822.0,2,0,0,0,0,0,3,45155,45155,68552,0
00-raw-129k-r0,use1-az2,20,1.000643615,534.188032,32943.0,2,0,0,0,0,0,3,44831,44831,68954,0
00-raw-129k-r0,use1-az2,21,1.000639,529.73568,32705.0,2,0,0,0,0,0,3,44705,44705,68409,0
00-raw-129k-r0,use1-az2,22,1.000649464,530.65728,32748.0,3,0,0,0,0,0,3,45087,45087,68451,0
00-raw-129k-r0,use1-az2,23,1.000655753,530.3296,32736.0,2,0,0,0,0,0,3,45266,45266,68476,0
00-raw-129k-r0,use1-az2,24,1.000650207,528.355328,32598.0,2,0,0,0,0,0,3,45199,45199,68270,0
00-raw-129k-r0,use1-az2,25,1.00065566,532.709376,32876.0,2,0,0,0,0,0,3,45103,45103,68597,0
00-raw-129k-r0,use1-az2,26,1.0006325450000002,529.5390719999999,32686.0,2,0,0,0,0,0,3,44921,44921,67543,0
00-raw-129k-r0,use1-az2,27,1.000638097,534.843392,32994.0,0,0,0,0,0,0,3,45876,45876,67881,0
00-raw-129k-r0,use1-az2,28,1.0006565939999998,530.4115200000001,32707.0,2,0,0,0,0,0,3,45169,45169,68001,0
00-raw-129k-r0,use1-az2,29,1.000646102,532.262912,32829.0,2,0,0,0,0,0,3,45818,45818,68146,0
00-raw-129k-r0,use1-az2,30,1.000643105,532.97152,32864.0,0,0,0,0,0,0,3,45875,45875,69080,0
00-raw-129k-r0,use1-az2,31,1.000648566,529.526784,32666.0,2,0,0,0,0,0,3,45805,45805,68255,0
00-raw-129k-r0,use1-az2,32,1.000649075,528.617472,32647.0,2,0,0,0,0,0,3,45370,45370,67816,0
