scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
boundary,boundary/series/avx512/local/k7/h0/u64/dense/crossing,control,ns/query,9.828138730096247,9.850107121678914,1.0022352545264133,9.814017784978708,9.84507877930557,9.832119008518795,9.85952956342657,False,False,False,"[9.839220752784188, 9.837490204790273, 9.858315136504611, 9.816078371026292]"
boundary,boundary/series/avx512/local/k7/h0/u64/dense/eight,control,ns/query,5.78581731088515,5.802735759115151,1.0029241241679325,5.781533551203048,5.849003471593843,5.8015032045034305,5.8181219072026895,False,False,True,"[5.78298523159033, 5.806690197052416, 5.802479005740148, 5.786357656905813]"
boundary,boundary/series/avx512/local/k7/h0/u64/dense/full,control,ns/query,5.5571874309814335,5.562654431373829,1.0009837711000924,5.556581595985493,5.559397351387144,5.557979379251684,5.565149027914793,False,False,True,"[5.5566424137580475, 5.564663968437533, 5.560421449829942, 5.557194067379008]"
boundary,boundary/series/avx512/local/k7/h0/u64/dense/last-lane,control,ns/query,4.776994326375402,4.784806478443011,1.0016353697605367,4.774358162686175,4.796735253310289,4.77675121070002,4.787121530966148,False,False,True,"[4.777789790024892, 4.784779138908298, 4.7848338179777254, 4.775457682035778]"
boundary,boundary/series/avx512/local/k7/h0/u64/dense/short,control,ns/query,3.7490909069070035,3.756895322717137,1.0020816822008118,3.74627927734921,3.75378001450756,3.7518418632655615,3.7652715199108076,False,False,True,"[3.751195511246085, 3.7584727943700784, 3.7526347064746295, 3.747337903456263]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/complete-suffix,affected,ns/query,6.969708214527035,10.686784922833967,1.5333188411760754,6.961354916257931,6.978420769598542,10.68626600527774,10.689791340859646,False,True,True,"[6.9618474574921905, 10.68664968064661, 10.686920165021323, 6.9740373380074]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/crossing,affected,ns/query,10.071665131558403,9.594721445268526,0.9526450015901116,9.99828298308204,10.261941269974322,9.560768750368485,9.619733654949751,True,False,True,"[10.063290596959058, 9.571739318664193, 9.612544416897228, 10.108536142580459]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/eight,affected,ns/query,5.337090528497272,6.001072362710124,1.1244089510319408,5.332218429375161,5.337761262999603,5.99828743647866,6.004471199972513,False,True,True,"[5.334800958521017, 5.998674448415124, 6.002328045047518, 5.337273775186829]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/full,affected,ns/query,5.7638873604914815,6.002218921980635,1.0413491011505178,5.7414099603932565,5.780407066591778,5.998796031077891,6.002503227017246,False,True,True,"[5.771686876580529, 5.999726890660156, 6.002481770785673, 5.748054439547256]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/last-lane,affected,ns/query,4.395916831534973,10.219078209849794,2.3246750567574956,4.380638854099291,4.409703214218407,10.19082634555384,10.28041227556605,False,True,True,"[4.394787542420942, 10.222563865054855, 10.215592554644731, 4.397046120649004]"
boundary,boundary/series/avx512/striped/k12/h0/u64/dense/short,affected,ns/query,3.8571758670732166,6.227609464248429,1.6145515991143728,3.8527992086825056,3.861877934030619,6.226718468040668,6.231724232404058,False,True,True,"[3.857860187189673, 6.227243802830269, 6.227705087576145, 3.8564915469567604]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/complete-suffix,affected,ns/query,22.76374335033701,24.729422636419937,1.0863513199841899,22.652120689655032,22.891790735242825,22.675332593756945,26.77098793117541,False,False,False,"[22.86508142682454, 22.70561351785391, 26.76538800660508, 22.654011853447646]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/crossing,affected,ns/query,12.505186772701194,9.109185328277942,0.7284325691290978,12.4828209872999,12.601598361831678,9.096604496492537,9.129877673126693,True,False,True,"[12.517164667967466, 9.100529483322605, 9.129488277225727, 12.501173216329747]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/eight,affected,ns/query,5.716893034986574,6.336262684654855,1.1083402550787336,5.710571821860037,5.720381298229647,6.329184513973294,6.341798877507826,False,True,True,"[5.716710877212989, 6.331163873910449, 6.341170165689772, 5.71707519276016]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/full,affected,ns/query,6.074899840336398,6.376578650344547,1.049659882127611,6.068713385921657,6.087072924789381,6.36053708470963,6.384422603318589,False,True,True,"[6.068791596373858, 6.365074011560017, 6.379651645714695, 6.085341068378515]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/last-lane,affected,ns/query,4.994488062674796,8.930676106354262,1.788106407360486,4.97342348452661,5.010430635133514,8.92638658771096,8.951009194485112,False,True,True,"[5.008799657899548, 8.947989963454008, 8.930351746481305, 4.975480747340245]"
boundary,boundary/series/avx512/striped/k21/h16/u64/gapped/short,affected,ns/query,7.3931794558598884,6.576150750319519,0.8894888578833581,7.3728657095172565,7.427940728314502,6.567928444189455,6.586722623085686,True,False,True,"[7.380378768631456, 6.573830098011573, 6.57869890662959, 7.405980143088321]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/complete-suffix,affected,ns/query,14.636151616549924,15.343951195131929,1.048359677948516,12.865264885391452,16.395448773151767,15.336662567346144,15.810928715741104,False,False,False,"[12.87195877325539, 15.342457097828467, 15.367681980557371, 16.38775756951703]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/crossing,affected,ns/query,11.176579938579746,9.057573898965314,0.8104065777492482,11.140309461480506,11.198931561027766,9.05104020171503,9.075608748309442,True,False,True,"[11.156729151084802, 9.052850063079037, 9.060933488834205, 11.190547882961273]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/eight,affected,ns/query,6.229542794151403,6.3224869302304345,1.0149198968769093,6.220072281110075,6.239035015209661,6.3150894958711685,6.333610872626732,False,True,True,"[6.229408142307233, 6.322888961164328, 6.3197682235393655, 6.234404521794156]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/full,affected,ns/query,5.904330251426606,6.300798977964281,1.0671488059872465,5.900645264312982,5.907269651047718,6.2947825320450415,6.303970970266727,False,True,True,"[5.90097841097208, 6.300048931189308, 6.301549024739253, 5.9072470264862815]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/last-lane,affected,ns/query,4.882823658045213,8.854319075852832,1.813360402902112,4.879843724416268,4.883889464655214,8.841678323446331,8.88750493940984,False,True,True,"[4.882769588871768, 8.848078316705083, 8.862558597444046, 4.882877727218659]"
boundary,boundary/series/avx512/striped/k22/h16/u64/gapped/short,affected,ns/query,5.637557716825784,6.488120243756471,1.150874291608955,5.623316808151869,5.654386855638994,6.478194695134068,6.504317959938133,False,True,True,"[5.630132704445891, 6.479008938285208, 6.492672074157094, 5.64121482073319]"
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/complete-suffix,affected,ns/query,9.392016410177757,12.495532224155845,1.3304419070876974,9.372903109569869,9.428516745553436,12.489874414664849,12.522801982316182,False,True,True,"[9.38233532586991, 12.490641774850724, 12.507611059611971, 9.410253962277595]"
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/crossing,affected,ns/query,11.144543822331126,9.614713337329828,0.8627282992116854,11.107952255813498,11.235717296959573,9.59333256267979,9.639130649697124,True,False,True,"[11.110827217230504, 9.620777373385327, 9.60864930127433, 11.148968212867514]"
boundary,boundary/series/avx512/striped/k28/h16/u64/gapped/eight,affected,ns/query,5.346212720412212,6.02769021057275,1.127469205921906,5.339038369118991,5.35506592771164,6.014320719944327,6.050710323762319,False,True,True,"[5.341233821109619, 6.0221572883811705, 6.047032773228917, 5.347391243708767]"
