order,expression,grouping,grain,placement,matches,loaded_field_bytes,visited_groups,refined_rows,modeled_distinct_64B_lines
clustered_same_values,(A|C)&(B|D),AC_BD,256,interleaved,2424,158208,309,78194,4096
clustered_same_values,(A|C)&(B|D),AB_CD,16,planes,2424,260896,8153,130403,4078
clustered_same_values,(A|C)&(B|D),AB_CD,16,interleaved,2424,260896,8153,130403,4096
clustered_same_values,(A|C)&(B|D),AB_CD,64,planes,2424,261248,2041,130403,4082
clustered_same_values,(A|C)&(B|D),AB_CD,64,interleaved,2424,261248,2041,130403,4096
clustered_same_values,(A|C)&(B|D),AB_CD,256,planes,2424,261632,511,130403,4088
clustered_same_values,(A|C)&(B|D),AB_CD,256,interleaved,2424,261632,511,130403,4096
clustered_same_values,(A|C)&(B|D),A_C_B_D,16,planes,2424,155200,9700,155090,2430
clustered_same_values,(A|C)&(B|D),A_C_B_D,16,interleaved,2424,155200,9700,155090,4096
clustered_same_values,(A|C)&(B|D),A_C_B_D,64,planes,2424,155520,2430,155090,2430
clustered_same_values,(A|C)&(B|D),A_C_B_D,64,interleaved,2424,155520,2430,155090,4096
clustered_same_values,(A|C)&(B|D),A_C_B_D,256,planes,2424,156672,612,155090,2448
clustered_same_values,(A|C)&(B|D),A_C_B_D,256,interleaved,2424,156672,612,155090,4096
clustered_same_values,(A&B)|C,one4,16,planes,7368,262144,4096,65536,4096
clustered_same_values,(A&B)|C,one4,16,interleaved,7368,262144,4096,65536,4096
clustered_same_values,(A&B)|C,one4,64,planes,7368,262144,1024,65536,4096
clustered_same_values,(A&B)|C,one4,64,interleaved,7368,262144,1024,65536,4096
clustered_same_values,(A&B)|C,one4,256,planes,7368,262144,256,65536,4096
clustered_same_values,(A&B)|C,one4,256,interleaved,7368,262144,256,65536,4096
clustered_same_values,(A&B)|C,AC_BD,16,planes,7368,142976,4468,71424,2237
clustered_same_values,(A&B)|C,AC_BD,16,interleaved,7368,142976,4468,71424,4096
clustered_same_values,(A&B)|C,AC_BD,64,planes,7368,143232,1119,71424,2238
clustered_same_values,(A&B)|C,AC_BD,64,interleaved,7368,143232,1119,71424,4096
clustered_same_values,(A&B)|C,AC_BD,256,planes,7368,144896,283,71424,2264
clustered_same_values,(A&B)|C,AC_BD,256,interleaved,7368,144896,283,71424,4096
clustered_same_values,(A&B)|C,AB_CD,16,planes,7368,260896,8153,130403,4078
clustered_same_values,(A&B)|C,AB_CD,16,interleaved,7368,260896,8153,130403,4096
clustered_same_values,(A&B)|C,AB_CD,64,planes,7368,261248,2041,130403,4082
clustered_same_values,(A&B)|C,AB_CD,64,interleaved,7368,261248,2041,130403,4096
clustered_same_values,(A&B)|C,AB_CD,256,planes,7368,261632,511,130403,4088
clustered_same_values,(A&B)|C,AB_CD,256,interleaved,7368,261632,511,130403,4096
clustered_same_values,(A&B)|C,A_C_B_D,16,planes,7368,137024,8564,136960,2143
clustered_same_values,(A&B)|C,A_C_B_D,16,interleaved,7368,137024,8564,136960,4096
clustered_same_values,(A&B)|C,A_C_B_D,64,planes,7368,137152,2143,136960,2143
clustered_same_values,(A&B)|C,A_C_B_D,64,interleaved,7368,137152,2143,136960,4096
clustered_same_values,(A&B)|C,A_C_B_D,256,planes,7368,137984,539,136960,2156
clustered_same_values,(A&B)|C,A_C_B_D,256,interleaved,7368,137984,539,136960,4096
