case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,correct,ns_per_operation,spread_percent
d05,keys,natural,points,3277,2048,65536,5532782773955584576,0,0,0,0,67008,63552,0,0,256,257,0,0,0,0,0,0,0,0,1,8.160695919070127,3.2779777223903857
d05,keys,natural,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,69472,63552,0,0,256,257,0,0,0,0,0,0,0,0,1,479.78399690842247,71.86738397375568
d05,keys,natural,churn,3277,512,65536,5532782773955584576,0,0,0,0,69472,63552,0,0,256,257,0,109536,0,0,0,0,0,0,1,158.6826000548245,110.8443960554944
d05,keys,gapped,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1,26.58856497926247,3.981466937577015
d05,keys,gapped,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1,338.57775829081623,14.494930375632938
d05,keys,gapped,churn,3277,512,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,8640,540,0,0,0,0,0,1,176.97323121488753,2.0488655938368256
d05,keys,ranked,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1,35.503358464941755,2.3998050904710024
d05,keys,ranked,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1,337.492893448795,7.004040366572155
d05,keys,ranked,churn,3277,512,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,8640,540,0,0,0,0,0,1,210.11433516398517,21.26560539582751
d05,keys,blocked,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,22336,0,0,18,0,0,0,0,0,0,0,0,0,1,58.92871396091328,21.883384408738525
