name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations
d05/keys/ranked/churn/manual_time,1,1,404,104414.45297029697,136172.1311881191,ns,512.0
d05/keys/ranked/churn/manual_time,2,1,404,107578.53960396041,140001.33910891108,ns,512.0
d05/keys/ranked/churn/manual_time,3,1,404,127291.68069306921,169163.5717821774,ns,512.0
d05/keys/ranked/churn/manual_time,4,1,404,106335.14603960387,138670.37871287155,ns,512.0
d05/keys/ranked/churn/manual_time,5,1,404,106396.41831683175,138608.91089108854,ns,512.0
d05/keys/ranked/churn/manual_time,6,1,404,127126.27227722763,163475.452970297,ns,512.0
d05/keys/blocked/points/manual_time,0,1,323,118151.34055727546,118233.48606811224,ns,2048.0
d05/keys/blocked/points/manual_time,1,1,323,120617.00928792558,120694.14551083624,ns,2048.0
d05/keys/blocked/points/manual_time,2,1,323,124858.01547987618,124946.20743034042,ns,2048.0
d05/keys/blocked/points/manual_time,3,1,323,130411.53560371527,129684.34055727575,ns,2048.0
d05/keys/blocked/points/manual_time,4,1,323,120686.0061919504,120761.73993808054,ns,2048.0
d05/keys/blocked/points/manual_time,5,1,323,141527.4210526315,141614.80804953654,ns,2048.0
d05/keys/blocked/points/manual_time,6,1,323,115117.238390093,115188.33746130107,ns,2048.0
d05/keys/blocked/scan256_after/manual_time,0,1,947,48089.611404435025,48155.40232312593,ns,256.0
d05/keys/blocked/scan256_after/manual_time,1,1,947,60086.272439281915,60165.56599788792,ns,256.0
d05/keys/blocked/scan256_after/manual_time,2,1,947,45958.50263991545,45860.303062302046,ns,256.0
d05/keys/blocked/scan256_after/manual_time,3,1,947,43822.460401267126,43882.567053853905,ns,256.0
d05/keys/blocked/scan256_after/manual_time,4,1,947,44953.5469904962,45015.53115100386,ns,256.0
d05/keys/blocked/scan256_after/manual_time,5,1,947,63833.07286166837,63907.250263992355,ns,256.0
d05/keys/blocked/scan256_after/manual_time,6,1,947,45073.93558606123,45135.031678985404,ns,256.0
d05/keys/blocked/churn/manual_time,0,1,276,150091.09420289853,167559.02898550793,ns,512.0
d05/keys/blocked/churn/manual_time,1,1,276,152742.82246376816,170443.83695652097,ns,512.0
d05/keys/blocked/churn/manual_time,2,1,276,159580.12318840594,178490.7934782627,ns,512.0
d05/keys/blocked/churn/manual_time,3,1,276,151300.00362318847,168304.34057971093,ns,512.0
d05/keys/blocked/churn/manual_time,4,1,276,196509.71739130432,218827.89855072612,ns,512.0
d05/keys/blocked/churn/manual_time,5,1,276,151552.15217391305,168873.6413043471,ns,512.0
d05/keys/blocked/churn/manual_time,6,1,276,157578.73550724646,176317.48188405993,ns,512.0
d05/keys/indirect/points/manual_time,0,1,579,69182.39550949915,69151.12262521527,ns,2048.0
d05/keys/indirect/points/manual_time,1,1,579,63427.89464594128,63492.155440413815,ns,2048.0
d05/keys/indirect/points/manual_time,2,1,579,63560.28842832483,63619.45941278079,ns,2048.0
d05/keys/indirect/points/manual_time,3,1,579,64223.749568221036,64140.40069084732,ns,2048.0
d05/keys/indirect/points/manual_time,4,1,579,63592.873920552716,63653.4248704665,ns,2048.0
d05/keys/indirect/points/manual_time,5,1,579,63614.668393782384,63675.51813471469,ns,2048.0
d05/keys/indirect/points/manual_time,6,1,579,64570.24697754746,64634.28151986134,ns,2048.0
d05/keys/indirect/scan256_after/manual_time,0,1,1215,34170.21316872427,34202.6748971195,ns,256.0
d05/keys/indirect/scan256_after/manual_time,1,1,1215,33262.81975308647,33295.23292181091,ns,256.0
d05/keys/indirect/scan256_after/manual_time,2,1,1215,33246.21810699606,33244.13662551505,ns,256.0
d05/keys/indirect/scan256_after/manual_time,3,1,1215,33605.166255144075,33523.93580246936,ns,256.0
d05/keys/indirect/scan256_after/manual_time,4,1,1215,35206.102880658415,35244.06748971156,ns,256.0
d05/keys/indirect/scan256_after/manual_time,5,1,1215,40395.632098765294,40454.69794238684,ns,256.0
d05/keys/indirect/scan256_after/manual_time,6,1,1215,34347.607407407326,34384.53333333339,ns,256.0
d05/keys/indirect/churn/manual_time,0,1,364,119218.01373626376,142370.99175824056,ns,512.0
d05/keys/indirect/churn/manual_time,1,1,364,127316.04120879127,151459.1318681315,ns,512.0
d05/keys/indirect/churn/manual_time,2,1,364,121675.31593406585,144542.12362637374,ns,512.0
d05/keys/indirect/churn/manual_time,3,1,364,116597.7857142857,138826.5769230768,ns,512.0
d05/keys/indirect/churn/manual_time,4,1,364,116257.47802197804,138806.43406593386,ns,512.0
d05/keys/indirect/churn/manual_time,5,1,364,116651.71703296708,139299.22252747256,ns,512.0
d05/keys/indirect/churn/manual_time,6,1,364,114209.8873626373,136281.019230769,ns,512.0
d05/deps/natural/points/manual_time,0,1,707,60185.94625176794,60226.60396039546,ns,2048.0
d05/deps/natural/points/manual_time,1,1,707,59451.762376237624,59214.22772277247,ns,2048.0
d05/deps/natural/points/manual_time,2,1,707,59722.10325318249,59761.079207920826,ns,2048.0
d05/deps/natural/points/manual_time,3,1,707,59956.44554455457,59788.30693069345,ns,2048.0
d05/deps/natural/points/manual_time,4,1,707,59479.19660537478,59528.052333805244,ns,2048.0
d05/deps/natural/points/manual_time,5,1,707,59174.91089108916,59213.28429985857,ns,2048.0
d05/deps/natural/points/manual_time,6,1,707,60001.16973125876,60039.54455445593,ns,2048.0
d05/deps/natural/scan256_after/manual_time,0,1,446,94891.19282511207,94935.63004484218,ns,256.0
d05/deps/natural/scan256_after/manual_time,1,1,446,95809.16816143514,95855.10089686082,ns,256.0
d05/deps/natural/scan256_after/manual_time,2,1,446,97268.98206278031,96923.30044842984,ns,256.0
d05/deps/natural/scan256_after/manual_time,3,1,446,92868.2511210763,92965.6210762337,ns,256.0
d05/deps/natural/scan256_after/manual_time,4,1,446,94884.65695067268,94929.09192825096,ns,256.0
d05/deps/natural/scan256_after/manual_time,5,1,446,94805.06726457404,94851.08295964084,ns,256.0
d05/deps/natural/scan256_after/manual_time,6,1,446,92354.76008968605,92392.9372197295,ns,256.0
d05/deps/natural/churn/manual_time,0,1,208,201857.6298076923,438314.10096153774,ns,512.0
d05/deps/natural/churn/manual_time,1,1,208,200268.4807692307,435166.86538461834,ns,512.0
d05/deps/natural/churn/manual_time,2,1,208,199926.33653846165,436349.95673076983,ns,512.0
d05/deps/natural/churn/manual_time,3,1,208,204530.35576923087,445052.4807692292,ns,512.0
d05/deps/natural/churn/manual_time,4,1,208,199760.25480769228,435333.73076923075,ns,512.0
d05/deps/natural/churn/manual_time,5,1,208,200074.36057692312,439301.68269230745,ns,512.0
d05/deps/natural/churn/manual_time,6,1,208,201215.81250000003,436162.6586538458,ns,512.0
d05/deps/gapped/points/manual_time,0,1,366,113873.72950819666,113941.59836065602,ns,2048.0
d05/deps/gapped/points/manual_time,1,1,366,115800.01912568306,115573.20491803212,ns,2048.0
d05/deps/gapped/points/manual_time,2,1,366,115263.92349726772,115118.51092896091,ns,2048.0
d05/deps/gapped/points/manual_time,3,1,366,114771.88251366108,114755.57923497095,ns,2048.0
d05/deps/gapped/points/manual_time,4,1,366,123387.7431693989,123470.51366120267,ns,2048.0
d05/deps/gapped/points/manual_time,5,1,366,115910.21038251359,115977.91530054538,ns,2048.0
d05/deps/gapped/points/manual_time,6,1,366,115006.86612021866,115074.45355191377,ns,2048.0
d05/deps/gapped/scan256_after/manual_time,0,1,520,81928.40384615387,81988.78076923083,ns,256.0
d05/deps/gapped/scan256_after/manual_time,1,1,520,141116.96538461538,141213.46153846203,ns,256.0
d05/deps/gapped/scan256_after/manual_time,2,1,520,91610.38653846153,91454.0076923077,ns,256.0
d05/deps/gapped/scan256_after/manual_time,3,1,520,81971.01730769237,82031.09038461639,ns,256.0
d05/deps/gapped/scan256_after/manual_time,4,1,520,82143.58653846153,82211.77884615464,ns,256.0
d05/deps/gapped/scan256_after/manual_time,5,1,520,82208.00576923076,82283.97500000133,ns,256.0
d05/deps/gapped/scan256_after/manual_time,6,1,520,81546.01346153843,81607.29230769236,ns,256.0
d05/deps/gapped/churn/manual_time,0,1,243,169768.37448559678,256983.88065843398,ns,512.0
d05/deps/gapped/churn/manual_time,1,1,243,169772.16049382722,257313.09876543205,ns,512.0
d05/deps/gapped/churn/manual_time,2,1,243,170874.8806584363,262328.87654321117,ns,512.0
d05/deps/gapped/churn/manual_time,3,1,243,168515.6502057613,257945.9876543204,ns,512.0
d05/deps/gapped/churn/manual_time,4,1,243,166452.86008230457,254043.382716048,ns,512.0
d05/deps/gapped/churn/manual_time,5,1,243,225706.48559670785,351793.8930041175,ns,512.0
d05/deps/gapped/churn/manual_time,6,1,243,194518.279835391,289958.8477366281,ns,512.0
d05/deps/ranked/points/manual_time,0,1,329,125169.72036474169,125212.63829787287,ns,2048.0
d05/deps/ranked/points/manual_time,1,1,329,127604.21884498485,127665.02127659501,ns,2048.0
d05/deps/ranked/points/manual_time,2,1,329,125972.15501519764,125802.81155015272,ns,2048.0
d05/deps/ranked/points/manual_time,3,1,329,125778.78115501499,125833.96656535262,ns,2048.0
d05/deps/ranked/points/manual_time,4,1,329,125620.47112462003,125676.79939209769,ns,2048.0
d05/deps/ranked/points/manual_time,5,1,329,124733.34650455916,124798.62917932947,ns,2048.0
d05/deps/ranked/points/manual_time,6,1,329,125365.68693009108,125420.34042553193,ns,2048.0
d05/deps/ranked/scan256_after/manual_time,0,1,1209,33384.586435070334,33413.73697270463,ns,256.0
d05/deps/ranked/scan256_after/manual_time,1,1,1209,33240.01736972702,33272.53928866919,ns,256.0
d05/deps/ranked/scan256_after/manual_time,2,1,1209,33344.04301075266,33374.2762613727,ns,256.0
d05/deps/ranked/scan256_after/manual_time,3,1,1209,32885.126550868474,32856.18362282892,ns,256.0
d05/deps/ranked/scan256_after/manual_time,4,1,1209,32853.04714640204,32883.89164598759,ns,256.0
d05/deps/ranked/scan256_after/manual_time,5,1,1209,50744.669148056215,32358.76674937927,ns,256.0
d05/deps/ranked/scan256_after/manual_time,6,1,1209,42039.51861042183,41098.66997518676,ns,256.0
d05/deps/ranked/churn/manual_time,0,1,70,576776.957142857,670818.4571428585,ns,512.0
d05/deps/ranked/churn/manual_time,1,1,70,568053.7142857142,659033.928571416,ns,512.0
d05/deps/ranked/churn/manual_time,2,1,70,578357.9142857143,671316.6714285583,ns,512.0
d05/deps/ranked/churn/manual_time,3,1,70,565356.7142857142,656605.9428571437,ns,512.0
d05/deps/ranked/churn/manual_time,4,1,70,567811.4428571428,662899.3999999976,ns,512.0
d05/deps/ranked/churn/manual_time,5,1,70,574393.542857143,663638.6857142946,ns,512.0
d05/deps/ranked/churn/manual_time,6,1,70,572736.4,663573.1999999958,ns,512.0
d05/deps/blocked/points/manual_time,0,1,284,145005.21830985908,145085.53521126675,ns,2048.0
d05/deps/blocked/points/manual_time,1,1,284,145287.27816901403,145376.31690140482,ns,2048.0
d05/deps/blocked/points/manual_time,2,1,284,239866.1021126761,239619.85915492795,ns,2048.0
d05/deps/blocked/points/manual_time,3,1,284,151064.48591549284,151145.53873239245,ns,2048.0
d05/deps/blocked/points/manual_time,4,1,284,139315.34154929576,139388.49647886984,ns,2048.0
d05/deps/blocked/points/manual_time,5,1,284,142548.0105633802,142625.0000000003,ns,2048.0
d05/deps/blocked/points/manual_time,6,1,284,145124.60563380268,145204.2253521123,ns,2048.0
d05/deps/blocked/scan256_after/manual_time,0,1,971,44494.91658084452,44555.269824921954,ns,256.0
d05/deps/blocked/scan256_after/manual_time,1,1,971,43601.67971163748,43685.633367663526,ns,256.0
d05/deps/blocked/scan256_after/manual_time,2,1,971,44994.928939237914,44905.81050463399,ns,256.0
d05/deps/blocked/scan256_after/manual_time,3,1,971,43481.73841400625,43556.29866117255,ns,256.0
d05/deps/blocked/scan256_after/manual_time,4,1,971,43779.38311019573,43757.337796086074,ns,256.0
d05/deps/blocked/scan256_after/manual_time,5,1,971,43440.32028836257,43497.25334706431,ns,256.0
d05/deps/blocked/scan256_after/manual_time,6,1,971,43693.3357363543,43754.077239957514,ns,256.0
d05/deps/blocked/churn/manual_time,0,1,222,189523.34234234225,266415.725225221,ns,512.0
d05/deps/blocked/churn/manual_time,1,1,222,184485.0900900901,258142.45045044995,ns,512.0
d05/deps/blocked/churn/manual_time,2,1,222,186195.65765765772,259800.6756756818,ns,512.0
d05/deps/blocked/churn/manual_time,3,1,222,185565.18918918908,261197.63513513497,ns,512.0
d05/deps/blocked/churn/manual_time,4,1,222,183331.89639639636,256657.4684684647,ns,512.0
d05/deps/blocked/churn/manual_time,5,1,222,190144.97747747749,266751.6891891932,ns,512.0
d05/deps/blocked/churn/manual_time,6,1,222,186327.96396396402,259931.49099098664,ns,512.0
d05/deps/indirect/points/manual_time,0,1,365,114221.41369863007,114289.0410958868,ns,2048.0
d05/deps/indirect/points/manual_time,1,1,365,113747.3013698629,113813.58356164335,ns,2048.0
d05/deps/indirect/points/manual_time,2,1,365,114097.52602739738,114039.38356164275,ns,2048.0
d05/deps/indirect/points/manual_time,3,1,365,115216.04383561644,115288.81095890686,ns,2048.0
d05/deps/indirect/points/manual_time,4,1,365,114754.71506849311,114826.14246575168,ns,2048.0
d05/deps/indirect/points/manual_time,5,1,365,114044.68767123281,114124.54246575138,ns,2048.0
d05/deps/indirect/points/manual_time,6,1,365,115292.18904109581,115363.01369863065,ns,2048.0
d05/deps/indirect/scan256_after/manual_time,0,1,862,49269.84454756385,49327.146171693355,ns,256.0
d05/deps/indirect/scan256_after/manual_time,1,1,862,48670.066125290025,48726.89443155496,ns,256.0
d05/deps/indirect/scan256_after/manual_time,2,1,862,49143.481438515075,49202.19489559148,ns,256.0
d05/deps/indirect/scan256_after/manual_time,3,1,862,49220.69257540609,49186.437354986825,ns,256.0
d05/deps/indirect/scan256_after/manual_time,4,1,862,49710.94199535958,49773.7819025514,ns,256.0
d05/deps/indirect/scan256_after/manual_time,5,1,862,49010.87470997681,49081.979118329786,ns,256.0
d05/deps/indirect/scan256_after/manual_time,6,1,862,49965.54176334108,49979.65081206582,ns,256.0
d05/deps/indirect/churn/manual_time,0,1,222,182542.85135135133,227643.39189189492,ns,512.0
