case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
bulk/series/avx512/local/k8/h0/u64/encode,calico,bulk/calico/local/k8/h0/u64/encode,0.06685391065473478,0.07588113413680833,0.8810346789783334,0.0668430119819631,0.07591815097018395,0.880461538219167,False,True
bulk/series/avx512/local/k8/h0/u64/decode,calico,bulk/calico/local/k8/h0/u64/decode,0.1456103338613609,0.13332535586129196,1.0921428480029702,0.13889201767004744,0.13256953235675129,1.0476918429212079,True,False
bulk/series/avx2/local/k16/h0/u64/encode,calico,bulk/calico/local/k16/h0/u64/encode,0.06958927230654223,0.15182785985330594,0.45834323406638583,0.06999062044170193,0.15222013691995193,0.4597986958749612,False,True
bulk/series/avx2/local/k16/h0/u64/decode,calico,bulk/calico/local/k16/h0/u64/decode,0.14270614554087319,0.1947802703902065,0.7326519531726063,0.14015247560795052,0.19327281468202212,0.7251535909927804,False,True
bulk/series/avx512/local/k16/h0/u64/encode,calico,bulk/calico/local/k16/h0/u64/encode,0.07142179382955251,0.15182785985330594,0.4704129657004933,0.07208780561080891,0.15222013691995193,0.47357601345949224,False,True
bulk/series/avx512/local/k16/h0/u64/decode,calico,bulk/calico/local/k16/h0/u64/decode,0.14977307651993146,0.1947802703902065,0.7689335075872346,0.14305456490484594,0.19327281468202212,0.7401690979675716,False,True
bulk/series/avx2/local/k17/h0/u64/encode,calico,bulk/calico/local/k17/h0/u64/encode,0.19755107614845285,0.27978670978784614,0.7060774126771422,0.19732985087614416,0.27945284735760617,0.7061293264392041,False,True
bulk/series/avx2/local/k17/h0/u64/decode,calico,bulk/calico/local/k17/h0/u64/decode,0.14136537833750773,0.3178767254415925,0.44471761227917445,0.13865957415288743,0.3169357124155713,0.43750063095153735,False,True
bulk/series/avx512/local/k17/h0/u64/encode,calico,bulk/calico/local/k17/h0/u64/encode,0.19712373837234334,0.27978670978784614,0.7045500428587775,0.19685899987474814,0.27945284735760617,0.7044444232226215,False,True
bulk/series/avx512/local/k17/h0/u64/decode,calico,bulk/calico/local/k17/h0/u64/decode,0.16797079447697355,0.3178767254415925,0.5284148886447395,0.15667205933485373,0.3169357124155713,0.494333876547881,False,True
