name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,0,1,94401,294.0541943406774,293.5995487335939,ns,256.0,871935945.0797012,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,1,1,94401,293.8351288655182,293.81511848391443,ns,256.0,871296212.8053845,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,2,1,94401,294.23585555160696,294.1746591667462,ns,256.0,870231313.3467156,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,0,1,68611,408.61219046563133,408.1310868519623,ns,256.0,627249450.5983479,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,1,1,68611,407.8551689960639,407.8085292445819,ns,256.0,627745575.7833471,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,2,1,68611,408.67806911406467,407.96391249216566,ns,256.0,627506483.1988446,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,0,1,68649,407.7154947634501,407.65212894579673,ns,256.0,627986417.3947167,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,1,1,68649,408.23043307226607,408.1520779618058,ns,256.0,627217191.3919696,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,2,1,68649,408.9144925627655,408.07500473422795,ns,256.0,627335654.0588127,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,0,1,68896,406.3874680668338,406.25451405016275,ns,256.0,630146844.2720863,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,1,1,68896,406.1890530655239,406.1880515559678,ns,256.0,630249952.0095468,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,2,1,68896,406.1000638632857,406.0748229215046,ns,256.0,630425688.9363601,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,0,1,60348,465.9795022202802,464.6533770796046,ns,256.0,550948325.4140688,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,1,1,60348,464.06079737701117,464.0596540067611,ns,256.0,551653214.8176583,4.0,,,,,,,,
