case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct
roots,4,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,3296020463575379636,1
roots,4,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,3296020463575379636,1
roots,4,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,512,0,0,524288,3296020463575379636,1
roots,4,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,512,0,0,524288,3296020463575379636,1
roots,4,word_check_record,8192,55653632,32768,3026247559750320707,58832,8192,512,0,0,524288,3296020463575379636,1
roots,4,word_check_span,8192,55653632,32768,3026247559750320707,58832,128,512,0,0,524288,3296020463575379636,1
roots,4,exact_top_span,8192,55653632,32768,3026247559750320707,58828,128,512,0,0,524288,3296020463575379636,1
roots,4,read_flush_span,8192,55653632,32768,3026247559750320707,58829,128,8,0,0,0,3296020463575379636,1
points,1,eager_plain,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1
points,1,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1
points,1,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1
points,1,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,5,0,507,5120,10296516241658468303,1
points,1,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,5,0,507,5120,10296516241658468303,1
points,1,word_check_record,8192,55653632,32768,3026247559750320707,58819,8192,5,0,507,5120,10296516241658468303,1
points,1,word_check_span,8192,55653632,32768,3026247559750320707,58819,128,5,0,507,5120,10296516241658468303,1
points,1,exact_top_span,8192,55653632,32768,3026247559750320707,58819,128,5,0,507,5120,10296516241658468303,1
points,1,read_flush_span,8192,55653632,32768,3026247559750320707,58819,128,4,0,437,0,10296516241658468303,1
points,4,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1
points,4,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1
points,4,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,5,0,507,5120,10296516241658468303,1
points,4,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,5,0,507,5120,10296516241658468303,1
points,4,word_check_record,8192,55653632,32768,3026247559750320707,58826,8192,5,0,507,5120,10296516241658468303,1
points,4,word_check_span,8192,55653632,32768,3026247559750320707,58836,128,5,0,507,5120,10296516241658468303,1
points,4,exact_top_span,8192,55653632,32768,3026247559750320707,58833,128,5,0,507,5120,10296516241658468303,1
points,4,read_flush_span,8192,55653632,32768,3026247559750320707,58826,128,4,0,437,0,10296516241658468303,1
batch256,1,eager_plain,2048,55653632,32768,12014852780205081442,0,0,0,0,0,0,2192050223754408051,1
batch256,1,eager_atomic,2048,55653632,32768,12014852780205081442,0,0,0,0,0,0,2192050223754408051,1
batch256,1,eager_striped,2048,55653632,32768,12014852780205081442,0,0,0,0,0,0,2192050223754408051,1
batch256,1,scatter_record,2048,55653632,32768,12014852780205081442,65536,2048,13,0,19,3328,2192050223754408051,1
batch256,1,word_or_record,2048,55653632,32768,12014852780205081442,16384,2048,13,0,19,3328,2192050223754408051,1
batch256,1,word_check_record,2048,55653632,32768,12014852780205081442,15575,2048,13,0,19,3328,2192050223754408051,1
batch256,1,word_check_span,2048,55653632,32768,12014852780205081442,15575,32,13,0,19,3328,2192050223754408051,1
batch256,1,exact_top_span,2048,55653632,32768,12014852780205081442,15575,32,13,0,19,3328,2192050223754408051,1
