name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,drain_ns_per_update,flush_ns_per_update,read_ns_per_update,reset_ns_per_update,updates,write_ns_per_update
small/t1/eager_plain/manual_time,0,1,687,82496.34497816606,88919.45705967979,ns,0.0,0.0,0.05378858630140104,0.0,8192.0,10.016566025291121
small/t1/eager_plain/manual_time,1,1,687,81813.74381368273,88400.22998544405,ns,0.0,0.0,0.05357980519923585,0.0,8192.0,9.93344946893195
small/t1/eager_plain/manual_time,2,1,687,81633.5109170306,88188.31877729265,ns,0.0,0.0,0.057928138077692835,0.0,8192.0,9.907100050036385
small/t1/eager_plain/manual_time,3,1,687,81317.38282387196,87722.4032023288,ns,0.0,0.0,0.05329550752820233,0.0,8192.0,9.873142825463969
small/t1/eager_plain/manual_time,4,1,687,80993.22561863155,87587.82096069866,ns,0.0,0.0,0.05398102028748179,0.0,8192.0,9.832887341361886
small/t1/eager_atomic/manual_time,0,1,434,132280.82949308748,138827.38018433136,ns,0.0,0.0,0.04942469443044358,0.0,8192.0,16.09813749954998
small/t1/eager_atomic/manual_time,1,1,434,130672.7258064515,136898.5230414747,ns,0.0,0.0,0.048699022987471224,0.0,8192.0,15.902561451432891
small/t1/eager_atomic/manual_time,2,1,434,130651.85023041464,137326.7073732722,ns,0.0,0.0,0.04883628177203341,0.0,8192.0,15.899875904557895
small/t1/eager_atomic/manual_time,3,1,434,129105.17741935486,135779.37557603646,ns,0.0,0.0,0.04815139418922816,0.0,8192.0,15.71175795875936
small/t1/eager_atomic/manual_time,4,1,434,124583.94930875576,130963.13594470052,ns,0.0,0.0,0.047025197112615214,0.0,8192.0,15.16097642749137
small/t1/eager_striped/manual_time,0,1,474,120856.36497890296,127223.2763713082,ns,0.0,0.0,0.06742607792721524,0.0,8192.0,14.685548162661531
small/t1/eager_striped/manual_time,1,1,474,120643.44514767929,126810.12869198293,ns,0.0,0.0,0.06743715181632386,0.0,8192.0,14.659545898437495
small/t1/eager_striped/manual_time,2,1,474,119813.60548523211,125979.95780590695,ns,0.0,0.0,0.06811008372890295,0.0,8192.0,14.55757417960508
small/t1/eager_striped/manual_time,3,1,474,118467.45147679329,124763.36075949384,ns,0.0,0.0,0.06886980402821741,0.0,8192.0,14.392489018822527
small/t1/eager_striped/manual_time,4,1,474,120167.52320675107,126600.38607594915,ns,0.0,0.0,0.06789633191587559,0.0,8192.0,14.600990778283247
small/t1/scatter_record/manual_time,0,1,129,426852.13178294594,434349.80620154925,ns,9.407879496729649,9.997556701187012,2.6945374954578476,0.5896772044573644,8192.0,39.4138789213905
small/t1/scatter_record/manual_time,1,1,129,432365.1550387596,439028.7441860468,ns,9.42857940437258,9.986157794331401,2.686306739038275,0.5575783899588176,8192.0,40.10648505632268
small/t1/scatter_record/manual_time,2,1,129,426170.511627907,432822.66666666657,ns,9.265856838965599,9.861718939256294,2.762810758842054,0.5958621002906975,8192.0,39.39823783460514
small/t1/scatter_record/manual_time,3,1,129,424048.81395348837,431126.2945736446,ns,9.177164713541663,9.729948295179268,2.658932708030523,0.5527835816375968,8192.0,39.37489023134689
small/t1/scatter_record/manual_time,4,1,129,431647.73643410846,437978.3488372084,ns,9.480534989704456,10.02385764898256,2.6894171663032944,0.543322659278101,8192.0,39.97809926114341
small/t1/word_or_record/manual_time,0,1,219,260237.42465753434,267029.6803652959,ns,9.27760739957905,9.821861510951775,2.720199236586759,0.5442541113727171,8192.0,19.225203004601884
small/t1/word_or_record/manual_time,1,1,219,261673.39269406407,268203.7671232871,ns,9.318606302618436,9.872856802047664,2.696164762592751,0.5542504994292242,8192.0,19.373531254459195
small/t1/word_or_record/manual_time,2,1,219,260265.6484018266,266778.15981735114,ns,9.245865216538244,9.804171348815638,2.7609367196418373,0.5583061322773978,8192.0,19.205600964968607
small/t1/word_or_record/manual_time,3,1,219,261908.75799086763,268862.0593607305,ns,9.53087208369007,10.074862545483732,2.7034817351598193,0.5439904617936651,8192.0,19.192939653788525
small/t1/word_or_record/manual_time,4,1,219,257762.205479452,264464.6118721466,ns,9.126571306899265,9.663745340146974,2.6864860917879563,0.5371740332477175,8192.0,19.11488154163099
small/t1/word_check_record/manual_time,0,1,195,284523.6153846154,290936.1076923061,ns,9.387459309895831,9.934997871594556,2.7280123197115387,0.5475385616987183,8192.0,22.068876452323718
small/t1/word_check_record/manual_time,1,1,195,279143.5692307693,285872.005128204,ns,9.205962039262818,9.76246682191507,2.7138552934695523,0.5565047826522439,8192.0,21.598820612980763
small/t1/word_check_record/manual_time,2,1,195,287178.6820512821,293598.50769230764,ns,9.317025991586533,9.871593299278848,2.7805319761618583,0.554567307692308,8192.0,22.403866185897442
small/t1/word_check_record/manual_time,3,1,195,287407.5282051283,294252.56923076906,ns,9.488855293469552,10.042751527443908,2.7123848157051293,0.5538962339743596,8192.0,22.328790439703518
small/t1/word_check_record/manual_time,4,1,195,279908.82051282056,286467.0923076919,ns,9.255646534455126,9.807153320312496,2.7024795923477543,0.5515067858573719,8192.0,21.658924278846154
small/t1/word_check_span/manual_time,0,1,183,304634.89071038266,311677.36612021783,ns,9.252376702313867,9.806156346055328,2.681440509733606,0.5537796437414619,8192.0,24.699279451630822
small/t1/word_check_span/manual_time,1,1,183,308285.3224043716,315332.65027322597,ns,9.558449667008198,10.14481341252562,2.6977318935706966,0.5863637455174183,8192.0,24.7899403389686
small/t1/word_check_span/manual_time,2,1,183,304588.7978142076,311039.8415300544,ns,9.360963915215164,9.933972634904372,2.8024555477288233,0.5730087196892079,8192.0,24.444821550546447
small/t1/word_check_span/manual_time,3,1,183,299506.2677595628,306178.73224043584,ns,9.145179623463115,9.7281547504696,2.695102378970288,0.5829751270064898,8192.0,24.13756657167862
small/t1/word_check_span/manual_time,4,1,183,299111.8907103826,305783.693989072,ns,9.199425535775273,9.769740036927933,2.7359212239583326,0.5703145011526641,8192.0,24.00702071059597
small/t1/exact_top_span/manual_time,0,1,191,288503.2513089006,294747.3769633504,ns,9.412188624836386,9.998573502945032,2.7120425239283366,0.5863848781086395,8192.0,22.50706601767015
small/t1/exact_top_span/manual_time,1,1,191,286572.39267015713,293406.4136125658,ns,9.214729349026504,9.761479083156086,2.6914880562827213,0.5467497341295815,8192.0,22.529014387679954
