case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct,ns_per_update,spread_percent,write_ns,read_ns,flush_ns,drain_ns,reset_ns
small,1,eager_plain,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1,9.965028188114086,1.841301865678946,9.907100050036385,0.05378858630140104,0.0,0.0,0.0
small,1,eager_atomic,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1,15.948712186329912,5.8911375313534995,15.899875904557895,0.048699022987471224,0.0,0.0,0.0
small,1,eager_striped,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1,14.668887110199105,1.9879859702188347,14.600990778283247,0.06789633191587559,0.0,0.0,0.0
small,1,scatter_record,8192,949504,32768,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1,52.105973118035394,1.9482955492184506,39.4138789213905,2.6894171663032944,9.986157794331401,9.407879496729649,0.5575783899588176
small,1,word_or_record,8192,949504,32768,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1,31.770709033426098,1.5932000772586468,19.205600964968607,2.7034817351598193,9.821861510951775,9.27760739957905,0.5442541113727171
small,1,word_check_record,8192,949504,32768,3844784674952346609,38098,8192,28,0,4,28672,7699907071562194480,1,34.73188664362981,2.9044896548175516,22.068876452323718,2.7138552934695523,9.871593299278848,9.317025991586533,0.5538962339743596
small,1,word_check_span,8192,949504,32768,3844784674952346609,38098,128,28,0,4,28672,7699907071562194480,1,37.18124973317964,3.0117429661955453,24.444821550546447,2.6977318935706966,9.806156346055328,9.252376702313867,0.5730087196892079
small,1,exact_top_span,8192,949504,32768,3844784674952346609,38098,128,28,0,4,28672,7699907071562194480,1,34.98198152711879,1.681086147525955,22.407185020247056,2.7127806978075917,9.8356697122464,9.29126935229876,0.5517705947316758
small,1,read_flush_span,8192,949504,32768,3844784674952346609,38098,128,8,0,0,0,7699907071562194480,1,34.554673867782334,2.48414951255764,24.4853614768401,0.08308217005076157,9.948285562737954,9.387005646216688,0.561279916521257
small,4,eager_atomic,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1,163.13548351469495,3.413173931137696,162.7818690708706,0.32042585100446436,0.0,0.0,0.0
small,4,eager_striped,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1,134.97052256266275,6.191154982529669,134.6191126505534,0.33337148030598956,0.0,0.0,0.0
small,4,scatter_record,8192,949504,32768,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1,405.3606746897978,15.788520291760735,384.45825195312494,3.7148222081801476,17.316571403952207,15.814905503216908,1.1144947725183822
small,4,word_or_record,8192,949504,32768,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1,184.2606357672275,2.415190512123329,163.476549979968,3.5140412159455128,16.991257887620197,16.296906300080128,0.6703632061298076
small,4,word_check_record,8192,949504,32768,3844784674952346609,38132,8192,28,0,4,28672,7699907071562194480,1,164.07808837890627,1.3545997154883282,140.59408569335935,3.5887817382812495,19.872232055664064,17.805139160156255,2.067092895507812
small,4,word_check_span,8192,949504,32768,3844784674952346609,38132,128,28,0,4,28672,7699907071562194480,1,138.59193452875664,9.257344392475558,115.98976946891618,3.5858647772606385,19.124940263464097,17.017227497506646,2.1077127659574466
small,4,exact_top_span,8192,949504,32768,3844784674952346609,38116,128,28,0,4,28672,7699907071562194480,1,139.0632908033288,7.186342789559574,116.22755498471467,3.496067212975545,19.316764499830168,17.588299295176636,1.7284652046535323
small,4,read_flush_span,8192,949504,32768,3844784674952346609,38129,128,8,0,0,0,7699907071562194480,1,136.31294912662145,2.5788994899298006,116.04045133770634,0.2269563494988203,20.077954562205186,18.095118108785375,1.8676158977004718
spread,1,eager_plain,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,86.0483648838141,3.564621252739904,85.54865753956328,0.4913533528645834,0.0,0.0,0.0
spread,1,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,155.98134068080364,5.600898896771222,155.56557210286456,0.4174397786458334,0.0,0.0,0.0
spread,1,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,143.5675103081597,5.435652034633974,143.08339301215278,0.4495090060763889,0.0,0.0,0.0
spread,1,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1,195.33618861607147,4.275258257962687,133.55904715401792,2.4223563058035715,59.85599888392856,59.42264927455357,0.43334960937500006
spread,1,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,16,0,16,16384,401617623381871345,1,173.124755859375,3.438171167321685,111.06676635742186,2.352053833007812,59.55297241210936,59.11274719238281,0.4366485595703124
spread,1,word_check_record,8192,55653632,32768,3026247559750320707,58819,8192,16,0,16,16384,401617623381871345,1,180.36423853824013,4.027539230913567,117.11814157586346,2.4248625102796053,59.072284899259856,58.607511821546055,0.43597090871710525
spread,1,word_check_span,8192,55653632,32768,3026247559750320707,58819,128,16,0,16,16384,401617623381871345,1,178.5220696864984,5.859674559033316,116.91720502804488,2.442789713541667,58.26590670072115,57.83969663962341,0.4372934194711539
spread,1,exact_top_span,8192,55653632,32768,3026247559750320707,58819,128,16,0,16,16384,401617623381871345,1,175.70508125500803,7.397541295716359,114.51942482972757,2.3556659405048084,59.739389272836526,59.266908303285255,0.4387175731169871
spread,1,read_flush_span,8192,55653632,32768,3026247559750320707,58819,128,8,0,0,0,401617623381871345,1,180.2660068609776,7.275708262692283,118.71595177283652,0.5248553936298077,61.020823943309296,60.537982647235566,0.45371031149839763
spread,4,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,156.78320035067472,4.084141773940393,156.19456620649854,0.5909451571377843,0.0,0.0,0.0
spread,4,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,129.78637017144098,1.799956341154627,129.16910129123264,0.6218600802951388,0.0,0.0,0.0
spread,4,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1,503.1309720552884,9.840572395260187,432.8485670823317,5.624042217548076,63.509202223557686,62.69435471754809,0.8064434344951922
spread,4,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,16,0,16,16384,401617623381871345,1,268.58794921875,3.750551840742919,200.85941406249995,5.7307666015625,61.9520166015625,61.1979736328125,0.7607568359375
spread,4,word_check_record,8192,55653632,32768,3026247559750320707,58827,8192,16,0,16,16384,401617623381871345,1,265.7212094907407,156.9377410959538,197.35923936631946,5.7848940248842595,63.360536928530074,62.36115632233797,0.8034306278935186
spread,4,word_check_span,8192,55653632,32768,3026247559750320707,58833,128,16,0,16,16384,401617623381871345,1,232.09451188712285,33.98727586988694,164.5786006532866,5.369515254579741,62.79552380792027,61.99449420797413,0.8164567618534484
spread,4,exact_top_span,8192,55653632,32768,3026247559750320707,58833,128,16,0,16,16384,401617623381871345,1,235.5126831054687,30.354929734566042,166.19618733723956,5.388399251302082,63.163846842447924,62.40270996093749,0.7611368815104168
spread,4,read_flush_span,8192,55653632,32768,3026247559750320707,58821,128,8,0,0,0,401617623381871345,1,235.65302986934267,3.1103741256884296,163.90196070177805,0.6161309603987056,70.81359021417026,70.07712318157328,0.7485856681034484
