trial,case,repetition,cpu_ns,real_ns
01-candidate,overwrite/local/k7/all/ikea2-raw,0,87.8836992494337,87.88854289888849
01-candidate,overwrite/local/k7/all/ikea2-raw,1,87.54559315243542,87.5480760528819
01-candidate,overwrite/local/k7/all/ikea2-raw,2,87.50066930083221,87.50210157281572
01-candidate,overwrite/local/k7/all/ikea2-raw,3,75.88864479714329,75.88873277124705
01-candidate,overwrite/local/k7/all/ikea2-raw,4,78.55443045505494,78.55872347383004
01-candidate,overwrite/local/k7/all/ikea2-raw,5,76.20909907361172,76.2091554024045
01-candidate,overwrite/local/k7/all/ikea2-raw,6,76.17245999543027,76.17492201001791
01-candidate,overwrite/local/k7/all/ikea2-coverage,0,78.21012727835381,78.211548779604
01-candidate,overwrite/local/k7/all/ikea2-coverage,1,77.99465350766847,77.99567983840696
01-candidate,overwrite/local/k7/all/ikea2-coverage,2,78.55515024277956,78.55586544611081
01-candidate,overwrite/local/k7/all/ikea2-coverage,3,77.48643618383116,77.4864935113744
01-candidate,overwrite/local/k7/all/ikea2-coverage,4,78.62101517678043,78.62107417399397
01-candidate,overwrite/local/k7/all/ikea2-coverage,5,82.22273489279185,82.22279611632433
01-candidate,overwrite/local/k7/all/ikea2-coverage,6,82.51493856487372,82.51575116938862
01-candidate,overwrite/local/k7/all/control-coverage,0,58.082423264969634,58.08246260157824
01-candidate,overwrite/local/k7/all/control-coverage,1,57.96564686561132,57.966583158330515
01-candidate,overwrite/local/k7/all/control-coverage,2,58.941644990567475,58.94336063951354
01-candidate,overwrite/local/k7/all/control-coverage,3,59.067530268685275,59.0680084542434
01-candidate,overwrite/local/k7/all/control-coverage,4,61.18242916545779,61.1824746484094
01-candidate,overwrite/local/k7/all/control-coverage,5,60.28709563216361,60.28874694941896
01-candidate,overwrite/local/k7/all/control-coverage,6,60.951998708448585,60.95323248409222
01-candidate,overwrite/local/k7/all/prior,0,59.69823837822468,59.69828253218405
01-candidate,overwrite/local/k7/all/prior,1,58.337312807711875,58.33777663580412
01-candidate,overwrite/local/k7/all/prior,2,57.91047738553995,57.91052027810579
01-candidate,overwrite/local/k7/all/prior,3,59.391039496458475,59.391087855692064
01-candidate,overwrite/local/k7/all/prior,4,58.99963667497045,59.00067744992547
01-candidate,overwrite/local/k7/all/prior,5,59.970791022507626,59.971445343925815
01-candidate,overwrite/local/k7/all/prior,6,59.80784563396026,59.80852518645494
01-candidate,placed/k20h8/separated/partial/mutation-bound,0,2445.8601812339584,2445.899913293413
01-candidate,placed/k20h8/separated/partial/mutation-bound,1,2402.7120488277496,2402.714003975589
01-candidate,placed/k20h8/separated/partial/mutation-bound,2,2366.339958176783,2366.341879324131
01-candidate,placed/k20h8/separated/partial/mutation-bound,3,2378.594841802833,2378.6217718737244
01-candidate,placed/k20h8/separated/partial/mutation-bound,4,2340.0632448698548,2340.0651490167224
01-candidate,placed/k20h8/separated/partial/mutation-bound,5,2351.538618473614,2351.587293223558
01-candidate,placed/k20h8/separated/partial/mutation-bound,6,2360.243628759428,2360.27904248695
01-candidate,placed/k20h8/separated/partial/mutation-materialized,0,1682.1440512375127,1682.1454383152466
01-candidate,placed/k20h8/separated/partial/mutation-materialized,1,1692.9910261977045,1693.010131710864
01-candidate,placed/k20h8/separated/partial/mutation-materialized,2,1671.327736768466,1671.329461569798
01-candidate,placed/k20h8/separated/partial/mutation-materialized,3,1682.7906836493455,1682.7920586669948
01-candidate,placed/k20h8/separated/partial/mutation-materialized,4,1667.5975780383087,1667.5989409966655
01-candidate,placed/k20h8/separated/partial/mutation-materialized,5,1577.275172480337,1577.2987769547854
01-candidate,placed/k20h8/separated/partial/mutation-materialized,6,1579.092849905926,1579.116466449415
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,0,2363.457153427049,2363.458750919738
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,1,2366.5510862985093,2366.603971888709
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,2,2379.1671150871066,2379.2581724651222
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,3,2363.356763301265,2363.383584450932
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,4,2362.01150198426,2362.0132508270294
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,5,2359.3198022465904,2359.382945449729
01-candidate,placed/k20h8/interleaved/partial/mutation-bound,6,2359.681509383199,2359.7215981678933
01-candidate,placed/k20h8/interleaved/partial/mutation-materialized,0,1642.5165172796228,1642.5178455894745
01-candidate,placed/k20h8/interleaved/partial/mutation-materialized,1,1632.1563712807256,1632.4529315330046
