input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes,counter:issued_bytes,counter:blocks_per_call,counter:output_body_bytes
neoverse-v2,count/weather_sept_85/series_folded_local/cp64/point/shared/masked25,1,5,"[7483.34773218669,7471.412526997758,7477.23758099199,7455.823974085131,7427.286177103349]",7471.412526997758,"[7483.109071302019,7471.19222464976,7477.01511874754,7464.752699773862,7427.085313178863]",7471.19222464976,,,464.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_local/cp64/point/shared/range37,1,5,"[3884.6738888922673,3885.8972222202383,3879.1261111094223,3865.8594444424607,3864.4072222224518]",3879.1261111094223,"[3884.562222222283,3885.769999985516,3884.0422222266275,3865.747777764581,3864.314999980757]",3884.0422222266275,,,464.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_local/cp64/point/shared/scan,1,5,"[30438.497816600342,30429.126637561363,30459.67248911937,30424.73362443876,30463.4541484796]",30438.497816600342,"[30437.794759820154,30428.227074385355,30459.078602421177,30423.89956331195,30462.545851399158]",30437.794759820154,,,464.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_local/cp64/point/shared/sparse17,1,5,"[1814.401609551608,1813.9963655249724,1815.2367601226679,1810.127466249948,1812.183281410376]",1813.9963655249724,"[1814.3382658361963,1813.9408099666646,1815.178608511992,1810.0765835947568,1812.7886812122013]",1813.9408099666646,,,464.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/crossing15,1,5,"[208.23885568127957,208.2096529571861,208.1953787133617,208.20974217153486,208.44056859065154]",208.20974217153486,"[208.2312724895252,208.20435959277685,208.18767656914227,208.20352692721198,208.78353703710312]",208.20435959277685,,,512.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/last,1,5,"[106.43782611332247,106.21007766042766,106.16524086894624,106.19336245598022,106.19158779272604]",106.19336245598022,"[106.93740140710099,106.20781761936074,106.16208591197805,106.19023783503103,106.1885390119321]",106.19023783503103,,,512.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/masked25,1,5,"[4911.155789476365,4906.961403510953,4904.992982462493,4905.902456142174,4905.310877198213]",4905.902456142174,"[4916.849824551543,4906.794385988178,4904.844210510387,4905.749473668389,4905.197894730232]",4905.749473668389,,,512.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/range37,1,5,"[2799.2420714551727,2797.884383784155,2797.546768367823,2797.7587314352872,2799.672019267215]",2797.884383784155,"[2799.183460453577,2797.8105178664455,2797.464472087323,2797.678040958551,2799.600963476141]",2797.8105178664455,,,512.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/scan,1,5,"[18566.008000031314,18550.048000027648,18573.674666678624,18552.73066666996,18548.970666680965]",18552.73066666996,"[18565.407999934298,18549.367999942962,18594.741333345155,18552.176000108982,18548.24266668705]",18552.176000108982,,,512.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/buffered16/shared/sparse17,1,5,"[1442.3725530625559,1444.771275499437,1445.7768390695728,1444.9890789211854,1450.0407995056303]",1444.9890789211854,"[1442.3360807736217,1444.7234700114077,1446.2573665829502,1446.4930970608793,1468.147537610519]",1446.2573665829502,,,512.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/crossing15,1,5,"[172.82396178797643,172.7381082017179,172.7277137056943,172.91976439129982,172.72061080038884]",172.7381082017179,"[172.81896253055433,172.73357917144074,172.7219224862651,173.1097609253945,172.71645300310485]",172.73357917144074,,,512.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/last,1,5,"[84.16685902521283,84.16446656568384,84.14871720886103,84.14273004889725,84.14494217230745]",84.14871720886103,"[84.1635408400121,84.16171343391728,84.14581980816527,84.14034961148005,84.22737983597162]",84.16171343391728,,,512.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/masked25,1,5,"[4651.531603463701,4647.156353950529,4645.9740519012585,4646.091151027101,4647.938123759319]",4647.156353950529,"[4651.396540266881,4647.007318684844,4645.800399208826,4645.944111776657,4647.766467044307]",4647.007318684844,,,512.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/range37,1,5,"[2745.366496265354,2743.7656311428864,2743.022021234672,2743.311049941089,2745.0841525729943]",2743.7656311428864,"[2745.2736924881947,2743.6893432847833,2742.9418010045106,2743.245772718042,2745.0051120728917]",2743.6893432847833,,,512.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/scan,1,5,"[18324.06332454109,18337.870712430817,18323.604221619476,18319.614775754053,18309.131926135506]",18323.604221619476,"[18323.464379984867,18358.556728211228,18323.04221636155,18319.07915559135,18308.5989446548]",18323.04221636155,,,512.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/native16/shared/sparse17,1,5,"[1144.3692885117878,1143.9247715385138,1142.7348237614146,1143.2247062678923,1143.292265012102]",1143.292265012102,"[1149.541938642467,1145.4153067858165,1143.454634465059,1143.1863577013305,1144.6232049586931]",1144.6232049586931,,,512.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/crossing15,1,5,"[179.69167670667773,179.75391556207057,179.7459690853247,179.7606828843036,179.9724949372633]",179.75391556207057,"[179.68570403208287,179.74789162115525,179.74058598798626,179.75447950689534,180.16228755989647]",179.74789162115525,,,512.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/last,1,5,"[94.83254838973683,94.8814417553587,94.79338741731405,94.91767620394697,94.81960362631065]",94.83254838973683,"[94.8293224073346,94.87881468989849,94.79097814007895,94.9155391611228,94.81682683098627]",94.8293224073346,,,512.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/masked25,1,5,"[5140.873239443166,5133.00518902178,5127.809488502258,5128.391401038701,5127.470719054873]",5128.391401038701,"[5162.918458122621,5138.893995579395,5127.656782797493,5128.283172707206,5127.261675317278]",5128.283172707206,,,512.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/range37,1,5,"[2949.9299578022833,2949.3565400827874,2950.1784810131076,2950.836286919244,2952.3080168788983]",2950.1784810131076,"[2949.8383966177703,2949.2742616144546,2950.0835443188776,2950.7586497880147,2952.232489453984]",2950.0835443188776,,,512.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/scan,1,5,"[20138.826589625573,20134.33236993938,20156.947976867985,20128.25722544145,20128.33526011972]",20134.33236993938,"[20138.225433506468,20133.75722535232,20177.358381476548,20127.812138761026,20127.791907432536]",20133.75722535232,,,512.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp16/point/shared/sparse17,1,5,"[1203.1218631849881,1201.7727741486367,1206.5524235124535,1203.7518047446579,1202.1873496042258]",1203.1218631849881,"[1203.0819869404413,1201.7289446533919,1207.2815400453871,1205.1067377177797,1202.1557236157396]",1203.0819869404413,,,512.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/crossing15,1,5,"[208.04308261480628,208.35683384562154,208.1871587550035,208.19739236811378,208.19109705529655]",208.19109705529655,"[208.03589223352864,208.60655786679052,208.18226571609347,208.19047050741665,208.18447354962228]",208.18447354962228,,,464.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/last,1,5,"[185.10799672407046,185.168256148886,185.64639526566972,185.25192190860625,185.1313238051064]",185.168256148886,"[185.1024489483743,185.16307822332615,185.84725120952828,185.2475893582726,185.12585528215277]",185.16307822332615,,,464.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/masked25,1,5,"[4904.7296348304135,4902.537219103297,4899.38132022025,4908.384831465169,4907.997191003616]",4904.7296348304135,"[4904.603932575317,4902.419943835149,4899.239466290898,4913.98174158655,4910.5330056180865]",4904.603932575317,,,464.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/range37,1,5,"[2796.426853708458,2796.6444889784952,2800.067334668299,2800.685370743166,2798.735070142923]",2798.735070142923,"[2796.352705404306,2796.5715430892196,2811.5551102215645,2803.807214439655,2798.6681362710738]",2798.6681362710738,,,464.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/scan,1,5,"[18562.411764711494,18550.943850264557,18545.435828912407,18553.97326202344,18546.088235307507]",18550.943850264557,"[18561.72727282824,18550.385026717406,18544.941176417567,18553.457219114498,18545.49999996472]",18550.385026717406,,,464.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/buffered16/shared/sparse17,1,5,"[1443.8119057445904,1441.5345183984098,1447.4563869341646,1442.4448119041344,1442.3821827199474]",1442.4448119041344,"[1445.3253410429454,1441.5043406321022,1448.6577097973166,1442.3892104193933,1442.3369160719546]",1442.3892104193933,,,464.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/crossing15,1,5,"[173.283807917445,173.2909762872992,173.11434666144618,173.21356285327823,173.2188461156794]",173.2188461156794,"[173.48281079417265,173.9459023714945,173.11119654717504,173.20924694979925,173.21321559640097]",173.21321559640097,,,464.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/last,1,5,"[160.39614575710246,160.7186585589041,160.38400694954598,160.5041605704848,160.19488386967348]",160.39614575710246,"[160.39150512134418,160.89488844157827,160.37936631346284,160.49995427931313,160.1900603510265]",160.39150512134418,,,464.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/masked25,1,5,"[4645.675298805403,4645.446215137623,4653.184594955035,4650.25033200231,4646.9893758332055]",4646.9893758332055,"[4645.576361221292,4645.320053151055,4658.468791491179,4650.124169977997,4646.862549824163]",4646.862549824163,,,464.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/range37,1,5,"[2745.846032990187,2746.7156323639306,2747.0070699120233,2745.64179104746,2745.7545168886904]",2745.846032990187,"[2745.7501963869786,2746.635506669948,2749.9701492573204,2745.5659858663525,2745.6794972619746]",2745.7501963869786,,,464.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/scan,1,5,"[18305.104986863502,18295.55643044493,18295.70078740293,18294.73228345106,18306.80314957515]",18295.70078740293,"[18304.527558994203,18295.212598554004,18295.23884514479,18294.233595839003,18325.86089230232]",18295.23884514479,,,464.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/native16/shared/sparse17,1,5,"[1139.527642276963,1138.2281300829222,1137.1094308934864,1138.075447155591,1137.6391869921315]",1138.075447155591,"[1139.8910569128723,1138.187967478551,1137.0752845526638,1138.0330081317331,1137.6060162576796]",1138.0330081317331,,,464.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/crossing15,1,5,"[195.1230490524015,194.78993868467148,195.45468227426397,195.1689520621733,194.8245261983991]",195.1230490524015,"[195.1183946493401,194.7845039021082,195.66853400221638,195.96616499319535,194.8206800440367]",195.1183946493401,,,464.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/last,1,5,"[161.7447561341249,165.39786313928724,164.29576096758288,164.28762054528224,164.56041719683208]",164.29576096758288,"[161.740246524898,165.39321477235785,164.29108947502704,164.47639971329284,164.55583820908257]",164.47639971329284,,,464.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/masked25,1,5,"[7107.674846630694,7107.58077709326,7106.230061347691,7105.163599182579,7105.8752556250565]",7106.230061347691,"[7107.4519427340365,7107.391615534314,7105.976482638195,7104.9631902261635,7105.64212674235]",7105.976482638195,,,464.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/range37,1,5,"[3534.7573306356976,3533.59656218007,3530.9196157725773,3527.6213346806735,3530.4408493471287]",3530.9196157725773,"[3534.647118287294,3533.5030333535487,3530.801314451922,3527.5222447041397,3534.066228521615]",3533.5030333535487,,,464.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/scan,1,5,"[29016.970833358373,28975.75833333832,28943.05416667464,28942.441666638766,28934.02916666806]",28943.05416667464,"[29046.412500122187,28975.158333347885,28942.316666776453,28941.891666770895,28933.116666725786]",28942.316666776453,,,464.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_folded_scan/cp64/point/shared/sparse17,1,5,"[1715.2096814630975,1709.753950338194,1706.02407825273,1705.049912214477,1706.4321545013297]",1706.4321545013297,"[1715.1482317562522,1712.3762227292293,1705.9671432207267,1705.0020065250292,1706.387258586793]",1706.387258586793,,,464.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/crossing15,1,5,"[222.8557120598974,222.88738036969218,223.01344949279024,222.94680614317713,222.8309751675753]",222.88738036969218,"[222.84804934662688,222.8792089276135,223.26104098345306,222.93971574766954,222.82321706838746]",222.8792089276135,,,544.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/last,1,5,"[112.47936426138524,112.48010499037369,112.30708040121208,112.93278691168602,112.30980177451242]",112.47936426138524,"[112.47578943977122,112.47627252416277,112.30379543014145,113.05396048378465,112.30703209263564]",112.47578943977122,,,544.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/masked25,1,5,"[5036.763557488707,5041.357194501859,5034.595083155373,5035.674620392674,5037.78452639915]",5036.763557488707,"[5036.60375993134,5041.191612448449,5034.487346360392,5035.519161235597,5037.639913237663]",5036.60375993134,,,544.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/range37,1,5,"[2817.0789049891914,2818.057568440419,2825.0519323618837,2820.011272141295,2821.5519323669214]",2820.011272141295,"[2817.0020128976425,2817.9694042005094,2839.688003213497,2821.7632850085183,2823.926328495552]",2821.7632850085183,,,544.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/scan,1,5,"[18726.924731175717,18749.47311826629,18689.881720414174,18698.088709662465,18687.177419363456]",18698.088709662465,"[18774.314516041424,18848.09677420357,18689.42204311914,18697.532258127674,18686.215053711534]",18697.532258127674,,,544.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/buffered16/shared/sparse17,1,5,"[1546.0395755039724,1548.2038470059579,1546.4313508721566,1545.6838381627006,1546.952907362736]",1546.4313508721566,"[1545.994693788511,1550.4426265784748,1546.3869113426936,1545.631439307259,1546.9097943849843]",1546.3869113426936,,,544.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/crossing15,1,5,"[194.69489546226723,194.88678825613243,194.60956961741965,194.5389234875088,194.47080738439894]",194.60956961741965,"[194.68819506323365,195.1031194396252,194.60336966069926,194.53172264181606,194.4635509339169]",194.60336966069926,,,544.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/last,1,5,"[94.5151429341806,94.42947680684239,94.58384573881494,94.48675836038096,94.47846548005869]",94.48675836038096,"[94.51189320412583,94.42614617072789,94.68794498406426,94.483683926278,94.47560679608715]",94.483683926278,,,544.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/masked25,1,5,"[5025.960670064183,5017.707210486836,5015.065549890975,5019.534595773061,5022.262199571303]",5019.534595773061,"[5031.034231639903,5017.5673707497335,5014.891478523312,5019.376547687476,5026.831755289014]",5019.376547687476,,,544.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/range37,1,5,"[2885.1221626063952,2892.885266202957,2888.510936856465,2887.725959558096,2886.0359059021243]",2887.725959558096,"[2885.0392075894856,2907.0338423429607,2891.015683030589,2889.9979364538876,2885.953363592365]",2889.9979364538876,,,544.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/scan,1,5,"[19242.16253442406,19200.520661145412,19184.242424244352,19183.27823693462,19169.826446293948]",19184.242424244352,"[19325.997245135968,19200.057851228914,19183.611570187877,19182.743801687415,19169.24517903801]",19183.611570187877,,,544.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/cps/sparse17,1,5,"[1308.5724163700875,1307.1995888631468,1305.6910857769608,1306.2635021492833,1306.4800971769168]",1306.4800971769168,"[1310.4954214143113,1307.1745468115319,1305.6553915172285,1306.2272472419863,1306.4384227207595]",1306.4384227207595,,,544.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/crossing15,1,5,"[199.72781414159178,196.24974014694845,196.11866168501405,195.9642385593678,195.80203387915097]",196.11866168501405,"[219.1031266688994,196.76601960810316,196.1199820198092,195.95744023330332,195.79669635126396]",196.1199820198092,,,544.0,2.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/last,1,5,"[94.85733318828748,94.79717494150685,94.93694600031314,94.7911795094903,94.8217956387196]",94.8217956387196,"[94.85451900590449,94.7943743542573,95.14292511767758,94.78886834549908,94.81864157915975]",94.81864157915975,,,544.0,1.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/masked25,1,5,"[5088.494489351232,5085.81043350452,5084.0249816345695,5088.85892726336,5083.337252019293]",5085.81043350452,"[5088.3585598737445,5085.645113880744,5083.878765617889,5090.423952968275,5083.201322541807]",5085.645113880744,,,544.0,62.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/range37,1,5,"[2998.5220935238476,2997.410124411321,2996.8069498039627,2999.3063063119816,2997.0622050605243]",2997.410124411321,"[2998.443586428176,2997.3097383117733,2996.716859697274,3002.7992277860376,2997.012441012739]",2997.3097383117733,,,544.0,37.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/scan,1,5,"[20044.72334294434,20030.919308346278,20033.559077812373,20028.34293948227,20022.75792508191]",20030.919308346278,"[20044.03458213163,20030.29394813566,20032.97406340594,20027.694524473747,20022.02017294139]",20030.29394813566,,,544.0,256.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/inline/sparse17,1,5,"[1303.7450688491833,1302.6391886845006,1303.5169333830765,1302.852065500539,1302.5040937838455]",1302.852065500539,"[1305.0671752812907,1302.5999255684821,1303.4752512088444,1302.811685898962,1302.4700409372922]",1302.811685898962,,,544.0,16.0,256.0,2536.0,,,
neoverse-v2,count/weather_sept_85/series_local/cp16/native16/materialized/crossing15,1,5,"[197.3481322892092,197.21423742192334,197.19758859656093,196.82548312576725,196.9097977349114]",197.19758859656093,"[198.30497492713482,197.44244746129175,197.19116569976555,196.81855315790884,196.9039100798826]",197.19116569976555,,,544.0,2.0,256.0,2536.0,,,
