case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx512/striped/k12/h0/u32/dense/o17-n16,7.772085579264667,15.695480381121353,2.019468290853063,7.342441353980887,7.9794345171721766,15.505744656675347,16.472386426141046,False,True,True,"[7.78479578730095, 15.63420077382049, 7.497695800345776, 16.18248887126476]"
runtime/authored/avx512/striped/k12/h0/u32/dense/o17-n17,8.420006224598998,17.475290691244325,2.075448666556845,8.113450676317658,8.79622808085735,16.665169203367903,18.199421509945733,False,True,True,"[8.590485172444273, 17.1269761981867, 8.21580749469539, 18.17532105810557]"
runtime/authored/avx512/striped/k12/h0/u64/dense/mixed,6.49454504824268,11.289414056304306,1.738291746757387,6.382621709482912,6.706963063884635,10.294346099609982,11.828787964799282,False,True,True,"[6.6283826381225115, 10.522177816927558, 6.435789389569472, 11.827095941925347]"
runtime/authored/avx512/striped/k12/h0/u64/dense/o16-n16,3.1978026608963557,2.5948210714992053,0.8114387742650347,3.0998161367451043,3.2845268235745095,2.4712356969987637,2.689523462640906,True,False,True,"[3.232931321173644, 2.605391735690759, 3.1138171186474786, 2.584250407307652]"
runtime/authored/avx512/striped/k12/h0/u64/dense/o17-n16,7.956517798434679,16.061174171002907,2.018618518538687,7.404278783601248,8.24982588951644,15.380524170480376,16.334420818836854,False,True,True,"[8.248577336478917, 16.166243952716442, 7.765794723429125, 15.956104389289374]"
runtime/authored/avx512/striped/k12/h0/u64/dense/o17-n17,8.581601227784182,17.6991921900424,2.0624580099036405,7.922073523064279,8.734734541533019,17.066314261618164,18.48872692407695,False,True,True,"[8.674560344771722, 17.325816335833977, 8.210112631917871, 18.265065165106616]"
runtime/authored/avx512/striped/k28/h16/u32/independentlygapped/mixed,8.100615719568907,13.806377442799393,1.704361485688909,7.558753976478458,8.214622050193006,13.508473100380403,14.262319550134727,False,True,True,"[7.687050010242437, 13.754636390186919, 8.212068633307679, 13.858118495411867]"
runtime/authored/avx512/striped/k28/h16/u32/independentlygapped/o16-n16,3.946181885404283,5.9498972278302675,1.5077605139887529,3.898300454996905,4.00433309003018,5.78272716046884,6.1133180813688845,False,True,True,"[3.9459061123941366, 5.9652739717531515, 3.9464576584144293, 5.9345204839073835]"
runtime/authored/avx512/striped/k28/h16/u32/independentlygapped/o17-n16,10.253774681058783,21.12934008616614,2.06064017821624,10.015826788153566,10.409274353325468,20.611891299035243,21.668320747063667,False,True,True,"[10.368549102897704, 21.328762360938867, 10.128427730737094, 20.935815897766783]"
runtime/authored/avx512/striped/k28/h16/u32/independentlygapped/o17-n17,10.978748939479637,22.861694022303077,2.08235875948418,10.778798918428091,11.167302571829753,22.295114882518323,23.24965202786391,False,True,True,"[10.936138230680271, 22.57109674925325, 11.004459235617407, 23.18057375017647]"
runtime/authored/avx512/striped/k28/h16/u64/independentlygapped/mixed,7.9888356641952525,13.661232784302346,1.7100405313792992,7.731001849811003,8.33740413539444,13.478661483216133,13.934287190407767,False,True,True,"[8.315899377531318, 13.778231668028772, 7.808633698047783, 13.654080809460254]"
runtime/authored/avx512/striped/k28/h16/u64/independentlygapped/o16-n16,3.9653913804791125,3.13675994050781,0.7910341349783273,3.8284572990969368,4.023493104001021,3.086512173748736,3.240609714835168,True,False,True,"[3.854579366759151, 3.0978813791703153, 3.9676531766151406, 3.216774281152058]"
runtime/authored/avx512/striped/k28/h16/u64/independentlygapped/o17-n16,9.600295673333905,21.07572382886775,2.1953202845000255,9.431954026980245,10.012171910693104,20.637500300211272,21.52042807011883,False,True,True,"[9.530004683242373, 21.17204975724206, 9.670586663425437, 20.75065095827401]"
runtime/authored/avx512/striped/k28/h16/u64/independentlygapped/o17-n17,10.83378428426643,22.539357894414323,2.080469511207412,10.547307528752391,11.162389587794346,21.916173751909415,23.306785132354936,False,True,True,"[10.730125501512646, 22.013092257151722, 10.937443067020215, 23.11567472418481]"
