dataset,id,group,status,reason,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
uap,user_agent_parsers:224,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,122,20,1,1,1,0,0,0
uap,user_agent_parsers:225,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,114,14,1,1,1,0,0,0
uap,user_agent_parsers:226,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,84,12,1,1,1,0,0,0
uap,user_agent_parsers:227,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,123,44,1,1,1,0,0,0
uap,user_agent_parsers:228,user_agent_parsers,signature,character-class,2,18213,1919759,9,9,9,9,1860,608,9,9,9,0,0,0
uap,user_agent_parsers:229,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,124,31,1,1,1,0,0,0
uap,user_agent_parsers:230,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,126,8,1,1,1,0,0,0
uap,user_agent_parsers:231,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,123,17,1,1,1,0,0,0
uap,user_agent_parsers:232,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,533,203,3,3,3,0,0,0
uap,user_agent_parsers:233,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,173,24,2,2,2,0,0,0
uap,user_agent_parsers:234,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,282,282,0,3,3,0,0,0
uap,user_agent_parsers:235,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,652,147,3,3,3,0,0,0
uap,user_agent_parsers:236,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,54,54,0,2,2,0,0,0
uap,user_agent_parsers:237,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,96,96,0,2,2,0,0,0
uap,user_agent_parsers:238,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,466,45,3,3,3,0,0,0
uap,user_agent_parsers:239,user_agent_parsers,signature,character-class,4,18213,1919759,2,2,2,2,244,155,1,2,2,0,0,0
uap,user_agent_parsers:240,user_agent_parsers,signature,assertion;branch-budget;character-class,1,18213,1919759,659,14427,15519,8142,1794594,1794594,0,14427,14427,0,0,0
uap,user_agent_parsers:241,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,18213,2,181,51,2,2,2,0,0,0
uap,user_agent_parsers:242,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,18213,2,160,44,2,2,2,0,0,0
uap,user_agent_parsers:243,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,92,28,1,1,1,0,0,0
uap,user_agent_parsers:244,user_agent_parsers,signature,character-class,3,18213,1919759,4,4,18213,4,386,134,4,4,4,0,0,0
uap,user_agent_parsers:245,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:246,user_agent_parsers,exact,,1,18213,1919759,7,7,7,7,0,0,0,0,0,0,0,0
uap,user_agent_parsers:247,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,110,110,0,2,2,0,0,0
uap,user_agent_parsers:248,user_agent_parsers,signature,character-class,3,18213,1919759,8,8,8,8,756,196,8,8,8,0,0,0
uap,user_agent_parsers:249,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,74,13,1,1,1,0,0,0
uap,user_agent_parsers:250,user_agent_parsers,signature,character-class,4,18213,1919759,2,2,15970,2,26,26,0,2,2,0,0,0
uap,user_agent_parsers:251,user_agent_parsers,signature,character-class,2,18213,1919759,1,1,1,1,53,28,1,1,1,0,0,0
uap,user_agent_parsers:252,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:253,user_agent_parsers,signature,character-class,4,18213,1919759,4,4,4,4,534,70,4,4,4,0,0,0
uap,user_agent_parsers:254,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,1,1,1,1,163,163,0,1,1,0,0,0
uap,user_agent_parsers:255,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,7,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:256,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,1,2,4238,1,248,86,2,2,2,0,0,0
uap,user_agent_parsers:257,user_agent_parsers,signature,assertion;character-class,6,18213,1919759,8,8,15970,8,884,884,0,8,8,0,0,0
uap,user_agent_parsers:258,user_agent_parsers,signature,character-class,2,18213,1919759,3,3,18213,3,370,97,3,3,3,0,0,0
uap,user_agent_parsers:259,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,18,18,0,1,1,0,0,0
uap,user_agent_parsers:260,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,52,52,0,2,2,0,0,0
uap,user_agent_parsers:261,user_agent_parsers,signature,branch-budget;character-class,2,18213,1919759,792,15320,15519,14658,1829248,1826082,432,15320,15320,0,0,0
uap,user_agent_parsers:262,user_agent_parsers,signature,character-class,1,18213,1919759,5,5,5,5,727,260,5,5,5,0,0,0
uap,user_agent_parsers:263,user_agent_parsers,signature,character-class,1,18213,1919759,2,9,9,2,1010,572,9,9,9,0,0,0
uap,user_agent_parsers:264,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,268,44,2,2,2,0,0,0
uap,user_agent_parsers:265,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,265,41,2,2,2,0,0,0
uap,user_agent_parsers:266,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,266,38,2,2,2,0,0,0
uap,user_agent_parsers:267,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,254,39,2,2,2,0,0,0
uap,user_agent_parsers:268,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,4,2,262,38,2,2,2,0,0,0
uap,user_agent_parsers:269,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,262,38,2,2,2,0,0,0
uap,user_agent_parsers:270,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,271,42,2,2,2,0,0,0
uap,user_agent_parsers:271,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,267,38,2,2,2,0,0,0
uap,user_agent_parsers:272,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,276,70,2,2,2,0,0,0
uap,user_agent_parsers:273,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,341,40,2,2,2,0,0,0
uap,user_agent_parsers:274,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,406,107,3,3,3,0,0,0
uap,user_agent_parsers:275,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,266,58,2,2,2,0,0,0
uap,user_agent_parsers:276,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,1,1,1,1,160,118,1,1,1,0,0,0
uap,user_agent_parsers:277,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,1,1,1,1,168,136,1,1,1,0,0,0
uap,user_agent_parsers:278,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,3,3,4238,3,459,324,3,3,3,0,0,0
uap,user_agent_parsers:279,user_agent_parsers,signature,character-class,2,18213,1919759,4,4,4,4,250,98,4,4,4,0,0,0
uap,user_agent_parsers:280,user_agent_parsers,signature,character-class,8,18213,1919759,4234,4236,15970,4234,606177,180554,4236,4236,4236,0,0,0
uap,user_agent_parsers:281,user_agent_parsers,signature,character-class,2,18213,1919759,490,495,15970,490,50872,19419,494,495,495,0,0,0
uap,user_agent_parsers:282,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,67,67,0,1,1,0,0,0
uap,user_agent_parsers:283,user_agent_parsers,exact,,3,18213,1919759,0,0,18213,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:284,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,15970,0,0,0,0,0,0,0,0,0
