name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations,rows
absent/joint16/q2/manual_time,3,1,47,609691.2553191488,610035.4468085138,ns,1048576.0,1048576.0
absent/joint16/q2/manual_time,4,1,47,595443.8085106382,595746.4468085156,ns,1048576.0,1048576.0
absent/joint16/q3/manual_time,0,1,46,591868.3695652173,592229.1739130382,ns,1048576.0,1048576.0
absent/joint16/q3/manual_time,1,1,46,666135.7826086956,666471.9130435098,ns,1048576.0,1048576.0
absent/joint16/q3/manual_time,2,1,46,643415.7173913044,643886.7608695431,ns,1048576.0,1048576.0
absent/joint16/q3/manual_time,3,1,46,663108.6739130433,663438.4130434851,ns,1048576.0,1048576.0
absent/joint16/q3/manual_time,4,1,46,640446.5217391304,638953.8043478251,ns,1048576.0,1048576.0
absent/joint64/q0/manual_time,0,1,74,353583.63513513526,353768.0270270208,ns,1048576.0,1048576.0
absent/joint64/q0/manual_time,1,1,74,347279.581081081,346497.17567566136,ns,1048576.0,1048576.0
absent/joint64/q0/manual_time,2,1,74,352777.86486486474,352913.283783774,ns,1048576.0,1048576.0
absent/joint64/q0/manual_time,3,1,74,340026.59459459456,340240.41891890625,ns,1048576.0,1048576.0
absent/joint64/q0/manual_time,4,1,74,338822.2567567568,338986.4864864718,ns,1048576.0,1048576.0
absent/joint64/q1/manual_time,0,1,84,347312.9642857143,346710.82142855355,ns,1048576.0,1048576.0
absent/joint64/q1/manual_time,1,1,84,337115.32142857136,337282.7380952327,ns,1048576.0,1048576.0
absent/joint64/q1/manual_time,2,1,84,335571.3928571427,335718.74999998877,ns,1048576.0,1048576.0
absent/joint64/q1/manual_time,3,1,84,341976.49999999994,342154.7500000005,ns,1048576.0,1048576.0
absent/joint64/q1/manual_time,4,1,84,338308.84523809515,338516.3690476288,ns,1048576.0,1048576.0
absent/joint64/q2/manual_time,0,1,75,335168.4533333335,335355.5600000154,ns,1048576.0,1048576.0
absent/joint64/q2/manual_time,1,1,75,351370.85333333345,351501.66666665446,ns,1048576.0,1048576.0
absent/joint64/q2/manual_time,2,1,75,355302.48,355486.6666666593,ns,1048576.0,1048576.0
absent/joint64/q2/manual_time,3,1,75,334656.2933333335,334816.66666666855,ns,1048576.0,1048576.0
absent/joint64/q2/manual_time,4,1,75,340279.65333333326,339213.8799999837,ns,1048576.0,1048576.0
absent/joint64/q3/manual_time,0,1,80,349083.63750000007,349721.86249999644,ns,1048576.0,1048576.0
absent/joint64/q3/manual_time,1,1,80,350046.67499999993,349204.68749999325,ns,1048576.0,1048576.0
absent/joint64/q3/manual_time,2,1,80,336895.0499999999,337061.4624999879,ns,1048576.0,1048576.0
absent/joint64/q3/manual_time,3,1,80,340712.35,340908.84999999905,ns,1048576.0,1048576.0
absent/joint64/q3/manual_time,4,1,80,335802.85,335960.93750001275,ns,1048576.0,1048576.0
absent/joint256/q0/manual_time,0,1,61,481480.737704918,481730.1803278673,ns,1048576.0,1048576.0
absent/joint256/q0/manual_time,1,1,61,457566.0655737705,457724.7213114823,ns,1048576.0,1048576.0
absent/joint256/q0/manual_time,2,1,61,476632.3770491804,464115.4590164004,ns,1048576.0,1048576.0
absent/joint256/q0/manual_time,3,1,61,467969.16393442627,468136.60655736324,ns,1048576.0,1048576.0
absent/joint256/q0/manual_time,4,1,61,457560.4918032785,457717.21311478043,ns,1048576.0,1048576.0
absent/joint256/q1/manual_time,0,1,57,468401.6666666665,468614.77192983363,ns,1048576.0,1048576.0
absent/joint256/q1/manual_time,1,1,57,478903.2105263158,479228.8070175563,ns,1048576.0,1048576.0
absent/joint256/q1/manual_time,2,1,57,458424.29824561405,457195.8947368216,ns,1048576.0,1048576.0
absent/joint256/q1/manual_time,3,1,57,452647.1578947368,452826.7543859754,ns,1048576.0,1048576.0
absent/joint256/q1/manual_time,4,1,57,462594.66666666674,461898.38596489315,ns,1048576.0,1048576.0
absent/joint256/q2/manual_time,0,1,61,469096.7868852458,469271.8524590193,ns,1048576.0,1048576.0
absent/joint256/q2/manual_time,1,1,61,469839.37704918033,470012.98360655375,ns,1048576.0,1048576.0
absent/joint256/q2/manual_time,2,1,61,469329.06557377044,469984.2950819486,ns,1048576.0,1048576.0
absent/joint256/q2/manual_time,3,1,61,472934.4098360657,472060.09836066567,ns,1048576.0,1048576.0
absent/joint256/q2/manual_time,4,1,61,458861.6721311476,459036.1967213269,ns,1048576.0,1048576.0
absent/joint256/q3/manual_time,0,1,61,463588.6393442624,463765.70491804683,ns,1048576.0,1048576.0
absent/joint256/q3/manual_time,1,1,61,590051.081967213,493682.36065575737,ns,1048576.0,1048576.0
absent/joint256/q3/manual_time,2,1,61,481548.40983606555,481843.5737704665,ns,1048576.0,1048576.0
absent/joint256/q3/manual_time,3,1,61,454145.262295082,453553.9508196671,ns,1048576.0,1048576.0
absent/joint256/q3/manual_time,4,1,61,455499.08196721325,455726.7704917875,ns,1048576.0,1048576.0
absent/joint16_planar/q0/manual_time,0,1,64,452878.015625,451910.79687501024,ns,1048576.0,1048576.0
absent/joint16_planar/q0/manual_time,1,1,64,448156.6875,448366.54687499534,ns,1048576.0,1048576.0
