dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
census-income,0,256,direct32,inline,5,6524.21,6493.05,6528.22,25081.13916015625,1.0,1.0
census-income,0,256,direct32,split,5,6751.35,6740.76,6760.69,26020.759765625,0.966356358357958,1.0348149431118865
census-income,0,256,local16,inline,5,7067.82,7050.69,7082.38,27217.1787109375,0.9230866094495899,1.0
census-income,0,256,local16,split,5,7111.53,7069.65,7136.89,27341.0791015625,0.9174129898910642,1.0061843680229547
census-income,0,256,scan128,inline,5,6924.3,6914.54,6951.21,26694.802734375,0.9422194301229004,1.0
census-income,0,256,scan128,split,5,7068.61,7064.19,7079.36,27260.2548828125,0.9229834437039248,1.020841095850844
census-income,3,37,direct32,inline,5,965.314,964.848,967.976,3727.9315795898438,1.0,1.0
census-income,3,37,direct32,split,5,1005.49,1000.99,1006.76,3859.2164916992188,0.9600433619429333,1.0416196180724615
census-income,3,37,local16,inline,5,1058.25,1056.56,1071.05,4066.205810546875,0.9121795416961965,1.0
census-income,3,37,local16,split,5,1060.06,1054.57,1061.4,4077.34033203125,0.910622040261872,1.001710370895346
census-income,3,37,scan128,inline,5,1034.93,1032.8,1039.36,3991.4785766601562,0.9327336148338534,1.0
census-income,3,37,scan128,split,5,1053.12,1052.58,1062.95,4064.047607421875,0.9166229869340626,1.0175760679466241
census-income,15,18,direct32,inline,5,466.119,464.992,468.397,1795.0665588378906,1.0,1.0
census-income,15,18,direct32,split,5,475.695,475.196,476.519,1831.3249206542969,0.979869454167061,1.0205441099804984
census-income,15,18,local16,inline,5,510.783,510.657,511.672,1970.075439453125,0.912557778939393,1.0
census-income,15,18,local16,split,5,511.526,509.701,511.905,1968.1231689453125,0.91123227362832,1.0014546294610431
census-income,15,18,scan128,inline,5,502.391,501.134,503.504,1933.4583129882812,0.9278012544014522,1.0
census-income,15,18,scan128,split,5,509.085,508.216,510.584,1961.5523986816406,0.9156015203747901,1.0133242832773675
census-income,255,1,direct32,inline,5,52.1361,52.0073,52.3938,200.88718032836914,1.0,1.0
census-income,255,1,direct32,split,5,53.2842,53.2651,53.3681,204.2687644958496,0.9784532750796672,1.0220212098718546
census-income,255,1,local16,inline,5,64.1101,63.9816,64.3646,247.14290618896484,0.8132275569684028,1.0
census-income,255,1,local16,split,5,65.4862,65.3899,65.8474,252.47988510131836,0.7961387284649285,1.0214646366173192
census-income,255,1,scan128,inline,5,62.6008,62.457,62.7699,241.21245574951172,0.8328344046721448,1.0
census-income,255,1,scan128,split,5,64.1001,64.0397,64.3592,247.3264274597168,0.8133544253441103,1.0239501731607263
census-income_srt,0,256,direct32,inline,5,6512.27,6478.62,6524.04,25049.287109375,1.0,1.0
census-income_srt,0,256,direct32,split,5,6753.39,6733.94,6806.5,26026.43896484375,0.9642964496349241,1.0370254918791757
census-income_srt,0,256,local16,inline,5,7031.92,7028.13,7049.21,27138.40869140625,0.9261012639506707,1.0
census-income_srt,0,256,local16,split,5,7078.89,7067.01,7150.03,27250.7548828125,0.9199563773416454,1.0066795412917098
census-income_srt,0,256,scan128,inline,5,6917.9,6907.04,6940.77,26656.65869140625,0.9413651541652814,1.0
