case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
bulk/calico/local/k6/h0/u8/decode,ns/value,0.18788922246907874,0.18789805646662186,1.0000470170530646,0.18787227932272396,0.18792226294703415,0.18787760649411703,0.18792606881130805,0.18789263257935931,0.18791331118788945,0.18788429791483308,0.18788581235879814,False,False,False
bulk/calico/local/k6/h0/u8/encode,ns/value,0.18523052856016986,0.18523055340000133,1.0000001341022544,0.185204839065492,0.18525605472279333,0.18518723599361825,0.1852681294045898,0.18523881400066625,0.18523907428792502,0.18522993590311784,0.18522344336445618,False,False,True
bulk/predecessor/local/k6/h0/u8/decode,ns/value,0.1680658939387636,0.16806607569795537,1.0000010814757683,0.16803617851480518,0.16810480803622666,0.16805010084365266,0.168114201272142,0.1680711157972789,0.16807351784176638,0.16805863355414435,0.1680606720802483,False,False,False
bulk/predecessor/local/k6/h0/u8/encode,ns/value,0.1726966631859737,0.17272618186707095,1.000170927918077,0.17267838781964173,0.17274337924398325,0.17266897546388368,0.1727545061910626,0.17271340377539648,0.17272968146931675,0.17272286777051457,0.17269488770008556,False,False,True
bulk/series/neon/local/k23/h16/u32/decode,ns/value,0.2984960069530995,0.2985738725831748,1.000260859871695,0.2983725721286829,0.2986438608158455,0.29836166689179067,0.298689560620813,0.29858195058090925,0.2986311844218655,0.2985165607444841,0.29841006332528974,False,False,True
bulk/series/neon/local/k23/h16/u32/encode,ns/value,0.40428704901636914,0.40381901794546254,0.9988423297950174,0.4034460071240955,0.4062828935478325,0.4019091411972995,0.4055444896553834,0.4046423059401424,0.40313400437435276,0.40511688344350405,0.40381945696813076,False,False,False
bulk/series/neon/local/k6/h0/u8/decode,ns/value,0.16822135411424266,0.1657877235792336,0.9855331652284981,0.1682064985649725,0.1683707197173302,0.16577472542520047,0.16583717870348288,0.16821162824323882,0.16578814923703278,0.1657872979214344,0.16825174283580624,True,False,True
bulk/series/neon/local/k6/h0/u8/encode,ns/value,0.17290100361334787,0.1728750895750411,0.999850122105915,0.17287506544247294,0.17293694420380584,0.17284503956456848,0.17288680391916547,0.1729249109000342,0.17288618203599446,0.1728577518762334,0.17289204390880164,False,False,True
bulk/series/neon/local/k64/h0/u64/decode,ns/value,0.14675532306192213,0.14673646828226747,0.999871522345757,0.1464843610195486,0.14684345366844317,0.14645107038053592,0.14699626909366115,0.1468081329583615,0.14675101138470337,0.14655497421906324,0.1467095371620535,False,False,True
bulk/series/neon/local/k64/h0/u64/encode,ns/value,0.14765451227018062,0.14781982331296686,1.0011195800266757,0.14721596000302814,0.14801571892572724,0.14742390646863282,0.1482544192489876,0.1472776484137715,0.14814702067928343,0.14758059373542465,0.14784413740485072,False,False,False
resident/calico/local/k1/h0/u64/get16,ns/query,6.524336853168385,6.5064040165277,0.9972513931999117,6.500872649807742,6.552175458188448,6.5018566533536735,6.510098243132093,6.545486256845345,6.505603999156247,6.507828294715764,6.502034582639563,False,False,False
resident/calico/local/k5/h0/u64/get16,ns/query,11.521904773665238,11.53094699515854,1.0007847852999072,11.515121835054037,11.527893829452891,11.511622784826876,11.536187944354516,11.525114076327485,11.52218472828381,11.531373563369906,11.520836626273278,False,False,False
resident/calico/local/k56/h0/u64/get16,ns/query,16.38385113342899,16.316963302559376,0.9959174536972484,16.368206011565157,16.40691441074811,16.242013390204114,16.408427126037505,16.384658215841878,16.251761991135243,16.38056272497766,16.383044051016103,False,False,True
resident/calico/local/k6/h0/u64/get16,ns/query,11.064544657864674,11.054113210561589,0.9990572185638321,11.058307869044297,11.066819251400021,11.034017816484367,11.078679569888017,11.066123448147893,11.050159064460715,11.07499641362322,11.061598658939298,False,False,False
resident/calico/local/k7/h0/u64/get16,ns/query,11.135002427657906,11.171150266459495,1.0032463251837112,11.10760476970346,11.164824495142035,11.164103699561116,11.173852050582019,11.13528786298275,11.171682797825518,11.165870762026927,11.12606351352485,False,False,True
resident/calico/striped/k1/h0/u64/get16,ns/query,7.4927554832713295,7.494954523827225,1.0002934888988178,7.491815374154315,7.496834966115825,7.490631741678849,7.496598305805411,7.492744260262396,7.493877273272838,7.496514659049416,7.492766706280264,False,False,True
resident/calico/striped/k5/h0/u64/get16,ns/query,7.556522523163233,8.171033919224188,1.081321982985861,7.509304085508202,7.738749300528587,8.051565489953761,8.398906332759497,7.57028831614919,8.154996813757972,8.187071024690404,7.54904001892535,False,True,True
resident/calico/striped/k56/h0/u64/get16,ns/query,16.379931072960215,16.31526728011753,0.9960522548871142,16.36277818713142,16.397435776942523,16.248532253269843,16.390903488517342,16.39716596177955,16.264602376882845,16.37852674113804,16.368810648541473,False,False,False
