dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,quadrants,sample32,predict-then-encode,1,16,2048,32768,0,268435456,6433493,196.335,28660928,97704231,6438832,6438832,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,2,16,2048,32768,0,268435456,6454914,196.988,28667419,97704234,6450463,6450463,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,3,16,2048,32768,0,268435456,6430623,196.247,28673175,97704232,6436342,6436342,available,0,0,unestablished
structural,quadrants,sample32,predict-then-encode,4,16,2048,32768,0,268435456,6430574,196.246,28663016,97704232,6436933,6436933,available,0,0,unestablished
random_dense,cheap,full,predict,0,16,512,8192,0,83533312,5823788,710.912,26026969,100957479,5837593,5837593,available,0,0,unestablished
random_dense,cheap,full,predict,1,16,512,8192,0,83533312,5973150,729.144,26151353,100957482,5924012,5924012,available,0,0,unestablished
random_dense,cheap,full,predict,2,16,512,8192,0,83533312,5879599,717.724,26027145,100957481,5876492,5876492,available,0,0,unestablished
random_dense,cheap,full,predict,3,16,512,8192,0,83533312,5872378,716.843,26020628,100957480,5869172,5869172,available,0,0,unestablished
random_dense,cheap,full,predict,4,16,512,8192,0,83533312,5886498,718.567,26024615,100957479,5857803,5857803,available,0,0,unestablished
random_dense,cheap,full,encode,0,16,128,2048,2048,20521344,7386261,3606.57,33085153,97616297,7399583,7399583,available,0,0,unestablished
random_dense,cheap,full,encode,1,16,128,2048,2048,20521344,7424582,3625.28,33079040,97616298,7429753,7429753,available,0,0,unestablished
random_dense,cheap,full,encode,2,16,128,2048,2048,20521344,7440722,3633.17,33112872,97616297,7446113,7446113,available,0,0,unestablished
random_dense,cheap,full,encode,3,16,128,2048,2048,20521344,7452052,3638.7,33082703,97616299,7447323,7447323,available,0,0,unestablished
random_dense,cheap,full,encode,4,16,128,2048,2048,20521344,7413241,3619.75,33076405,97616297,7418503,7418503,available,0,0,unestablished
