dataset,model,scan,stage,repetitions,median_ns,min_ns,max_ns,cycles_per_call
msmarco,cheap,full,predict-then-encode,5,3777.5,3774.79,3788.68,14587.642578125
msmarco,cheap,sample32,predict,5,161.968,160.92,162.616,623.4710388183594
msmarco,cheap,sample32,predict-then-encode,5,3065.2,3058.3,3079.64,11835.90576171875
msmarco,quadrants,full,predict,5,1941.05,1935.89,1948.17,7498.181884765625
msmarco,quadrants,full,predict-then-encode,5,4924.25,4877.52,4931.87,18921.6337890625
msmarco,quadrants,sample32,predict,5,310.283,310.041,310.952,1196.6192626953125
msmarco,quadrants,sample32,predict-then-encode,5,3214.63,3200.6,3231.15,12410.82763671875
random_dense,cheap,full,encode,5,6193.87,6168.08,6308.06,23907.0869140625
random_dense,cheap,full,predict,5,938.979,936.227,942.795,3625.940673828125
random_dense,cheap,full,predict-then-encode,5,940.132,938.209,942.696,3626.4429931640625
random_dense,cheap,sample32,predict,5,178.095,177.15,178.407,685.9723815917969
random_dense,cheap,sample32,predict-then-encode,5,177.768,177.168,178.118,686.2446594238281
random_dense,quadrants,full,predict,5,2058.51,2050.86,2064.25,7956.448486328125
random_dense,quadrants,full,predict-then-encode,5,2061.6,2056.81,2068.48,7967.671630859375
random_dense,quadrants,sample32,predict,5,330.924,329.538,331.341,1277.060302734375
random_dense,quadrants,sample32,predict-then-encode,5,330.398,328.991,331.061,1275.605712890625
structural,cheap,full,encode,5,6104.85,6079.92,6155.81,23576.2392578125
structural,cheap,full,predict,5,950.465,947.91,954.943,3668.792724609375
structural,cheap,full,predict-then-encode,5,948.865,946.538,952.658,3665.172607421875
structural,cheap,sample32,predict,5,177.47,177.311,178.134,684.871826171875
structural,cheap,sample32,predict-then-encode,5,178.224,177.225,179.176,687.5013427734375
structural,quadrants,full,predict,5,2077.58,2060.89,2089.13,7983.705810546875
structural,quadrants,full,predict-then-encode,5,2066.36,2060.74,2072.99,7981.7705078125
structural,quadrants,sample32,predict,5,330.529,330.312,332.734,1276.0040283203125
structural,quadrants,sample32,predict-then-encode,5,331.104,330.494,331.558,1278.4359130859375
terminal_mix,cheap,full,encode,5,1392.47,1387.93,1400.19,5363.761962890625
terminal_mix,cheap,full,predict,5,483.866,483.794,485.746,1869.0039672851562
terminal_mix,cheap,full,predict-then-encode,5,1858.56,1851.06,1872.01,7176.566650390625
terminal_mix,cheap,sample32,predict,5,76.9955,76.7188,77.4199,297.02716064453125
terminal_mix,cheap,sample32,predict-then-encode,5,1495.5,1488.91,1503.07,5770.929443359375
terminal_mix,quadrants,full,predict,5,1201.77,1199.01,1205.78,4645.171142578125
terminal_mix,quadrants,full,predict-then-encode,5,2586.18,2568.33,2598.22,9943.39501953125
terminal_mix,quadrants,sample32,predict,5,192.926,192.266,193.956,745.0960083007812
terminal_mix,quadrants,sample32,predict-then-encode,5,1615.23,1610.41,1635.06,6233.282470703125
uscensus2000,cheap,full,encode,5,196.988,196.138,197.669,760.140625
uscensus2000,cheap,full,predict,5,364.651,363.675,366.115,1407.0892333984375
uscensus2000,cheap,full,predict-then-encode,5,548.644,546.742,551.739,2118.77978515625
uscensus2000,cheap,sample32,predict,5,62.0112,61.4847,62.3928,239.33074188232422
uscensus2000,cheap,sample32,predict-then-encode,5,250.646,249.938,251.025,967.6318664550781
uscensus2000,quadrants,full,predict,5,1026.49,1023.81,1027.45,3967.2635498046875
uscensus2000,quadrants,full,predict-then-encode,5,1211.92,1208.94,1217.03,4680.9161376953125
uscensus2000,quadrants,sample32,predict,5,166.416,165.949,167.902,642.1987609863281
uscensus2000,quadrants,sample32,predict-then-encode,5,358.853,358.206,361.414,1385.6723022460938
weather_sept_85,cheap,full,encode,5,3076.39,3067.09,3081.52,11882.37158203125
weather_sept_85,cheap,full,predict,5,679.633,677.623,681.922,2625.1273193359375
weather_sept_85,cheap,full,predict-then-encode,5,3752.94,3749.96,3755.04,14489.9501953125
weather_sept_85,cheap,sample32,predict,5,123.926,123.415,124.286,477.564208984375
weather_sept_85,cheap,sample32,predict-then-encode,5,3199.25,3190.53,3208.54,12349.46826171875
weather_sept_85,quadrants,full,predict,5,1600.62,1594.0,1603.92,6181.438720703125
weather_sept_85,quadrants,full,predict-then-encode,5,4710.27,4692.54,4739.67,18220.60595703125
weather_sept_85,quadrants,sample32,predict,5,258.455,257.477,259.37,998.9236145019531
weather_sept_85,quadrants,sample32,predict-then-encode,5,3337.66,3323.57,3345.53,12884.40478515625
weather_sept_85_srt,cheap,full,encode,5,709.01,705.715,710.535,2734.3232421875
weather_sept_85_srt,cheap,full,predict,5,446.903,444.356,447.856,1723.0242309570312
weather_sept_85_srt,cheap,full,predict-then-encode,5,1145.26,1144.02,1146.05,4424.8582763671875
weather_sept_85_srt,cheap,sample32,predict,5,73.7262,73.5093,73.9977,284.9976806640625
weather_sept_85_srt,cheap,sample32,predict-then-encode,5,780.179,776.724,783.016,3006.6500244140625
weather_sept_85_srt,quadrants,full,predict,5,1172.56,1172.27,1174.56,4531.2191162109375
weather_sept_85_srt,quadrants,full,predict-then-encode,5,1874.75,1869.91,1876.6,7243.007568359375
weather_sept_85_srt,quadrants,sample32,predict,5,191.721,190.647,192.429,739.4315490722656
weather_sept_85_srt,quadrants,sample32,predict-then-encode,5,898.712,895.584,900.746,3464.4730224609375
wikileaks-noquotes,cheap,full,encode,5,395.741,394.734,397.143,1528.6719970703125
wikileaks-noquotes,cheap,full,predict,5,401.404,400.278,402.216,1548.943359375
wikileaks-noquotes,cheap,full,predict-then-encode,5,787.355,787.234,788.522,3041.10888671875
wikileaks-noquotes,cheap,sample32,predict,5,64.1397,63.8601,64.7,247.4481658935547
wikileaks-noquotes,cheap,sample32,predict-then-encode,5,453.575,452.832,464.39,1752.605712890625
wikileaks-noquotes,quadrants,full,predict,5,1085.41,1082.28,1088.91,4194.3189697265625
wikileaks-noquotes,quadrants,full,predict-then-encode,5,1471.62,1467.11,1473.16,5682.35498046875
wikileaks-noquotes,quadrants,sample32,predict,5,172.126,171.743,173.494,664.8772583007812
wikileaks-noquotes,quadrants,sample32,predict-then-encode,5,565.903,565.253,570.072,2188.6415405273438
wikileaks-noquotes_srt,cheap,full,encode,5,308.567,307.42,309.608,1190.5142211914062
wikileaks-noquotes_srt,cheap,full,predict,5,389.667,387.689,390.789,1503.8681030273438
wikileaks-noquotes_srt,cheap,full,predict-then-encode,5,688.041,687.764,690.016,2653.1319580078125
wikileaks-noquotes_srt,cheap,sample32,predict,5,63.4067,63.0533,63.6153,244.37389373779297
wikileaks-noquotes_srt,cheap,sample32,predict-then-encode,5,364.29,362.979,366.251,1405.8335571289062
wikileaks-noquotes_srt,quadrants,full,predict,5,1069.27,1068.28,1074.31,4135.8056640625
wikileaks-noquotes_srt,quadrants,full,predict-then-encode,5,1370.5,1368.72,1372.82,5286.1240234375
wikileaks-noquotes_srt,quadrants,sample32,predict,5,170.976,170.908,173.42,660.0610656738281
wikileaks-noquotes_srt,quadrants,sample32,predict-then-encode,5,475.61,474.868,475.946,1836.8311767578125
