node,n,p50_us,p99_us,min_us,max_us
0,21120,5.745452783423476,10.192513013749352,0.578653159549227,35.95371182412281
1,21120,6.04087619055729,9.2744356339601,3.584276831178635,84.35419432307887
2,21120,6.194217070386513,9.89077192342933,3.0125448807030915,1039.2124798059606
3,21120,7.564581453481922,11.67079752536635,3.0948377670805205,31.393946930503358
6,21120,5.603398537389118,8.376109194302407,1.1045585967536318,34.581622079878116
7,21120,6.245604550270945,8.695036044110894,3.9562792973704055,29.803914352914376
8,21120,8.439877086032489,14.082428221377805,3.944276292722556,34.71896355990635
9,21120,8.233648565943062,13.232866169116383,3.489048648927477,22.18613876634289
10,21120,8.874462709312414,14.238569513000167,4.232444913411047,51.99512864258041
11,21120,6.558273043286114,9.637729299536367,4.031465044163051,304.11488609631067
