az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
1,1,3840,28.769948669765522,0.0,57.524173668468464,31.76498083432526,0.0,60.999310995155156,34.77349353788741,0.0,64.33133422452453,22.69001137915789,89.73863626939819,-19.141639058508446,76.74245517037033,25.88139802513315,31.074848046493482
1,2,7680,183.0361822338519,133.52902738268273,228.66375603883876,198.544498726273,154.32601417895899,249.37433841116115,204.93819787905383,165.45243636738437,259.9134336746687,150.81276153337723,1197.9242888062747,133.52902738268273,228.66375603883876,156.41236420771887,202.19892165079676
1,3,7680,260.0353535265399,0.0,514.2074310782282,372.5363060500009,0.0,717.6763099908509,379.18838275180855,0.0,722.3302299397617,245.23478151071515,385.5440256044515,-163.80528710600902,781.0530382545578,250.08150536532116,377.0703473500322
1,4,7680,212.5552365490022,162.94987281241237,255.9094131833333,259.01599417838264,216.2491801994995,310.9728301429129,279.11704707449394,235.85826350807102,331.8380878148379,133.75932578539428,306.8859103736661,162.94987281241237,255.9094131833333,138.0767484190104,276.6027698563887
1,5,7680,120.22561557435384,74.52988510885893,168.75145857607612,131.2038567882295,87.9381283617918,182.8844730648148,140.6384299917174,98.50662259664968,193.12922453994796,110.36714782359428,173.23137388045433,74.52988510885893,168.75145857607612,114.18800954774942,131.70626821287212
1,6,7680,252.98417006233484,211.9057534052052,306.9636067947448,295.39347196942003,251.1041744463163,343.6697558530931,302.9524821960178,265.0472445066497,358.87034992871077,232.3543446374084,579.1285140958165,211.9057534052052,306.9636067947448,237.12975361873035,299.6815773026167
2,1,7680,178.96175252082514,131.19369774679677,226.8505002760761,196.77470149252022,154.03633526351337,248.72974494006002,209.68125155556464,168.71608615510004,265.0229171397547,146.35134754843503,234.78590105266107,131.19369774679677,226.8505002760761,150.28326962227402,207.50395769460692
2,2,3840,54.04797210407557,7.831924355055089,101.46132663273288,85.2327925617231,30.848402687907964,127.03329592558558,88.15317629811368,47.97907715304204,143.39739421815617,41.248657751339486,93.49705618180055,7.831924355055089,103.39012217342332,44.72184395300481,86.13515130553097
2,3,7680,403.809402689033,0.0,780.4684041207864,442.82096954114377,0.0,833.1316207615816,448.57287955408674,62.36682378418841,873.1965946188758,299.37555851254075,512.2878520531115,-83.63824079913998,902.2304094851445,305.78010649148166,446.77806735432205
2,4,7680,172.26883051248956,122.77751398148138,217.88689121536547,233.76836564210222,184.4831405482684,279.0982850047249,244.00451494809775,203.3845502158999,298.93604859462766,95.97877340371441,308.92206764219026,122.77751398148138,217.88689121536547,99.3439684566001,241.66154745545995
2,5,7680,154.14385144958305,107.01744146621625,201.50489124629627,179.9669249516028,134.22235836994983,227.98959034949937,274.2435741417685,231.81437646936536,328.74208033585893,113.8035538243876,291.1974443976041,107.01744146621625,201.50489124629627,117.26247357442446,272.1369287605683
2,6,7680,353.81838981965984,300.2274958853353,394.950954655055,488.6693095701498,441.90129503055056,532.297763760901,635.9911171821382,594.9090628624715,689.26294600697,299.2428588448984,642.4149271821706,300.2274958853353,394.950954655055,303.98092199176523,633.8369702584342
3,1,7680,249.21180463755132,0.0,514.2074310782282,349.19180043527433,0.0,717.6572379673974,360.31362534143767,0.0,722.3105253875335,224.37657799503603,381.7809541983665,-181.06462648230104,776.2170853056775,227.57778978453052,358.0751571048483
3,2,7680,369.58213609291886,0.0,785.9439449887058,400.61653960404607,13.964301549739977,833.1316207615816,428.5425459043309,47.771378730611694,873.1965946188758,308.5084759907231,434.69672495459605,-106.2037131588367,864.5101742686122,312.0663262789451,426.99948965271795
3,3,3840,32.22897561325668,0.0,66.4197346061061,40.86813112488768,0.0,70.4489348209009,45.41724428210991,0.0,75.1013653996997,22.94196051651682,56.354603731639216,-796.4352512480231,863.2759005175551,25.99430579560378,41.961826459162054
3,4,7680,350.3876854354412,0.0,725.2064504187188,364.30779088112604,0.0,743.7443566119518,370.43642454746515,3.6549729023239657,760.9616544078488,275.5615610094783,389.12780137238695,-157.71607558620195,829.894527903957,278.6330471144642,367.64567350436494
