scope,case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
small,local/k16/h16/u64/encode,bulk/series/avx2/local/k16/h16/u64/encode,0.07513577571887874,bulk/calico/striped/k16/h0/u64/encode,0.04350755993206753,1.7269590810469568,False
small,local/k17/h16/u64/encode,bulk/series/avx2/local/k17/h16/u64/encode,0.10046939192400241,bulk/calico/local/k17/h0/u64/encode,0.06724381311962971,1.49410610824914,False
small,local/k18/h16/u64/encode,bulk/series/avx512/local/k18/h16/u64/encode,0.1115368141061015,bulk/calico/striped/k18/h0/u64/encode,0.06712660370747464,1.6615888179321325,False
small,local/k19/h16/u64/encode,bulk/series/avx512/local/k19/h16/u64/encode,0.1114798867235656,bulk/calico/striped/k19/h0/u64/encode,0.066887943584994,1.6666663788506062,False
small,local/k20/h16/u64/encode,bulk/series/avx2/local/k20/h16/u64/encode,0.10698473466442004,bulk/calico/striped/k20/h0/u64/encode,0.06544793768720597,1.6346540234121671,False
small,local/k21/h16/u64/encode,bulk/series/avx512/local/k21/h16/u64/encode,0.11141520585394085,bulk/calico/striped/k21/h0/u64/encode,0.08467678692288597,1.315770353395733,False
small,local/k22/h16/u64/encode,bulk/series/avx512/local/k22/h16/u64/encode,0.11189958616956287,bulk/calico/striped/k22/h0/u64/encode,0.06646719496960157,1.683531044460949,False
small,local/k23/h16/u64/encode,bulk/series/avx512/local/k23/h16/u64/encode,0.11186170890772085,bulk/calico/striped/k23/h0/u64/encode,0.07735093641084098,1.4461584319235607,False
small,local/k24/h16/u64/encode,bulk/series/avx512/local/k24/h16/u64/encode,0.09549395434513842,bulk/calico/local/k24/h0/u64/encode,0.0808928299139379,1.180499612224405,False
small,local/k25/h16/u64/encode,bulk/series/avx512/local/k25/h16/u64/encode,0.15095353010401552,bulk/calico/striped/k25/h0/u64/encode,0.08799899856222676,1.7154005451240641,False
small,local/k26/h16/u64/encode,bulk/series/avx512/local/k26/h16/u64/encode,0.13733395192930015,bulk/calico/striped/k26/h0/u64/encode,0.08633003520296881,1.5908015281867667,False
small,local/k27/h16/u64/encode,bulk/series/avx512/local/k27/h16/u64/encode,0.14832122202739367,bulk/calico/striped/k27/h0/u64/encode,0.08589480031603516,1.7267776568741207,False
small,local/k28/h16/u64/encode,bulk/series/avx512/local/k28/h16/u64/encode,0.13653578170956826,bulk/calico/striped/k28/h0/u64/encode,0.08442296829870419,1.6172824109486323,False
small,local/k29/h16/u64/encode,bulk/series/avx512/local/k29/h16/u64/encode,0.13605526217888123,bulk/calico/striped/k29/h0/u64/encode,0.08743425918790397,1.5560864064335058,False
small,local/k30/h16/u64/encode,bulk/series/avx512/local/k30/h16/u64/encode,0.13614721412920122,bulk/calico/striped/k30/h0/u64/encode,0.08635044188264548,1.5766823094458742,False
small,local/k31/h16/u64/encode,bulk/series/avx512/local/k31/h16/u64/encode,0.13629320182126664,bulk/calico/striped/k31/h0/u64/encode,0.08777750022002725,1.5527122722751003,False
small,local/k32/h16/u64/encode,bulk/series/avx512/local/k32/h16/u64/encode,0.0967449372113994,bulk/calico/local/k32/h0/u64/encode,0.06794963537843124,1.4237741920556124,False
small,local/k33/h16/u64/encode,bulk/series/avx512/local/k33/h16/u64/encode,0.15137101387845184,bulk/calico/local/k33/h0/u64/encode,0.08727901126677724,1.7343346548206282,False
small,local/k34/h16/u64/encode,bulk/series/avx512/local/k34/h16/u64/encode,0.13736515540786265,bulk/calico/striped/k34/h0/u64/encode,0.08552179943340832,1.606200481256504,False
small,local/k35/h16/u64/encode,bulk/series/avx512/local/k35/h16/u64/encode,0.13644216181789143,bulk/calico/striped/k35/h0/u64/encode,0.08674787001646934,1.572858927740675,False
small,local/k36/h16/u64/encode,bulk/series/avx512/local/k36/h16/u64/encode,0.13606877875779017,bulk/calico/striped/k36/h0/u64/encode,0.08382560436573527,1.6232364775339445,False
small,local/k37/h16/u64/encode,bulk/series/avx512/local/k37/h16/u64/encode,0.14389902674680422,bulk/calico/striped/k37/h0/u64/encode,0.0877348939139923,1.6401573003310446,False
small,local/k38/h16/u64/encode,bulk/series/avx512/local/k38/h16/u64/encode,0.1430175232418861,bulk/calico/striped/k38/h0/u64/encode,0.0868172117901444,1.6473406631347454,False
small,local/k39/h16/u64/encode,bulk/series/avx512/local/k39/h16/u64/encode,0.13640818902782217,bulk/calico/striped/k39/h0/u64/encode,0.08805873629620442,1.5490591253658696,False
small,local/k40/h16/u64/encode,bulk/series/avx512/local/k40/h16/u64/encode,0.11095069933517557,bulk/calico/striped/k40/h0/u64/encode,0.08332714974982708,1.3315071938531753,False
small,local/k41/h16/u64/encode,bulk/series/avx512/local/k41/h16/u64/encode,0.15720586576887102,bulk/calico/local/k41/h0/u64/encode,0.10821768149715741,1.4526818870444975,False
small,local/k42/h16/u64/encode,bulk/series/avx512/local/k42/h16/u64/encode,0.14994397756779443,bulk/calico/local/k42/h0/u64/encode,0.11146847553905828,1.3451693570103094,False
small,local/k43/h16/u64/encode,bulk/series/avx512/local/k43/h16/u64/encode,0.1851073343285946,bulk/calico/striped/k43/h0/u64/encode,0.10784235774591475,1.7164622342987192,False
small,local/k44/h16/u64/encode,bulk/series/avx512/local/k44/h16/u64/encode,0.16467405716031114,bulk/calico/striped/k44/h0/u64/encode,0.10586815085127789,1.5554636199478251,False
small,local/k45/h16/u64/encode,bulk/series/avx512/local/k45/h16/u64/encode,0.15732706120495094,bulk/calico/striped/k45/h0/u64/encode,0.10681043830170338,1.4729558618658147,False
small,local/k46/h16/u64/encode,bulk/series/avx512/local/k46/h16/u64/encode,0.15543407542643942,bulk/calico/striped/k46/h0/u64/encode,0.10571251435891332,1.4703469723434286,False
small,local/k47/h16/u64/encode,bulk/series/avx512/local/k47/h16/u64/encode,0.13943757944719257,bulk/calico/striped/k47/h0/u64/encode,0.10702249152724747,1.3028810809519638,False
small,local/k48/h16/u64/encode,bulk/series/avx512/local/k48/h16/u64/encode,0.0959748648423773,bulk/calico/local/k48/h0/u64/encode,0.0664897344188611,1.4434538757181767,False
small,local/k49/h16/u64/encode,bulk/series/avx512/local/k49/h16/u64/encode,0.15054494135517404,bulk/calico/local/k49/h0/u64/encode,0.08686667130895058,1.733057559207546,False
small,local/k50/h16/u64/encode,bulk/series/avx512/local/k50/h16/u64/encode,0.13709009330172306,bulk/calico/striped/k50/h0/u64/encode,0.08568239152871528,1.599979772457439,False
small,local/k51/h16/u64/encode,bulk/series/avx512/local/k51/h16/u64/encode,0.1577705146865687,bulk/calico/striped/k51/h0/u64/encode,0.08554130739137714,1.844378108049264,False
small,local/k52/h16/u64/encode,bulk/series/avx512/local/k52/h16/u64/encode,0.1362256909243294,bulk/calico/striped/k52/h0/u64/encode,0.08454542216557376,1.6112722301811326,False
small,local/k53/h16/u64/encode,bulk/series/avx512/local/k53/h16/u64/encode,0.1403923725170465,bulk/calico/striped/k53/h0/u64/encode,0.08742015470694293,1.6059497147732285,False
small,local/k54/h16/u64/encode,bulk/series/avx512/local/k54/h16/u64/encode,0.13581947259076144,bulk/calico/striped/k54/h0/u64/encode,0.08736266502298998,1.5546626531484562,False
small,local/k55/h16/u64/encode,bulk/series/avx512/local/k55/h16/u64/encode,0.1404209414707911,bulk/calico/striped/k55/h0/u64/encode,0.08847559014511364,1.5871150589725262,False
small,local/k56/h16/u64/encode,bulk/series/avx512/local/k56/h16/u64/encode,0.10456261656753423,bulk/calico/local/k56/h0/u64/encode,0.08318024549032607,1.2570606873202237,False
small,local/k57/h16/u64/encode,bulk/series/avx512/local/k57/h16/u64/encode,0.16119373349430696,bulk/calico/local/k57/h0/u64/encode,0.10598489860010132,1.5209122773473396,False
small,local/k58/h16/u64/encode,bulk/series/avx512/local/k58/h16/u64/encode,0.14877468144987432,bulk/calico/local/k58/h0/u64/encode,0.10895742510945844,1.3654386683644142,False
small,local/k59/h16/u64/encode,bulk/series/avx512/local/k59/h16/u64/encode,0.1371641963839338,bulk/calico/striped/k59/h0/u64/encode,0.10852119168870988,1.2639392753572556,False
small,local/k60/h16/u64/encode,bulk/series/avx512/local/k60/h16/u64/encode,0.1368246290599171,bulk/calico/striped/k60/h0/u64/encode,0.10709849794283093,1.2775588051006463,False
small,local/k61/h16/u64/encode,bulk/series/avx512/local/k61/h16/u64/encode,0.14482576762923344,bulk/calico/local/k61/h0/u64/encode,0.1090286701202489,1.3283273791150854,False
small,local/k62/h16/u64/encode,bulk/series/avx512/local/k62/h16/u64/encode,0.14262736730091086,bulk/calico/striped/k62/h0/u64/encode,0.10800766067320813,1.32053010325304,False
small,local/k63/h16/u64/encode,bulk/series/avx512/local/k63/h16/u64/encode,0.14279366734549306,bulk/calico/striped/k63/h0/u64/encode,0.10862260267385845,1.314585213670804,False
small,local/k64/h16/u64/encode,bulk/series/avx512/local/k64/h16/u64/encode,0.10811898515699345,bulk/calico/striped/k64/h0/u64/encode,0.08472272026761454,1.2761510113872274,False
small,striped/k17/h16/u64/encode,bulk/series/avx2/striped/k17/h16/u64/encode,0.10014811351842165,bulk/calico/local/k17/h0/u64/encode,0.06724381311962971,1.4893282946381066,False
small,striped/k18/h16/u64/encode,bulk/series/avx2/striped/k18/h16/u64/encode,0.09794607847926184,bulk/calico/striped/k18/h0/u64/encode,0.06712660370747464,1.4591245954598386,False
small,striped/k19/h16/u64/encode,bulk/series/avx2/striped/k19/h16/u64/encode,0.10012212971147458,bulk/calico/striped/k19/h0/u64/encode,0.066887943584994,1.4968636251202752,False
small,striped/k20/h16/u64/encode,bulk/series/avx2/striped/k20/h16/u64/encode,0.09800590391998458,bulk/calico/striped/k20/h0/u64/encode,0.06544793768720597,1.4974635929459268,False
small,striped/k21/h16/u64/encode,bulk/series/avx2/striped/k21/h16/u64/encode,0.10104884809154263,bulk/calico/striped/k21/h0/u64/encode,0.08467678692288597,1.1933476902420315,False
small,striped/k22/h16/u64/encode,bulk/series/avx2/striped/k22/h16/u64/encode,0.09821990749715631,bulk/calico/striped/k22/h0/u64/encode,0.06646719496960157,1.477720062386816,False
small,striped/k23/h16/u64/encode,bulk/series/avx512/striped/k23/h16/u64/encode,0.10294816559995268,bulk/calico/striped/k23/h0/u64/encode,0.07735093641084098,1.330923326553603,False
small,striped/k26/h16/u64/encode,bulk/series/avx2/striped/k26/h16/u64/encode,0.10880892629464578,bulk/calico/striped/k26/h0/u64/encode,0.08633003520296881,1.2603832031207598,False
small,striped/k28/h16/u64/encode,bulk/series/avx2/striped/k28/h16/u64/encode,0.10739923574328328,bulk/calico/striped/k28/h0/u64/encode,0.08442296829870419,1.2721565932541579,False
small,striped/k30/h16/u64/encode,bulk/series/avx2/striped/k30/h16/u64/encode,0.10831358120828408,bulk/calico/striped/k30/h0/u64/encode,0.08635044188264548,1.2543488932631934,False
small,striped/k31/h16/u64/encode,bulk/series/avx2/striped/k31/h16/u64/encode,0.10986501384200377,bulk/calico/striped/k31/h0/u64/encode,0.08777750022002725,1.251630697691446,False
small,striped/k36/h16/u64/encode,bulk/series/avx2/striped/k36/h16/u64/encode,0.11504876182199134,bulk/calico/striped/k36/h0/u64/encode,0.08382560436573527,1.3724775704572063,False
bulk,local/k16/h16/u64/encode,bulk/series/avx2/local/k16/h16/u64/encode,0.05022801138842614,bulk/calico/striped/k16/h0/u64/encode,0.06809017025564713,0.7376690526671201,False
