scope,case,affected_head16_encode,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
bulk,bulk/calico/local/k16/h0/u64/encode,False,0.06979321232050673,0.06902411610184242,0.9889803579303323,0.06957141647134796,0.06982846963146258,0.0685312091913823,0.06927972883742034,True,False,True,"[0.06980034713331498, 0.06901011709953912, 0.06910833531500828, 0.06973969387190092]"
bulk,bulk/calico/local/k17/h0/u64/encode,False,0.06827063407247046,0.06825960916020259,0.999838511646806,0.06722878010042664,0.06909423811674559,0.06786334995483262,0.06865631473949844,False,False,False,"[0.06744005875378674, 0.06855254583540857, 0.06799864884792418, 0.06906888802557072]"
bulk,bulk/calico/local/k18/h0/u64/encode,False,0.06956064079440526,0.0698734513954905,1.0044969482384414,0.06905129928646594,0.06993467858613064,0.0697191408436758,0.0699583437433864,False,False,True,"[0.06983156479757509, 0.06995792536328319, 0.06974125847290197, 0.06907393912489346]"
bulk,bulk/calico/local/k19/h0/u64/encode,False,0.07031067380008646,0.07027469881182688,0.9994883424334424,0.07027519673778584,0.0703505132264456,0.06947942633334261,0.07110801161975104,False,False,False,"[0.070296193326024, 0.06949489821313996, 0.0710772097163633, 0.07033304877609671]"
bulk,bulk/calico/local/k20/h0/u64/encode,False,0.06906224931298069,0.07008821749720798,1.014855701840491,0.06864526546661912,0.06950384755926962,0.06993789461407167,0.07022844006611098,False,True,True,"[0.06865606988495165, 0.06999722404906472, 0.07018882988464965, 0.0693840415700553]"
bulk,bulk/calico/local/k21/h0/u64/encode,False,0.07028012347478912,0.0710177050852723,1.0104948821091324,0.06989975856309097,0.0706452717585845,0.07000718384657995,0.07200695762219127,False,False,False,"[0.07062764132205719, 0.07001700989845644, 0.07198628836324156, 0.06990242530121585]"
bulk,bulk/calico/local/k22/h0/u64/encode,False,0.07059590106318295,0.06935123886410832,0.9823692001896731,0.07051937595755178,0.07063391679806805,0.06876190691349568,0.0699303413255311,True,False,True,"[0.07057351592174398, 0.06877470581174498, 0.06992922400002911, 0.0705983466184448]"
bulk,bulk/calico/local/k23/h0/u64/encode,False,0.07008290431438885,0.07084252422596476,1.010838876028429,0.06987318880749109,0.07028234539705326,0.07026832370207185,0.07144576056793284,False,False,True,"[0.06988135662075898, 0.0702921616392679, 0.0714068077406118, 0.07028026646301036]"
bulk,bulk/calico/local/k24/h0/u64/encode,False,0.0636072452114633,0.06318377064526398,0.9933423532996678,0.06316174943107304,0.06410248600981039,0.06300696146857106,0.06338167754496275,False,False,True,"[0.06325419606096826, 0.06311745458326218, 0.06334929638737682, 0.0639998499296569]"
bulk,bulk/calico/local/k25/h0/u64/encode,False,0.0858790810352407,0.08640424393679497,1.0061151434694413,0.08581484212440879,0.08595445024390719,0.08567305820740291,0.0871591440447126,False,False,False,"[0.0858439346580234, 0.08573953606055594, 0.08710998150895546, 0.08594060040562337]"
bulk,bulk/calico/local/k26/h0/u64/encode,False,0.0888654737265431,0.08940241818508785,1.0060422168028613,0.0879055927095845,0.08977192459330897,0.08852241268302921,0.09017780983071452,False,False,False,"[0.08796398644378413, 0.09011128807886355, 0.088687125352965, 0.08970377564313459]"
bulk,bulk/calico/local/k27/h0/u64/encode,False,0.0893088866169032,0.08911171854895375,0.9977922906060265,0.08893735268317511,0.08962390309970843,0.08786539942687355,0.09041352753152955,False,False,False,"[0.08903689908692813, 0.08791966081672671, 0.09035153584615617, 0.08948777630921974]"
bulk,bulk/calico/local/k28/h0/u64/encode,False,0.08906436340556106,0.08955399080089191,1.005497455734358,0.08811640002536965,0.09006135936542006,0.08908605573074183,0.08996969144594262,False,False,False,"[0.08823101671892424, 0.08993901373100253, 0.08911140028939127, 0.08995333954263961]"
bulk,bulk/calico/local/k29/h0/u64/encode,False,0.08944110803238767,0.08916923151206065,0.9969602733428954,0.08862197749172204,0.09026809915039086,0.08864313757435384,0.08967475284971482,False,False,False,"[0.0886929033865894, 0.08871764920360632, 0.08959974579022648, 0.09017725752290397]"
