scope,case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
small,local/k46/h16/u64/encode,bulk/series/avx512/local/k46/h16/u64/encode,0.13869318331439717,bulk/calico/striped/k46/h0/u64/encode,0.10717176972580511,1.294120491517854,False
small,local/k47/h16/u64/encode,bulk/series/avx512/local/k47/h16/u64/encode,0.14213206459338562,bulk/calico/striped/k47/h0/u64/encode,0.10705476017067234,1.3276575872646037,False
small,local/k48/h16/u64/encode,bulk/series/avx512/local/k48/h16/u64/encode,0.0949569779163701,bulk/calico/striped/k48/h0/u64/encode,0.06651690934530591,1.427561485507763,False
small,local/k49/h16/u64/encode,bulk/series/avx512/local/k49/h16/u64/encode,0.14796508784440315,bulk/calico/striped/k49/h0/u64/encode,0.08914669192379863,1.6597933658702857,False
small,local/k50/h16/u64/encode,bulk/series/avx512/local/k50/h16/u64/encode,0.13376335915507603,bulk/calico/striped/k50/h0/u64/encode,0.08806442413966185,1.518926177759818,False
small,local/k51/h16/u64/encode,bulk/series/avx512/local/k51/h16/u64/encode,0.13806137067407226,bulk/calico/striped/k51/h0/u64/encode,0.08783250250149192,1.5718710812290375,False
small,local/k52/h16/u64/encode,bulk/series/avx512/local/k52/h16/u64/encode,0.13169926217286199,bulk/calico/striped/k52/h0/u64/encode,0.08369648101737032,1.5735340431520557,False
small,local/k53/h16/u64/encode,bulk/series/avx512/local/k53/h16/u64/encode,0.15899793399043716,bulk/calico/striped/k53/h0/u64/encode,0.08722828425760427,1.8227795644917346,False
small,local/k54/h16/u64/encode,bulk/series/avx512/local/k54/h16/u64/encode,0.1555880334568338,bulk/calico/striped/k54/h0/u64/encode,0.08614471211280124,1.8061240166790595,False
small,local/k55/h16/u64/encode,bulk/series/avx512/local/k55/h16/u64/encode,0.18112173851029595,bulk/calico/striped/k55/h0/u64/encode,0.0883600693941079,2.049814353386799,False
small,local/k56/h16/u64/encode,bulk/series/avx512/local/k56/h16/u64/encode,0.11591285615516589,bulk/calico/local/k56/h0/u64/encode,0.0823435117774743,1.4076744318169188,False
small,local/k57/h16/u64/encode,bulk/series/avx512/local/k57/h16/u64/encode,0.1655365452135777,bulk/calico/striped/k57/h0/u64/encode,0.10771473860806491,1.536804966086447,False
small,local/k58/h16/u64/encode,bulk/series/avx512/local/k58/h16/u64/encode,0.16495835139604073,bulk/calico/striped/k58/h0/u64/encode,0.10900881089907719,1.5132570480817638,False
small,local/k59/h16/u64/encode,bulk/series/avx512/local/k59/h16/u64/encode,0.15104842233031646,bulk/calico/striped/k59/h0/u64/encode,0.10905381484090007,1.3850815081589105,False
small,local/k60/h16/u64/encode,bulk/series/avx512/local/k60/h16/u64/encode,0.1468350421969487,bulk/calico/striped/k60/h0/u64/encode,0.10546501114458617,1.392263088994005,False
small,local/k61/h16/u64/encode,bulk/series/avx512/local/k61/h16/u64/encode,0.13810724569887864,bulk/calico/striped/k61/h0/u64/encode,0.10946744798904504,1.2616284405634426,False
small,local/k62/h16/u64/encode,bulk/series/avx512/local/k62/h16/u64/encode,0.14108465848367369,bulk/calico/striped/k62/h0/u64/encode,0.1062165747781077,1.3282734712393742,False
small,local/k63/h16/u64/encode,bulk/series/avx512/local/k63/h16/u64/encode,0.1497213268092897,bulk/calico/striped/k63/h0/u64/encode,0.11079834063276363,1.3512957500467868,False
small,local/k64/h16/u64/encode,bulk/series/avx512/local/k64/h16/u64/encode,0.13144152000054332,bulk/calico/local/k64/h0/u64/encode,0.08584073194972565,1.5312255267991504,False
small,striped/k17/h16/u64/encode,bulk/series/avx512/striped/k17/h16/u64/encode,0.1008518995641412,bulk/calico/local/k17/h0/u64/encode,0.06621567933540759,1.5230818527631196,False
small,striped/k18/h16/u64/encode,bulk/series/avx512/striped/k18/h16/u64/encode,0.10003638051180729,bulk/calico/striped/k18/h0/u64/encode,0.06576712156461276,1.5210697706075942,False
