condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,mlp,base,8388608,8,0,0,0,0,3,3.7229,7.24766,7.24766
isolated,mlp,base,8388608,8,0,0,0,1,3,3.49023,3.49643,3.49643
isolated,mlp,base,8388608,8,0,0,0,2,3,3.47841,3.50226,3.50226
isolated,mlp,base,8388608,12,0,0,0,0,3,2.44671,2.49178,2.49178
isolated,mlp,base,8388608,12,0,0,0,1,3,2.4675,2.47395,2.47395
isolated,mlp,base,8388608,12,0,0,0,2,3,2.44272,2.47166,2.47166
isolated,mlp,base,8388608,16,0,0,0,0,3,2.15864,2.17884,2.17884
isolated,mlp,base,8388608,16,0,0,0,1,3,2.14046,2.15366,2.15366
isolated,mlp,base,8388608,16,0,0,0,2,3,2.16765,2.16906,2.16906
isolated,mlp,base,8388608,24,0,0,0,0,3,2.04133,2.05231,2.05231
isolated,mlp,base,8388608,24,0,0,0,1,3,2.03862,2.03905,2.03905
isolated,mlp,base,8388608,24,0,0,0,2,3,2.03591,2.03801,2.03801
isolated,mlp,base,8388608,32,0,0,0,0,3,2.07745,2.08388,2.08388
isolated,mlp,base,8388608,32,0,0,0,1,3,2.0508,2.07254,2.07254
isolated,mlp,base,8388608,32,0,0,0,2,3,2.04014,2.04726,2.04726
isolated,mlp,base,8388608,48,0,0,0,0,3,2.08146,2.10702,2.10702
isolated,mlp,base,8388608,48,0,0,0,1,3,2.07893,2.09492,2.09492
isolated,mlp,base,8388608,48,0,0,0,2,3,2.08915,2.09499,2.09499
isolated,mlp,base,8388608,64,0,0,0,0,3,2.12226,2.16358,2.16358
isolated,mlp,base,8388608,64,0,0,0,1,3,2.12035,2.1218,2.1218
isolated,mlp,base,8388608,64,0,0,0,2,3,2.14053,2.14117,2.14117
isolated,mlp,base,268435456,1,0,0,0,0,3,137.299,137.455,137.455
isolated,mlp,base,268435456,1,0,0,0,1,3,136.493,136.983,136.983
isolated,mlp,base,268435456,1,0,0,0,2,3,135.129,135.829,135.829
isolated,mlp,base,268435456,2,0,0,0,0,3,67.9501,67.9834,67.9834
isolated,mlp,base,268435456,2,0,0,0,1,3,67.816,67.946,67.946
isolated,mlp,base,268435456,2,0,0,0,2,3,67.8236,68.9768,68.9768
isolated,mlp,base,268435456,4,0,0,0,0,3,35.1222,35.1533,35.1533
isolated,mlp,base,268435456,4,0,0,0,1,3,34.3261,35.0523,35.0523
isolated,mlp,base,268435456,4,0,0,0,2,3,34.173,34.4101,34.4101
isolated,mlp,base,268435456,8,0,0,0,0,3,18.5759,18.7149,18.7149
isolated,mlp,base,268435456,8,0,0,0,1,3,18.1652,18.4943,18.4943
isolated,mlp,base,268435456,8,0,0,0,2,3,18.0178,18.0592,18.0592
isolated,mlp,base,268435456,12,0,0,0,0,3,12.9903,13.0573,13.0573
isolated,mlp,base,268435456,12,0,0,0,1,3,13.3115,13.4315,13.4315
isolated,mlp,base,268435456,12,0,0,0,2,3,13.0714,13.449,13.449
isolated,mlp,base,268435456,16,0,0,0,0,3,12.4038,12.4798,12.4798
isolated,mlp,base,268435456,16,0,0,0,1,3,12.343,12.3477,12.3477
isolated,mlp,base,268435456,16,0,0,0,2,3,12.5974,12.6661,12.6661
isolated,mlp,base,268435456,24,0,0,0,0,3,12.4114,12.4388,12.4388
isolated,mlp,base,268435456,24,0,0,0,1,3,12.4926,12.493,12.493
isolated,mlp,base,268435456,24,0,0,0,2,3,12.4093,12.5369,12.5369
isolated,mlp,base,268435456,32,0,0,0,0,3,12.3204,12.3447,12.3447
isolated,mlp,base,268435456,32,0,0,0,1,3,12.3347,12.3358,12.3358
isolated,mlp,base,268435456,32,0,0,0,2,3,12.239,12.3576,12.3576
isolated,mlp,base,268435456,48,0,0,0,0,3,12.3342,12.3873,12.3873
isolated,mlp,base,268435456,48,0,0,0,1,3,12.4058,12.4494,12.4494
isolated,mlp,base,268435456,48,0,0,0,2,3,12.4275,12.4597,12.4597
isolated,mlp,base,268435456,64,0,0,0,0,3,12.754,12.7931,12.7931
isolated,mlp,base,268435456,64,0,0,0,1,3,12.7846,12.805,12.805
isolated,mlp,base,268435456,64,0,0,0,2,3,12.9101,12.9541,12.9541
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.73507,1.74364,1.74364
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.73301,1.73427,1.73427
isolated,tlb,packed-base,4096,1,0,0,0,2,3,1.73217,1.73384,1.73384
isolated,tlb,sparse-base,65536,1,0,0,0,0,3,1.73291,1.73573,1.73573
isolated,tlb,sparse-base,65536,1,0,0,0,1,3,1.73209,1.73378,1.73378
isolated,tlb,sparse-base,65536,1,0,0,0,2,3,1.73439,1.73529,1.73529
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.7318,1.73364,1.73364
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.73246,1.73374,1.73374
