input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
neon,gpr/2/unit16/stride16/map0/random/all/sum/gpr_compiled,1,3,"[1337.9630417965834,1339.824690402753,1343.278637770978]",1339.824690402753,"[1339.5692724483363,1339.7923761579057,1343.244001548639]",1339.7923761579057,"[1.306604533004476,1.3084225492214383,1.3117955446982206]",1.3084225492214383,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/sum/gpr_inline,1,3,"[962.6496052270851,965.322488428966,959.9417369998305]",962.6496052270851,"[962.6227879156074,965.2943098313553,959.9187312829478]",962.6227879156074,"[0.9400875051045752,0.942697742606412,0.937443102538897]",0.9400875051045752,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/sum/gpr_points,1,3,"[1035.0924018511646,1036.6124794747727,1035.5047021946716]",1035.5047021946716,"[1035.0664278230413,1037.6053142219312,1035.4860426911794]",1035.4860426911794,"[1.0108324236827777,1.0123168744870827,1.011235060736984]",1.011235060736984,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/sum/point,1,3,"[4045.8813657394962,4044.354745370283,4049.948495370519]",4045.8813657394962,"[4045.75636574149,4044.234375010513,4049.828125000469]",4045.75636574149,"[3.9510560212299772,3.9495651810256667,3.9550278275102726]",3.9510560212299772,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/sum/simd,1,3,"[2763.931862936536,2758.275305238779,2757.139031112044]",2758.275305238779,"[2766.5533674700955,2758.224891694362,2757.062229233372]",2758.224891694362,"[2.699152209898961,2.693628227772245,2.6925185850703555]",2.693628227772245,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/update/gpr_compiled,1,3,"[4686.363879598184,4673.442140467979,4664.303010035092]",4673.442140467979,"[4686.205351159351,4673.309030086696,4664.1966554851015]",4673.309030086696,"[4.576527226170103,4.5639083403007605,4.554983408237395]",4.5639083403007605,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/update/gpr_inline,1,3,"[3815.051170385575,3823.299401198382,3772.655960805174]",3815.051170385575,"[3818.74959170775,3823.2106695943303,3772.5498094665622]",3818.74959170775,"[3.7256359085796626,3.733690821482795,3.6842343367238017]",3.7256359085796626,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/update/gpr_points,1,3,"[4442.963033777726,4459.841937537566,4446.648183556146]",4446.648183556146,"[4442.845761629215,4459.715105188255,4446.502868083723]",4446.502868083723,"[4.338831087673561,4.355314392126529,4.342429866754049]",4.342429866754049,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/update/point,1,3,"[11245.682464458294,11238.007898891077,11249.357030014464]",11245.682464458294,"[11245.406003179289,11237.684044198322,11249.064770962677]",11245.406003179289,"[10.982111781697553,10.974617088760816,10.9857002246235]",10.982111781697553,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/update/simd,1,3,"[9516.309459460264,9493.129729728218,9518.643243240305]",9516.309459460264,"[9516.041891832148,9492.82702704848,9518.40135138121]",9516.041891832148,"[9.293270956504164,9.270634501687713,9.29555004222686]",9.293270956504164,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/word_hash/gpr_compiled,1,3,"[1107.8641054142327,1109.2414668990878,1108.4665819963413]",1108.4665819963413,"[1107.8314018122921,1114.2065407233601,1109.0122241668662]",1109.0122241668662,"[1.0818985404435866,1.0832436200186402,1.082486896480802]",1.082486896480802,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/word_hash/gpr_inline,1,3,"[575.1866513042413,573.9472471400518,573.625627520263]",573.9472471400518,"[575.7154966657856,573.9356431538338,573.6100732465317]",573.9356431538338,"[0.5617057141642983,0.5604953585352068,0.5601812768752569]",0.5604953585352068,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/word_hash/gpr_points,1,3,"[666.2927902085361,665.5885446547143,666.1644673930402]",666.1644673930402,"[666.2759609841363,665.5719066762414,666.1461082433495]",666.1461082433495,"[0.6506765529380235,0.6499888131393693,0.6505512376885159]",0.6505512376885159,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/word_hash/point,1,3,"[3817.1978201626375,3809.128065396436,3812.7536784734098]",3812.7536784734098,"[3817.089373300732,3809.016348779491,3816.1923705830336]",3816.1923705830336,"[3.7277322462525757,3.719851626363707,3.7233922641341892]",3.7233922641341892,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/all/word_hash/simd,1,3,"[2756.162194160072,2755.9747434891083,2755.077742697127]",2755.9747434891083,"[2756.088792423222,2755.9056827225318,2755.004735597507]",2755.9056827225318,"[2.6915646427344453,2.6913815854385827,2.6905056081026633]",2.6913815854385827,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/sum/gpr_compiled,1,3,"[1267.3239768197518,1266.3323071351558,1264.7685621151688]",1266.3323071351558,"[1267.2879391511883,1266.299529159241,1264.7327055410703]",1266.299529159241,"[1.2376210711130389,1.2366526436866756,1.2351255489405948]",1.2366526436866756,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/sum/gpr_inline,1,3,"[870.8694174190542,883.1590669324785,883.3455632396684]",883.1590669324785,"[871.5607783427866,883.1396084897807,883.9649513573793]",883.1396084897807,"[0.8504584154482951,0.8624600263012485,0.8626421516012387]",0.8624600263012485,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/sum/gpr_points,1,3,"[863.5558306511069,862.3086159941719,861.9489972763791]",862.3086159941719,"[863.529215149579,862.2890566930589,861.9283238393309]",862.2890566930589,"[0.8433162408702216,0.8420982578068085,0.8417470676527141]",0.8420982578068085,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/sum/point,1,3,"[2378.6085034012654,2371.7629251703092,2377.7799319718083]",2377.7799319718083,"[2378.5513605514784,2371.6989795807453,2377.71972789607]",2377.71972789607,"[2.322859866602798,2.31617473161163,2.322050714816219]",2.322050714816219,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/sum/simd,1,3,"[2758.5146360757,2757.3390031654094,2757.3445411377406]",2757.3445411377406,"[2758.4458069617026,2757.2480221592773,2757.268591764368]",2757.268591764368,"[2.6938619492926756,2.6927138702787206,2.692719278454825]",2.692719278454825,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/update/gpr_compiled,1,3,"[3177.46191978405,3176.4835511470305,3170.438485804837]",3176.4835511470305,"[3180.839116720456,3176.404686788794,3170.3596214594086]",3176.404686788794,"[3.1029901560391115,3.102034717917022,3.0961313337937866]",3.102034717917022,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/update/gpr_inline,1,3,"[2299.7185332010713,2304.9180706975885,2308.0621076975017]",2304.9180706975885,"[2299.655764784171,2304.842418238362,2307.9914106330307]",2304.842418238362,"[2.245818880079171,2.250896553415614,2.2539669020483415]",2.250896553415614,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/update/gpr_points,1,3,"[2375.8179972926223,2376.838971582548,2365.8152909343357]",2375.8179972926223,"[2384.742557515616,2380.4516238173464,2367.142422200442]",2380.4516238173464,"[2.3201347629810765,2.321131808186082,2.3103664950530622]",2.3201347629810765,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/update/point,1,3,"[5522.509863427829,5484.9704097119975,5511.856600911541]",5511.856600911541,"[5527.223824000249,5484.840667686747,5511.689681319921]",5511.689681319921,"[5.3930760385037395,5.3564164157343725,5.382672461827677]",5.382672461827677,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/update/simd,1,3,"[7687.879216539582,7686.263329707673,7688.228509250888]",7687.879216539582,"[7687.672470051196,7708.921654003928,7688.099020654039]",7688.099020654039,"[7.507694547401935,7.506116532917649,7.5080356535653205]",7.507694547401935,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/word_hash/gpr_compiled,1,3,"[1106.7946768057498,1105.9679974650799,1105.2908745249085]",1105.9679974650799,"[1107.860107724004,1107.1486058275955,1105.2610899895578]",1107.1486058275955,"[1.0808541765681148,1.080046872524492,1.079385619653231]",1.080046872524492,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/word_hash/gpr_inline,1,3,"[464.0155493902302,458.0863281500996,455.4929995484625]",458.0863281500996,"[464.002000129471,459.88663784677567,455.74475772592234]",459.88663784677567,"[0.4531401849513967,0.4473499298340816,0.44481738237154533]",0.4473499298340816,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/word_hash/gpr_points,1,3,"[504.44530113477657,504.80106197295135,504.08895839373145]",504.44530113477657,"[504.4299534478625,504.7857870231208,504.57841140242044]",504.57841140242044,"[0.49262236438943025,0.49296978708296024,0.4922743734313783]",0.49262236438943025,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/word_hash/point,1,3,"[2128.9511825349005,2129.047907823416,2123.372650090481]",2128.9511825349005,"[2128.894178287341,2128.9915100083545,2123.3086719219864]",2128.894178287341,"[2.0790538891942387,2.079148347483805,2.0736061036039852]",2.0790538891942387,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/random/half/word_hash/simd,1,3,"[2756.6131703462615,2810.507492114356,2758.9373028401506]",2758.9373028401506,"[2756.5374605636193,3087.3958990523474,2758.9487381737276]",2758.9487381737276,"[2.692005049166271,2.744636222767926,2.6942747098048345]",2.6942747098048345,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/scan/all/sum/gpr_compiled,1,3,"[1341.4829578278768,1339.9768919705755,1328.5842480269116]",1339.9768919705755,"[1341.9098786874115,1339.9360677876343,1328.5474677475097]",1339.9360677876343,"[1.310041951003786,1.3085711835650151,1.2974455547137809]",1.3085711835650151,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/scan/all/sum/gpr_inline,1,3,"[970.9400166623484,970.1444043322191,970.9508469871677]",970.9400166623484,"[970.9126631491453,970.1191335680592,972.1216328806539]",970.9126631491453,"[0.9481836100218246,0.9474066448556828,0.948194186510906]",0.9481836100218246,1024.0,2.0,4.0,16.0
neon,gpr/2/unit16/stride16/map0/scan/all/sum/gpr_points,1,3,"[1042.1980697850531,1035.3512991832201,1036.1137342243633]",1036.1137342243633,"[1044.3556050556795,1035.3268002974164,1036.0908686025364]",1036.0908686025364,"[1.017771552524466,1.0110852531086134,1.0118298185784798]",1.0118298185784798,1024.0,2.0,4.0,16.0
