trial,case,repetition,cpu_ns,real_ns
01-candidate,overwrite/striped/k12/all/ikea2-coverage,0,264.62795214595025,264.6295278833959
01-candidate,overwrite/striped/k12/all/ikea2-coverage,1,263.300251664538,263.31047128510903
01-candidate,overwrite/striped/k12/all/ikea2-coverage,2,262.88026096025516,262.88872346366617
01-candidate,overwrite/striped/k12/all/ikea2-coverage,3,263.2243366409963,263.2318544577342
01-candidate,overwrite/striped/k12/all/ikea2-coverage,4,261.74265033744217,261.74966935928376
01-candidate,overwrite/striped/k12/all/ikea2-coverage,5,263.4606027856923,263.4621709656749
01-candidate,overwrite/striped/k12/all/ikea2-coverage,6,262.99005244900565,263.00981529522534
01-candidate,overwrite/striped/k12/all/control-coverage,0,185.49851211654655,185.49961703182572
01-candidate,overwrite/striped/k12/all/control-coverage,1,181.06966399710203,181.0707430361873
01-candidate,overwrite/striped/k12/all/control-coverage,2,181.71869169761013,181.72152126370057
01-candidate,overwrite/striped/k12/all/control-coverage,3,182.22765134362325,182.23404147964467
01-candidate,overwrite/striped/k12/all/control-coverage,4,180.75468553906688,180.75576199029962
01-candidate,overwrite/striped/k12/all/control-coverage,5,183.58057859259156,183.58167186356965
01-candidate,overwrite/striped/k12/all/control-coverage,6,180.5067252332093,180.507801684413
01-candidate,decode/local/k28/ikea,0,945.5921866273716,945.6091227779725
01-candidate,decode/local/k28/ikea,1,943.205178411622,943.2107968799287
01-candidate,decode/local/k28/ikea,2,939.8667245335349,939.8811374193087
01-candidate,decode/local/k28/ikea,3,938.3918663409963,938.3975184528623
01-candidate,decode/local/k28/ikea,4,937.089727285573,937.1177119711291
01-candidate,decode/local/k28/ikea,5,950.5550778174784,950.5790454654557
01-candidate,decode/local/k28/ikea,6,940.2104335304842,940.2375636697323
01-candidate,decode/local/k28/ikea2,0,1353.6795993187247,1353.6876437347635
01-candidate,decode/local/k28/ikea2,1,1347.3288203766265,1347.3482097310036
01-candidate,decode/local/k28/ikea2,2,1342.2140815796345,1342.2355493968653
01-candidate,decode/local/k28/ikea2,3,1347.2041222828477,1347.2121474533972
01-candidate,decode/local/k28/ikea2,4,1343.279678223301,1343.2875783027532
01-candidate,decode/local/k28/ikea2,5,1353.989819385503,1354.0122205852244
01-candidate,decode/local/k28/ikea2,6,1344.584577042615,1344.5925925924364
01-candidate,get16-ends/striped/k3/prior,0,651.0374646603668,651.0473458077556
01-candidate,get16-ends/striped/k3/prior,1,648.2817684696082,648.2940954919441
01-candidate,get16-ends/striped/k3/prior,2,637.5094998512011,637.5132942121487
01-candidate,get16-ends/striped/k3/prior,3,634.5800721672476,634.5886885273552
01-candidate,get16-ends/striped/k3/prior,4,632.4490504798773,632.4528122905579
01-candidate,get16-ends/striped/k3/prior,5,637.1601443344983,637.1914710580876
01-candidate,get16-ends/striped/k3/prior,6,630.2119540956752,630.2157112570272
01-candidate,get16-ends/striped/k3/ikea2-region,0,992.9430707791649,992.9564250710729
01-candidate,get16-ends/striped/k3/ikea2-region,1,995.7773529328457,995.7964567924546
01-candidate,get16-ends/striped/k3/ikea2-region,2,987.1650380944329,987.1709788417777
01-candidate,get16-ends/striped/k3/ikea2-region,3,992.4254680375003,992.4313804621052
01-candidate,get16-ends/striped/k3/ikea2-region,4,990.7823023762987,990.7882148015705
01-candidate,get16-ends/striped/k3/ikea2-region,5,989.2032953805182,989.2091936444042
01-candidate,get16-ends/striped/k3/ikea2-region,6,994.6094542158751,994.6153737229528
02-candidate,overwrite/striped/k12/all/ikea2-coverage,0,262.7181344686986,262.71971789703065
02-candidate,overwrite/striped/k12/all/ikea2-coverage,1,262.72526372895396,262.73622312156743
02-candidate,overwrite/striped/k12/all/ikea2-coverage,2,267.2001771292411,267.2063689849813
02-candidate,overwrite/striped/k12/all/ikea2-coverage,3,264.02611122719503,264.03326157407093
02-candidate,overwrite/striped/k12/all/ikea2-coverage,4,264.13254213049663,264.1390042806041
02-candidate,overwrite/striped/k12/all/ikea2-coverage,5,261.19098711212246,261.1944606857289
02-candidate,overwrite/striped/k12/all/ikea2-coverage,6,264.6411177545226,264.64269351470534
02-candidate,overwrite/striped/k12/all/control-coverage,0,180.97031862177604,180.97316814799316
02-candidate,overwrite/striped/k12/all/control-coverage,1,180.33862407856068,180.34467754298058
02-candidate,overwrite/striped/k12/all/control-coverage,2,180.9784933858141,180.97957085077158
02-candidate,overwrite/striped/k12/all/control-coverage,3,179.88140512811228,179.8824644844215
