stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
closed,tcp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,824.038,1087.730953999289,132.04844156165925,1269.828,906.081,910.588,988.252,991.579,1249.162,1251.184,1251.975,1253.454,1258.843,46.071809456096695,0.0,0.0,0.0,1,False,151468.05736723245,151468.05736723245,151468.05736723245,151381.95316351345,1.486570858,53.928190543903305,0,0.0,0.0,0.000358025,False,64,4,192,10.24,15.36,2.260812,63.9877143588431,63.99658727337362,225040,13.119,51.549672164948454,2.411993792337203,67.229,48.922,49.309,50.287,51.057,51.87,53.31,57.227,62.016,65.904,0.0,0.0,0.0,0.0,991.579,991.579,1251.184,1251.184,1253.454,1253.454,1258.843,1258.843
closed,tcp,16,16,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225008,664.426,840.9264990400342,64.84805251168883,1062.78,752.89,782.705,813.468,824.432,836.986,976.756,1011.914,1044.219,1054.778,8.255706463770178,0.0,0.0,0.0,1,False,151277.9998839075,151277.9998839075,151277.9998839075,151191.99149793127,1.488226974,91.74429353622982,0,0.0,0.0,0.00107832,False,16,16,144,3.2,1.28,2.543156,16.0,16.0,225008,12.329,13.774703263883952,1.542664786709269,29.265,12.418,12.827,13.025,13.089,14.443,14.727,15.223,22.042,27.694,0.0,0.0,0.0,0.0,824.432,824.432,976.756,976.756,1044.219,1044.219,1054.778,1054.778
closed,tcp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,6229.807,6652.379991681479,80.89048621311119,6838.548,6482.844,6524.787,6587.17,6651.318,6708.846,6766.111,6784.773,6818.989,6832.502,100.0,100.0,100.0,0.0,1,False,151473.9710271607,151473.9710271607,151473.9710271607,150830.54176970018,1.492005514,0.0,0,0.0,0.0,0.000133245,False,64,16,1024,7.68,7.68,1.829656,63.9877143588431,63.99658727337362,225040,13.104,50.745389548524706,2.129602904903807,74.646,48.828,48.985,49.68,50.34,51.132,51.598,55.086,59.998,65.317,0.0,0.0,0.0,0.0,6651.318,6651.318,6766.111,6766.111,6818.989,6818.989,6832.502,6832.502
closed,tcp,64,1,0,50,128000,4096,8900,nvme,direct-dsync,raw,good,115200,500.269,689.9381020486112,59.2999395323888,933.335,571.68396,603.8107,647.58525,685.104,723.8824999999999,777.5634,798.39715,837.2988599999995,885.7192090000001,0.0,0.0,0.0,0.0,1,False,79316.70981108394,79316.70981108394,79316.70981108394,79274.04496049756,1.453186854,100.0,0,0.0,0.0,0.000183129,False,1,64,64,0.2,0.0,9.297421875,1.0,1.0,115200,0.748,0.7985310937500001,0.32846092614708516,30.856,0.753,0.755,0.759,0.763,0.771,0.788,0.798,1.743,7.271841000000277,0.0,0.0,0.0,0.0,685.104,685.104,777.5634,777.5634,837.2988599999995,837.2988599999995,885.7192090000001,885.7192090000001
closed,tcp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225000,664.71,1193.8150380622224,186.60614597970257,1666.703,856.649,893.172,1097.872,1168.0285,1374.345,1426.0711,1450.819,1612.871,1641.404,81.10933333333334,0.0,0.0,0.0,1,False,150849.68929696985,150849.68929696985,150849.68929696985,150753.2072443335,1.49250556,18.890666666666668,0,0.0,0.0,0.000392682,False,4,64,244,0.64,0.48,3.882636,4.0,4.0,225000,3.027,3.2791685333333334,0.8053863876376799,29.49,3.044,3.051,3.064,3.078,3.118,4.183100000000006,4.25,4.477,13.268,0.0,0.0,0.0,0.0,1168.0285,1168.0285,1426.0711,1426.0711,1612.871,1612.871,1641.404,1641.404
closed,udp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,1194.291,1524.382135442588,83.94697600285443,1713.907,1426.014,1437.025,1469.839,1485.743,1583.848,1669.383,1676.646,1695.134,1710.71,100.0,0.0,0.0,0.0,1,False,150929.22862584947,150929.22862584947,150929.22862584947,150800.56834713172,1.492302068,0.0,120,0.0,0.0,0.000163737,False,64,4,256,5.12,10.24,2.872484,63.9877143588431,63.99658727337362,225040,15.448,55.59755762531106,2.0057451362575125,69.256,54.024,54.275,54.718,55.14,55.593,55.983,60.923,64.211,68.563,0.0,0.0,0.0,0.0,1485.743,1485.743,1669.383,1669.383,1695.134,1695.134,1710.71,1710.71
closed,udp,16,16,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225008,1352.616,1509.1491301287065,65.94490110084881,1798.662,1400.955,1408.629,1450.942,1517.376,1560.473,1598.317,1628.524,1649.158,1682.891,100.0,0.0,0.0,0.0,1,False,150822.87706700782,150822.87706700782,150822.87706700782,150672.87917832856,1.493354353,0.0,0,0.0,0.0,0.000288533,False,16,16,256,2.56,1.28,3.13994,16.0,16.0,225008,13.845,14.743047358316149,1.4782283392150617,38.44,13.946,14.044,14.34,14.467,14.535,15.67,16.148,23.727,29.416,0.0,0.0,0.0,0.0,1517.376,1517.376,1598.317,1598.317,1649.158,1649.158,1682.891,1682.891
closed,udp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,781.376,9594.766362388908,7115.778179562402,24508.513,823.87,933.725,4214.989,6193.676,17246.983,20626.489,21567.683,22853.998,24111.991,94.6178457163171,90.2950586562389,65.21151795236402,33.928190543903305,1,False,89023.71928877445,89023.71928877445,89023.71928877445,88796.4408053764,2.534335813,5.382154283682901,180210,0.0,0.0,0.000881004,False,64,16,1024,5.12,7.68,4.57412,63.9877143588431,63.99658727337362,225040,15.145,56.54322879488091,3.7137586204623636,157.821,54.134,54.51,55.008,55.612,56.392,58.144,65.018,69.26,84.507,0.0,0.0,0.0,0.0,6193.676,6193.676,20626.489,20626.489,22853.998,22853.998,24111.991,24111.991
closed,udp,64,1,0,50,128000,4096,8900,nvme,direct-dsync,raw,good,115200,495.076,745.4738650347223,74.02392411046212,972.657,568.8196300000001,630.9056999999999,690.5515,742.0865,800.81025,842.2461,867.71515,907.52801,935.0732140000001,0.0,0.0,0.0,0.0,1,False,75473.79926478968,75473.79926478968,75473.79926478968,75440.40117052148,1.527033237,100.0,0,0.0,0.0,0.000216501,False,1,64,64,0.16,0.08,7.462859375,1.0,1.0,115200,0.799,0.9258404166666666,0.44497529439670863,96.976,0.81,0.815,0.83,0.853,0.884,0.918,1.754,1.895,6.261224000000162,0.0,0.0,0.0,0.0,742.0865,742.0865,842.2461,842.2461,907.52801,907.52801,935.0732140000001,935.0732140000001
closed,udp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225000,1238.744,1599.7008515733332,88.21997490698308,1919.55,1389.777,1423.503,1592.864,1616.897,1631.512,1730.244,1752.43,1767.608,1781.85,100.0,0.0,0.0,0.0,1,False,150793.26441110787,150793.26441110787,150793.26441110787,150656.66903118626,1.493461932,0.0,0,0.0,0.0,3.9283e-05,False,4,64,256,0.96,0.32,3.80346,4.0,4.0,225000,3.293,3.5827733333333334,0.7669948940290715,19.996,3.329,3.345,3.377,3.434,3.549,3.677,4.491,5.206,15.557,0.0,0.0,0.0,0.0,1616.897,1616.897,1730.244,1730.244,1767.608,1767.608,1781.85,1781.85
