worker,phase,seconds,ena_srd_mode,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_eligible_tx_pkts,ena_srd_tx_pkts,ena_srd_rx_pkts,srd_sent_of_eligible_pct
use1-az1,closed-r0,57.674306869506836,0,0,0,0,0,0,0,0,0,
use1-az1,open-r0,732.9008693695068,0,0,0,0,0,0,0,0,0,
use1-az1,preflight-tcp,2.4230716228485107,0,0,0,0,0,0,0,0,0,
use1-az1,preflight-udp,1.5186562538146973,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r0,232.88559079170227,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r1,232.0646572113037,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r2,232.46998143196106,0,0,0,0,0,0,0,0,0,
use1-az2,closed-r0,57.54272437095642,0,0,0,0,0,0,0,0,0,
use1-az2,open-r0,732.8130159378052,0,0,0,0,0,0,0,0,0,
use1-az2,preflight-tcp,0.7739229202270508,0,0,0,0,0,0,0,0,0,
use1-az2,preflight-udp,1.6834781169891357,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r0,236.33020210266113,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r1,232.06457543373108,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r2,232.46999406814575,0,0,0,0,0,0,0,0,0,
use1-az4,closed-r0,57.638131618499756,0,0,0,0,0,0,0,0,0,
use1-az4,open-r0,736.4109756946564,0,0,0,0,0,0,0,0,0,
use1-az4,preflight-tcp,3.0239126682281494,0,0,0,0,0,0,0,0,0,
use1-az4,preflight-udp,1.808708906173706,0,0,0,0,0,0,0,0,0,
use1-az4,tail-r0,236.40557742118835,0,0,0,0,0,0,0,0,0,
use1-az4,tail-r1,232.5817551612854,0,0,0,0,0,0,0,0,0,
use1-az4,tail-r2,233.0077886581421,0,0,0,0,0,0,0,0,0,
