name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,projected_codes,stride,tuples_per_call,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes,allocated_binding_bytes,input_bytes,issued_write_bytes,live_bindings,lowered_decode_terms
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,0,1,24639,1142.3644222573355,1141.0508949226835,ns,1024.0,897418340.0201313,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,1,1,24639,1140.320913998271,1140.132188806364,ns,1024.0,898141469.9571407,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,2,1,24639,1140.4500994355778,1139.065262388896,ns,1024.0,898982730.6755224,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,0,1,360,77638.7222222594,77585.56666666668,ns,65536.0,844693192.505307,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,1,1,360,77890.76111113976,77758.15555555554,ns,65536.0,842818345.3139751,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,2,1,360,77604.05555556658,77563.49999999999,ns,65536.0,844933506.0950062,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,0,1,20,1376384.800000352,1376444.3000000003,ns,1048576.0,761800531.9939208,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,1,1,20,1373012.0499999998,1370996.1999999993,ns,1048576.0,764827794.5628154,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,2,1,20,1365377.0499999495,1365428.3500000003,ns,1048576.0,767946556.8442311,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1024,1,0,scan/packet1/ordered/64/1024,iteration,3,0,1,23727,1178.3427740553282,1176.4540397016058,ns,1024.0,870412243.4393833,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1024,1,0,scan/packet1/ordered/64/1024,iteration,3,1,1,23727,1177.8364732165053,1177.2068108062524,ns,1024.0,869855653.7391053,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1024,1,0,scan/packet1/ordered/64/1024,iteration,3,2,1,23727,1179.0298815697772,1179.0640198929498,ns,1024.0,868485495.8876377,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/65536,1,1,scan/packet1/ordered/64/65536,iteration,3,0,1,219,127594.54337899404,127566.42465753447,ns,65536.0,513740195.9484113,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/65536,1,1,scan/packet1/ordered/64/65536,iteration,3,1,1,219,127147.25570773956,126994.90410958882,ns,65536.0,516052202.7202481,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/65536,1,1,scan/packet1/ordered/64/65536,iteration,3,2,1,219,126730.58447492488,126737.84931506835,ns,65536.0,517098880.5173623,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1048576,1,2,scan/packet1/ordered/64/1048576,iteration,3,0,1,11,2504915.3636367484,2501222.545454545,ns,1048576.0,419225391.1614423,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1048576,1,2,scan/packet1/ordered/64/1048576,iteration,3,1,1,11,2499550.1818187386,2495351.6363636376,ns,1048576.0,420211718.74920285,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1048576,1,2,scan/packet1/ordered/64/1048576,iteration,3,2,1,11,2486435.2727265977,2482674.4545454597,ns,1048576.0,422357429.1346138,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1024,2,0,scan/packet1/permuted/16/1024,iteration,3,0,1,24593,1143.3609157077933,1141.644532997193,ns,1024.0,896951695.911566,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1024,2,0,scan/packet1/permuted/16/1024,iteration,3,1,1,24593,1138.8143780749815,1138.8443052901264,ns,1024.0,899157150.1418983,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1024,2,0,scan/packet1/permuted/16/1024,iteration,3,2,1,24593,1142.3596145247463,1142.118936282685,ns,1024.0,896579128.0309799,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/65536,2,1,scan/packet1/permuted/16/65536,iteration,3,0,1,361,77521.68975067261,77524.57340720225,ns,65536.0,845357763.6057205,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/65536,2,1,scan/packet1/permuted/16/65536,iteration,3,1,1,361,77820.63988920048,77582.6481994458,ns,65536.0,844724967.7727311,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/65536,2,1,scan/packet1/permuted/16/65536,iteration,3,2,1,361,77590.64542935028,77543.10249307484,ns,65536.0,845155763.6071222,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,0,1,20,1372871.250000429,1370624.3000000007,ns,1048576.0,765035320.036278,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,1,1,20,1375303.3000000413,1375416.4000000013,ns,1048576.0,762369853.9584078,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/16/1048576,2,2,scan/packet1/permuted/16/1048576,iteration,3,2,1,20,1372154.2999995505,1370619.7000000032,ns,1048576.0,765037887.6066042,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,0,1,23731,1177.4689646458298,1175.9198095318397,ns,1024.0,870807678.9757267,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,1,1,23731,1180.2402342926212,1179.9876111415444,ns,1024.0,867805721.2900407,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1024,3,0,scan/packet1/permuted/64/1024,iteration,3,2,1,23731,1179.3613417050544,1178.8989928785174,ns,1024.0,868607069.974417,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,0,1,219,126984.31050232371,126994.68949771693,ns,65536.0,516053074.81127536,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,1,1,219,127513.31963466496,127354.14155251083,ns,65536.0,514596535.3076336,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/65536,3,1,scan/packet1/permuted/64/65536,iteration,3,2,1,219,128017.68949770252,127427.51598173537,ns,65536.0,514300223.8966465,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1048576,3,2,scan/packet1/permuted/64/1048576,iteration,3,0,1,11,2537005.545453946,2533356.1818181784,ns,1048576.0,413907845.855075,16.0,64.0,1.0,,,,,,,,,,,,,,
scan/packet1/permuted/64/1048576,3,2,scan/packet1/permuted/64/1048576,iteration,3,1,1,11,2520273.727273289,2516632.2727272687,ns,1048576.0,416658409.47976905,16.0,64.0,1.0,,,,,,,,,,,,,,
