key,rate,window,batch,transport,repeat,count,late_service_rps,late_intercept_records,late_payload_MBps,surplus_payload_MB,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,queue_prepare_p50_ms,queue_prepare_p90_ms,queue_prepare_p99_ms,queue_prepare_p999_ms,queue_prepare_max_ms,post_prepare_p50_ms,post_prepare_p90_ms,post_prepare_p99_ms,post_prepare_p999_ms,post_prepare_max_ms
tail-c7e9891b91f7c829-r0,104400,4,64,udp,0,1670400,100806.0358320006,48499.043904644604,412.9015227678745,198.6520838334243,1.326757,42.2994415,95.52623414999998,99.81800727499999,100.591891,0.3943085,39.8178335,93.02754279999999,97.33891634,98.098923,0.927303,2.48172,2.492031,2.498956,3.041063
tail-c6227eee8b96402b-r0,104300,64,4,udp,0,1668800,100806.17705971643,48590.04084314783,412.90210123659847,199.0248072935335,0.55651,19.59301250000013,61.767405950000004,66.24098649700001,66.685243,0.020168,17.058751100000123,59.232840689999996,63.70766698400001,64.148652,0.53589,2.534191,2.539607,2.551645,2.64764
tail-e9076b12f7079c5f-r0,104400,64,4,tcp,0,1670400,100806.22376566482,48737.68716033228,412.9022925441631,199.629566608721,0.708475,39.5294055,92.7800041,97.14174932999998,97.631972,0.022066,36.99375,90.2455181,94.605428725,95.097285,0.687106,2.534968,2.541177,2.552767,2.677739
tail-3d3768060737d448-r0,105300,64,64,tcp,0,1684800,100806.16484685456,48885.08691044076,412.9020512127163,200.23331598516535,0.757208,146.97385879999996,210.2904466,216.68652995999997,217.539043,0.051752,106.41060839999993,170.09694068000002,176.52763271999999,178.659062,0.719509,40.590239,42.483251,42.492109,42.507848
tail-3d3768060737d448-r1,105300,64,64,tcp,1,1684800,100806.2865797541,48974.81740944977,412.9025498306728,200.60085210910628,0.720689,167.22685959999998,225.7545623499998,232.994654735,233.961719,0.053239,127.27630690000008,185.09727591,193.409849428,195.145667,0.682975,41.209482,42.480661,42.489935,42.502254
tail-e9076b12f7079c5f-r1,104400,64,4,tcp,1,1670400,100806.19435712672,48753.58668778836,412.90217208679104,199.69469107318113,0.576424,39.388242,85.42677559999998,89.02861992999999,89.755075,0.021105,36.853745,82.89060649999999,86.49079080999998,87.234551,0.55624,2.535213,2.540553,2.552579,2.668892
tail-c7e9891b91f7c829-r1,104400,4,64,udp,1,1670400,100806.2282826597,48673.33122996149,412.9023110457741,199.36596471792228,1.250652,40.526971,86.46571940000001,90.08574390999999,91.025403,0.322794,38.047498,83.9836547,87.60510776000001,88.551371,0.937443,2.481326,2.491919,2.497164,2.596645
tail-c6227eee8b96402b-r1,104300,64,4,udp,1,1668800,100806.22881230773,48509.98614698012,412.9023132152125,198.69690325803057,0.571087,35.25763,78.14972119999999,83.38664829000001,83.87802,0.021246,32.721265,75.61390569999999,80.85340722,81.403133,0.550158,2.534995,2.540531,2.554742,3.154194
tail-e9076b12f7079c5f-r2,104400,64,4,tcp,2,1670400,100806.17497136338,48632.93925358584,412.9020926827044,199.2005191826876,0.681406,34.28545520000002,82.80508384,87.2247294,87.896458,0.021431,31.75135180000001,80.27031307999998,84.69040576,85.366415,0.660042,2.535044,2.543443,2.554741,2.835131
tail-c7e9891b91f7c829-r2,104400,4,64,udp,2,1670400,100806.20204764158,48596.319328282974,412.9022035871399,199.05052396864707,1.342237,34.912970600000236,83.46806552,87.88627397600006,88.84563,0.38101,32.43344420000006,80.98602228,85.407127104,86.365576,0.97404,2.481693,2.492004,2.497658,2.503609
tail-c6227eee8b96402b-r2,104300,64,4,udp,2,1668800,100806.19866453628,48478.14043022994,412.9021897299406,198.56646320222185,0.569307,18.76632230000001,69.49284417,74.81494601299997,75.720633,0.020179,16.231130400000065,66.95702941999997,72.27904844799998,73.207328,0.548891,2.533386,2.540221,2.551897,3.097204
tail-3d3768060737d448-r2,105300,64,64,tcp,2,1684800,100806.22339049836,49381.30957490029,412.90229100748127,202.2658440187916,0.629275,149.8688181,212.14771466999932,218.118852187,219.455039,0.051424,109.5996703,171.64967457,178.47667560199997,180.441194,0.588374,40.582568,42.481889,42.491835,42.506871
