case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end
one_partition,eager,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
one_partition,eager_batch,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0
one_partition,ancestor_runs,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,141763,34949,16219,0,43679,0,64,3524,257,65,288,50314,16,2743,4,122880,65832,1118480,40,0
one_partition,location_runs,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113819,34949,16219,0,16340,16404,64,3524,257,65,288,4610,16,1024,4,41024,122400,1118480,40,0
many_partitions,eager,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
many_partitions,eager_batch,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0
many_partitions,ancestor_runs,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,161509,37982,16175,1649,63425,0,10417,3524,18792,18539,367,25656,2696,3087,502,96120,6144,1118480,10240,0
many_partitions,location_runs,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113599,37982,16175,1649,16340,26757,10417,3524,18792,18539,367,996,2696,801,502,40072,6144,1118480,10240,0
deep,eager,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,278528,0,278528,16384,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,2097136,0,0
deep,eager_batch,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,294164,149290,16340,0,0,0,0,1104,0,0,0,0,0,0,0,0,104448,2097136,0,0
