name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,mutations_per_trace,queries_per_trace
root/location_runs/manual_time,0,1,28,2418780.1785714286,2428638.39285715,ns,16384.0,256.0
root/location_runs/manual_time,1,1,28,2489065.4285714286,2499275.2857142845,ns,16384.0,256.0
root/location_runs/manual_time,2,1,28,2515407.3571428573,2508401.7857143045,ns,16384.0,256.0
narrow/eager/manual_time,0,1,653,104909.03675344578,115026.86370597286,ns,16384.0,256.0
narrow/eager/manual_time,1,1,653,103933.27411944882,113909.77641653894,ns,16384.0,256.0
narrow/eager/manual_time,2,1,653,104537.90352220513,114445.88973966261,ns,16384.0,256.0
narrow/eager_batch/manual_time,0,1,29,2325839.7931034486,2335403.7241379432,ns,16384.0,256.0
narrow/eager_batch/manual_time,1,1,29,2363486.379310344,2370297.3793103704,ns,16384.0,256.0
narrow/eager_batch/manual_time,2,1,29,2328935.4827586208,2338446.827586193,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,0,1,27,2488738.814814815,2493811.703703696,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,1,1,27,2542574.4444444445,2551928.9999999753,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,2,1,27,2553995.740740741,2552609.555555556,ns,16384.0,256.0
narrow/location_runs/manual_time,0,1,29,2484004.4137931033,2492234.1379310586,ns,16384.0,256.0
narrow/location_runs/manual_time,1,1,29,2519214.9999999995,2526451.172413802,ns,16384.0,256.0
narrow/location_runs/manual_time,2,1,29,2493215.172413793,2502670.965517258,ns,16384.0,256.0
read_heavy/eager/manual_time,0,1,117,628023.2820512822,639542.3760683797,ns,16384.0,4096.0
read_heavy/eager/manual_time,1,1,117,604246.6239316242,615196.2222222199,ns,16384.0,4096.0
read_heavy/eager/manual_time,2,1,117,892997.9487179489,902109.3247863256,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,0,1,23,2946399.5217391304,2960672.086956529,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,1,1,23,3001095.3478260874,3009608.6521738986,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,2,1,23,2916480.260869566,2928826.086956534,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,0,1,15,4630220.533333332,4634580.533333358,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,1,1,15,4508237.866666666,4517694.399999961,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,2,1,15,4668458.533333334,4679136.066666701,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,0,1,21,3222027.6666666665,3230698.380952384,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,1,1,21,3254526.285714286,3266365.047619045,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,2,1,21,3230511.904761905,3241878.99999999,ns,16384.0,4096.0
one_partition/eager/manual_time,0,1,691,101944.01013024611,112089.18234442896,ns,16384.0,256.0
one_partition/eager/manual_time,1,1,691,101155.04052098414,111488.24023154947,ns,16384.0,256.0
one_partition/eager/manual_time,2,1,691,103345.01302460209,113481.00578871147,ns,16384.0,256.0
one_partition/eager_batch/manual_time,0,1,29,2393894.0344827585,2403113.517241402,ns,16384.0,256.0
one_partition/eager_batch/manual_time,1,1,29,2369216.4827586208,2378353.4137930954,ns,16384.0,256.0
one_partition/eager_batch/manual_time,2,1,29,2709297.689655173,2708350.5517241405,ns,16384.0,256.0
one_partition/ancestor_runs/manual_time,0,1,17,5095877.647058823,5095568.588235325,ns,16384.0,256.0
one_partition/ancestor_runs/manual_time,1,1,17,7139869.764705883,6939877.41176471,ns,16384.0,256.0
one_partition/ancestor_runs/manual_time,2,1,17,4010664.705882353,3999642.058823514,ns,16384.0,256.0
one_partition/location_runs/manual_time,0,1,21,3253309.666666666,3263726.1904761707,ns,16384.0,256.0
one_partition/location_runs/manual_time,1,1,21,3155463.9523809515,3158119.0952380886,ns,16384.0,256.0
one_partition/location_runs/manual_time,2,1,21,3267472.285714286,3266230.1904761954,ns,16384.0,256.0
many_partitions/eager/manual_time,0,1,699,103828.35765379107,113967.81115879907,ns,16384.0,256.0
many_partitions/eager/manual_time,1,1,699,117236.21602288976,127881.85407725377,ns,16384.0,256.0
many_partitions/eager/manual_time,2,1,699,117077.79399141614,127933.89270386145,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,0,1,27,2713109.296296296,2728330.222222232,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,1,1,27,2701924.3333333326,2712976.888888916,ns,16384.0,256.0
many_partitions/eager_batch/manual_time,2,1,27,2813874.037037038,2828024.703703728,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,0,1,28,2595489.821428571,2615382.4285713844,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,1,1,28,2538205.035714286,2558668.1428571646,ns,16384.0,256.0
many_partitions/ancestor_runs/manual_time,2,1,28,2618507.964285714,2643127.9642857215,ns,16384.0,256.0
many_partitions/location_runs/manual_time,0,1,31,2495950.9032258065,2519862.903225815,ns,16384.0,256.0
many_partitions/location_runs/manual_time,1,1,31,2500585.0645161294,2522637.096774189,ns,16384.0,256.0
many_partitions/location_runs/manual_time,2,1,31,2646661.967741936,2672528.2258064295,ns,16384.0,256.0
deep/eager/manual_time,0,1,250,456787.4319999998,477851.9999999986,ns,16384.0,256.0
deep/eager/manual_time,1,1,250,456662.5959999998,482863.8319999996,ns,16384.0,256.0
deep/eager/manual_time,2,1,250,353654.27600000007,374330.83199999825,ns,16384.0,256.0
deep/eager_batch/manual_time,0,1,7,11465791.714285715,11483702.28571416,ns,16384.0,256.0
deep/eager_batch/manual_time,1,1,7,10873769.857142856,10889755.999999957,ns,16384.0,256.0
deep/eager_batch/manual_time,2,1,7,10258187.857142856,10275708.285714304,ns,16384.0,256.0
deep/ancestor_runs/manual_time,0,1,6,11288634.0,11289145.833333515,ns,16384.0,256.0
deep/ancestor_runs/manual_time,1,1,6,10578908.666666666,10616319.333333142,ns,16384.0,256.0
deep/ancestor_runs/manual_time,2,1,6,10592940.333333334,10611763.8333334,ns,16384.0,256.0
deep/location_runs/manual_time,0,1,8,8860149.0,8877781.12500004,ns,16384.0,256.0
deep/location_runs/manual_time,1,1,8,8931475.625,8926703.12499999,ns,16384.0,256.0
deep/location_runs/manual_time,2,1,8,8786363.375,8803479.125000013,ns,16384.0,256.0
small_batch/eager/manual_time,0,1,103,704810.9126213595,716880.66019416,ns,16384.0,4096.0
small_batch/eager/manual_time,1,1,103,671418.9126213588,682976.5339805919,ns,16384.0,4096.0
small_batch/eager/manual_time,2,1,103,733409.6019417476,747228.9611650538,ns,16384.0,4096.0
small_batch/eager_batch/manual_time,0,1,41,1676245.5853658533,1689423.7804877993,ns,16384.0,4096.0
small_batch/eager_batch/manual_time,1,1,41,1642479.512195122,1651552.8536585264,ns,16384.0,4096.0
small_batch/eager_batch/manual_time,2,1,41,1658135.243902439,1663810.9999999772,ns,16384.0,4096.0
small_batch/ancestor_runs/manual_time,0,1,20,3382326.500000001,3383725.0500000417,ns,16384.0,4096.0
small_batch/ancestor_runs/manual_time,1,1,20,3300558.7,3314447.899999973,ns,16384.0,4096.0
small_batch/ancestor_runs/manual_time,2,1,20,3349540.6499999994,3361268.749999979,ns,16384.0,4096.0
small_batch/location_runs/manual_time,0,1,26,2450250.653846153,2451826.8846153757,ns,16384.0,4096.0
small_batch/location_runs/manual_time,1,1,26,2393345.923076923,2406383.0000000163,ns,16384.0,4096.0
small_batch/location_runs/manual_time,2,1,26,2457366.2307692305,2466227.5384615194,ns,16384.0,4096.0
large_batch/eager/manual_time,0,1,904,78478.46460176997,88547.24336283116,ns,16384.0,64.0
large_batch/eager/manual_time,1,1,904,76830.41150442476,87010.2787610609,ns,16384.0,64.0
large_batch/eager/manual_time,2,1,904,77752.16150442461,87812.63716814057,ns,16384.0,64.0
large_batch/eager_batch/manual_time,0,1,26,2752833.5,2760817.3076923382,ns,16384.0,64.0
large_batch/eager_batch/manual_time,1,1,26,2752819.192307693,2760203.500000007,ns,16384.0,64.0
large_batch/eager_batch/manual_time,2,1,26,2751934.076923077,2760687.4615384755,ns,16384.0,64.0
large_batch/ancestor_runs/manual_time,0,1,23,3047221.782608696,3056433.0000000536,ns,16384.0,64.0
large_batch/ancestor_runs/manual_time,1,1,23,3012727.0434782607,3018123.173913044,ns,16384.0,64.0
large_batch/ancestor_runs/manual_time,2,1,23,3049561.347826087,3058541.652173969,ns,16384.0,64.0
large_batch/location_runs/manual_time,0,1,25,2785502.52,2789886.639999963,ns,16384.0,64.0
large_batch/location_runs/manual_time,1,1,25,2808107.0800000005,2817900.000000009,ns,16384.0,64.0
large_batch/location_runs/manual_time,2,1,25,2767414.52,2777053.319999965,ns,16384.0,64.0
long_buffer/eager/manual_time,0,1,680,101599.57352941176,111557.29264705826,ns,16384.0,256.0
long_buffer/eager/manual_time,1,1,680,102185.70735294126,112351.46911764742,ns,16384.0,256.0
long_buffer/eager/manual_time,2,1,680,101124.62058823553,111189.70588235301,ns,16384.0,256.0
long_buffer/eager_batch/manual_time,0,1,30,2367780.0333333337,2376691.66666663,ns,16384.0,256.0
long_buffer/eager_batch/manual_time,1,1,30,2346365.966666667,2353276.3333333167,ns,16384.0,256.0
long_buffer/eager_batch/manual_time,2,1,30,2350421.0999999996,2357913.8666666686,ns,16384.0,256.0
long_buffer/ancestor_runs/manual_time,0,1,22,3269318.6818181816,3278494.2727272855,ns,16384.0,256.0
long_buffer/ancestor_runs/manual_time,1,1,22,3420440.727272728,3425503.8181817713,ns,16384.0,256.0
long_buffer/ancestor_runs/manual_time,2,1,22,3548969.6818181816,3560687.500000028,ns,16384.0,256.0
long_buffer/location_runs/manual_time,0,1,24,2951601.208333334,2961217.000000035,ns,16384.0,256.0
long_buffer/location_runs/manual_time,1,1,24,2888362.1666666665,2898468.749999994,ns,16384.0,256.0
long_buffer/location_runs/manual_time,2,1,24,2866983.0416666665,2874255.1666666544,ns,16384.0,256.0
large_base/eager/manual_time,0,1,334,191221.38922155686,356791.4161676626,ns,16384.0,256.0
