dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,intersection,mixed-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6822531,52.0518,30550197,13795617,6827752,6827752,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6822162,52.049,30546795,13795616,6827303,6827303,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6844522,52.2196,30548831,13795618,6841223,6841223,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6815062,51.9948,30546701,13795616,6820272,6820272,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6812972,51.9789,30548253,13795616,6828253,6828253,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6831191,52.1179,30548724,13795617,6837322,6837322,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6827392,52.0889,30547589,13795617,6833743,6833743,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6835112,52.1478,30547832,13795616,6842133,6842133,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6852312,52.279,30548511,13795618,6847472,6847472,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6814972,51.9941,30547835,13795617,6829333,6829333,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6824392,52.066,30547220,13795616,6831242,6831242,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6823271,52.0574,30547672,13795617,6829153,6829153,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6835242,52.1488,30547509,13795617,6840823,6840823,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6846612,52.2355,30548278,13795617,6843082,6843082,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,0,8,16384,131072,0,0,0,0,65241,65536,65536,0,6518019,49.7285,29238902,12222752,6531022,6531022,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,1,8,16384,131072,0,0,0,0,65241,65536,65536,0,6533890,49.8496,29225368,12222752,6538993,6538993,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,2,8,16384,131072,0,0,0,0,65241,65536,65536,0,6541629,49.9087,29250732,12222753,6546912,6546912,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,3,8,16384,131072,0,0,0,0,65241,65536,65536,0,6530559,49.8242,29222523,12222758,6535983,6535983,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,4,8,16384,131072,0,0,0,0,65241,65536,65536,0,6524019,49.7743,29236313,12222758,6529302,6529302,available,0,0,unestablished
structural,none,union,plain,complete,0,8,16384,131072,0,0,0,0,65536,65536,65536,0,6446339,49.1817,28955464,8945952,6460142,6460142,available,0,0,unestablished
structural,none,union,plain,complete,1,8,16384,131072,0,0,0,0,65536,65536,65536,0,6468949,49.3542,28942582,8945952,6474213,6474213,available,0,0,unestablished
structural,none,union,plain,complete,2,8,16384,131072,0,0,0,0,65536,65536,65536,0,6489510,49.511,28932579,8945952,6494682,6494682,available,0,0,unestablished
structural,none,union,plain,complete,3,8,16384,131072,0,0,0,0,65536,65536,65536,0,6467559,49.3436,28950725,8945952,6472783,6472783,available,0,0,unestablished
structural,none,union,plain,complete,4,8,16384,131072,0,0,0,0,65536,65536,65536,0,6478079,49.4238,28958075,8945953,6483302,6483302,available,0,0,unestablished
structural,none,union,plain,selected,0,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5836994,1.39165,26220633,123732255,5849143,5849143,available,0,0,unestablished
structural,none,union,plain,selected,1,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5864014,1.39809,26221146,123732256,5869162,5869162,available,0,0,unestablished
structural,none,union,plain,selected,2,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5863594,1.39799,26220269,123732255,5868792,5868792,available,0,0,unestablished
structural,none,union,plain,selected,3,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5869284,1.39935,26220965,123732256,5874423,5874423,available,0,0,unestablished
structural,none,union,plain,selected,4,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5854504,1.39582,26220377,123732255,5859692,5859692,available,0,0,unestablished
