dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,dispersed32,union,local-inline,complete,5,1466.49,1465.14,1467.61,6570.167236328125,18.069768387485507
census-income,dispersed32,union,local-point,complete,5,1474.83,1468.66,1476.27,6609.299560546875,18.172532039710635
census-income,dispersed32,union,mixed-frame,complete,5,1510.98,1507.2,1511.2,6776.25634765625,18.617964417161282
census-income,dispersed32,union,mixed-frame-point,complete,5,1516.71,1511.42,1518.89,6794.880126953125,18.6885682213879
census-income,dispersed32,union,mixed-point-frame,complete,5,1543.04,1536.26,1585.13,6902.8701171875,19.013000710966754
census-income,dispersed32,union,plain,complete,5,81.1571,80.7661,81.2272,363.7481994628906,1.0
census-income,dispersed32,union,plain,selected,5,36.7632,36.7165,36.9688,164.81090927124023,1.0
census-income,none,intersection,bec-plain-frame,complete,5,50.0054,49.7593,50.601,222.9393310546875,1.0115465685977028
census-income,none,intersection,local-frame,complete,5,52.084,52.0033,52.2014,233.06365203857422,1.0535940414203817
census-income,none,intersection,local-frame,selected,5,3.14027,3.1307,3.14521,14.059857368469238,1.9377205973096385
census-income,none,intersection,local-inline,complete,5,48.5235,48.411,48.7103,217.0847930908203,0.9815695889114101
census-income,none,intersection,local-point,complete,5,52.0962,52.0644,52.5701,233.05846405029297,1.0538408321297228
census-income,none,intersection,mixed-frame,complete,5,52.0885,51.9873,52.237,233.05796813964844,1.0536850707803846
census-income,none,intersection,mixed-frame-point,complete,5,52.0852,51.9901,52.2149,233.06324005126953,1.0536183159163823
census-income,none,intersection,mixed-point-frame,complete,5,52.1303,51.8735,52.2095,233.05789947509766,1.0545306323910781
census-income,none,intersection,plain,complete,5,49.4346,49.3655,49.5682,221.06155395507812,1.0
census-income,none,intersection,plain,selected,5,1.6206,1.61968,1.6219,7.251856088638306,1.0
census-income,none,union,bec-plain-frame,complete,5,49.8169,49.6562,49.9354,223.05767059326172,1.007829269328888
census-income,none,union,local-frame,complete,5,52.036,51.9683,52.2031,233.05948638916016,1.0527231493488758
census-income,none,union,local-frame,selected,5,3.1434,3.13811,3.17845,14.060571193695068,1.9420246876969272
census-income,none,union,local-inline,complete,5,49.3853,49.2055,49.5574,221.05560302734375,0.9990977121135183
census-income,none,union,local-point,complete,5,52.0837,51.9191,52.2765,233.0612335205078,1.0536881523126689
census-income,none,union,mixed-frame,complete,5,52.0765,51.8849,52.1427,233.05799102783203,1.0535424914879454
census-income,none,union,mixed-frame-point,complete,5,52.0844,51.9703,52.7765,233.06148529052734,1.0537023137817394
census-income,none,union,mixed-point-frame,complete,5,52.0741,51.9009,52.1842,233.05506896972656,1.0534939378797044
census-income,none,union,plain,complete,5,49.4299,49.3377,49.5777,221.06011199951172,1.0
census-income,none,union,plain,selected,5,1.61862,1.61527,1.623,7.251813888549805,1.0
census-income,single255,intersection,bec-plain-frame,complete,5,74.6077,74.5055,75.0599,335.03768157958984,1.330118913907757
census-income,single255,intersection,local-frame,complete,5,69.9923,69.9241,70.1895,313.7160339355469,1.2478347685011855
census-income,single255,intersection,local-frame,selected,5,18.0341,17.9929,18.1429,80.884033203125,7.975102816963694
census-income,single255,intersection,local-inline,complete,5,65.1898,65.147,65.3028,292.4358215332031,1.1622149720989108
census-income,single255,intersection,local-point,complete,5,64.0849,63.9935,64.353,287.29776763916016,1.1425166247704623
census-income,single255,intersection,mixed-frame,complete,5,69.2577,68.7733,69.6246,308.46814727783203,1.2347381932930417
census-income,single255,intersection,mixed-frame-point,complete,5,67.6394,67.535,67.9517,303.19837188720703,1.2058868624199959
census-income,single255,intersection,mixed-point-frame,complete,5,65.5309,65.4138,65.639,293.65946197509766,1.1682961615945517
census-income,single255,intersection,plain,complete,5,56.091,55.8543,56.3777,251.06021118164062,1.0
census-income,single255,intersection,plain,selected,5,2.2613,2.26013,2.27721,10.12754201889038,1.0
census-income,single255,union,bec-plain-frame,complete,5,74.8388,74.7115,75.4817,334.70250701904297,1.3334117286524203
census-income,single255,union,local-frame,complete,5,106.407,105.927,106.754,476.23487854003906,1.895866072287611
census-income,single255,union,local-frame,selected,5,46.3422,46.2356,46.5957,207.4601821899414,20.467813528255636
census-income,single255,union,local-inline,complete,5,99.6431,99.0921,99.8846,445.43101501464844,1.7753528680214805
census-income,single255,union,local-point,complete,5,97.0074,96.5553,97.7043,434.2200622558594,1.7283922901767104
census-income,single255,union,mixed-frame,complete,5,104.259,103.828,104.377,467.1505126953125,1.85759490287889
census-income,single255,union,mixed-frame-point,complete,5,103.127,102.942,103.169,462.2362976074219,1.837425925332022
census-income,single255,union,mixed-point-frame,complete,5,101.77,101.588,102.101,455.9178466796875,1.8132480962409445
census-income,single255,union,plain,complete,5,56.1258,55.9654,56.4451,251.0688934326172,1.0
census-income,single255,union,plain,selected,5,2.26415,2.25729,2.26694,10.127552509307861,1.0
census-income_srt,all,intersection,bec-plain-frame,complete,5,2114.22,2104.33,2117.26,9472.7529296875,11.776481794027704
census-income_srt,all,intersection,local-frame,complete,5,770.799,769.663,775.308,3448.2509765625,4.293451197299601
census-income_srt,all,intersection,local-frame,selected,5,769.029,768.554,770.063,3446.8961181640625,4.168314416728999
census-income_srt,all,intersection,local-inline,complete,5,517.278,515.772,519.213,2313.54931640625,2.8813060842537976
