profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/all,dense32-authored,0.10376246780523105,0.5405114522971284,separated faster,"[0.10376246780523105,0.10375748867343622,0.10377152369388731]","[0.19197089601755754,0.1919971139939176,0.19195462058503493]"
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/prefilter75,authored,0.32452978302230084,1.4792927180952216,separated slower,"[0.32452978302230084,0.32462310452727294,0.32439551109103376]","[0.2193699567696005,0.21950273555452157,0.2193817214487302]"
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/prefilter75,authored-u64-carrier,0.2772720083684985,1.2638792627639097,separated slower,"[0.2772720083684985,0.2768955693655646,0.2777477915825967]","[0.2193699567696005,0.21950273555452157,0.2193817214487302]"
gnr-avx2,avx2,composition/avx2/local/k7/h0/u8/prefilter75,dense32-authored,0.10650834853854023,0.48549326641796536,separated faster,"[0.10652071670604275,0.10650834853854023,0.10647899634428067]","[0.2193699567696005,0.21950273555452157,0.2193817214487302]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/all,authored,0.1364006733251878,0.8264330175685168,separated faster,"[0.13644537407524185,0.13636481508949796,0.1364006733251878]","[0.16504746352765276,0.16500968247927128,0.165131961049126]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/all,authored-u64-carrier,0.10256641280209461,0.6214358622052388,separated faster,"[0.1025715273844953,0.10251710060088322,0.10256641280209461]","[0.16504746352765276,0.16500968247927128,0.165131961049126]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,authored,0.14199161788829678,0.5399280002700566,separated faster,"[0.14211543902888282,0.14199161788829678,0.14192269892562773]","[0.2628611353658806,0.26298250473632895,0.2631365117216529]"
gnr-avx2,avx2,composition/avx2/striped/k12/h0/u16/prefilter75,authored-u64-carrier,0.10612785075783308,0.4035547948873588,separated faster,"[0.10606101857089818,0.10612785075783308,0.10614041120181732]","[0.2628611353658806,0.26298250473632895,0.2631365117216529]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/all,authored,0.3103189566625931,1.5834568677439864,separated slower,"[0.3103189566625931,0.3103416146055782,0.3102719172061723]","[0.1959756296391684,0.1959318533436031,0.1961112773266051]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/all,authored-u64-carrier,0.22669889466963197,1.1567708448597993,separated slower,"[0.22669889466963197,0.22698309704273487,0.22654038690888031]","[0.1959756296391684,0.1959318533436031,0.1961112773266051]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/prefilter75,authored,0.29631771143909713,1.395030577930682,separated slower,"[0.2965496344455625,0.29631771143909713,0.29602300638980883]","[0.21251102251064558,0.21240947411965685,0.2123703050936601]"
gnr-avx512,avx2,composition/avx2/local/k12/h0/u16/prefilter75,authored-u64-carrier,0.20964720945127455,0.9869955675007874,separated faster,"[0.20964720945127455,0.2095844228668026,0.20978300636530683]","[0.21251102251064558,0.21240947411965685,0.2123703050936601]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/all,authored,0.2663598518608087,1.0203651233846855,separated slower,"[0.2663598518608087,0.2662014459623965,0.2693687645163255]","[0.2610436654060244,0.26108302647315473,0.2610015612560631]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/all,authored-u64-carrier,0.19753973241250308,0.7567306109698236,separated faster,"[0.19768479676192474,0.19753973241250308,0.1974581116017488]","[0.2610436654060244,0.26108302647315473,0.2610015612560631]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/prefilter75,authored,0.27782945528432296,1.022804069351991,separated slower,"[0.27782945528432296,0.2779833311577509,0.27777241320621704]","[0.27163507030270706,0.27180126865115195,0.27160117194749867]"
gnr-avx512,avx2,composition/avx2/local/k31/h0/u32/prefilter75,authored-u64-carrier,0.21344705462167005,0.7857860709363009,separated faster,"[0.21344705462167005,0.21331545759024867,0.2134662251699052]","[0.27163507030270706,0.27180126865115195,0.27160117194749867]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/all,authored,0.17998393319722872,1.2856265069670734,separated slower,"[0.17999178823107684,0.1799231896032937,0.17998393319722872]","[0.13999706152748012,0.1400232366174643,0.13990164361139018]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/all,authored-u64-carrier,0.11350919117007134,0.8107969548188734,separated faster,"[0.11348406079589712,0.11350919117007134,0.11351494869362579]","[0.13999706152748012,0.1400232366174643,0.13990164361139018]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/all,dense32-authored,0.03888158089423774,0.2777314071453253,separated faster,"[0.03888158089423774,0.03890780427751924,0.038875628278902154]","[0.13999706152748012,0.1400232366174643,0.13990164361139018]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/prefilter75,authored,0.1801305399967343,1.2136368341210886,separated slower,"[0.1801305399967343,0.18013496675063534,0.18005170345617336]","[0.14850431162210712,0.14839974414220183,0.148422110249467]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/prefilter75,authored-u64-carrier,0.11388140097308554,0.7672805674415648,separated faster,"[0.11388140097308554,0.1139189144824918,0.11387891328946538]","[0.14850431162210712,0.14839974414220183,0.148422110249467]"
gnr-avx512,avx2,composition/avx2/local/k5/h0/u8/prefilter75,dense32-authored,0.04324362921024774,0.2913557093182687,separated faster,"[0.04324362921024774,0.043218339381089,0.043258718629374894]","[0.14850431162210712,0.14839974414220183,0.148422110249467]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/all,authored,0.2425293026573256,0.8697338988426113,separated faster,"[0.2424906113993803,0.24257060186025095,0.2425293026573256]","[0.27885460481656377,0.2789083385772305,0.2788210800988318]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/all,authored-u64-carrier,0.1562908328285194,0.5604742763037056,separated faster,"[0.15628903450133788,0.15631348877468565,0.1562908328285194]","[0.27885460481656377,0.2789083385772305,0.2788210800988318]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/prefilter75,authored,0.26723648847589826,0.909562859965482,separated faster,"[0.26717042008297515,0.2673731876275287,0.26723648847589826]","[0.29363024224520134,0.29380760829003055,0.2940908581416503]"
gnr-avx512,avx2,composition/avx2/local/k56/h0/u64/prefilter75,authored-u64-carrier,0.16674898462430576,0.567544814767698,separated faster,"[0.16698880206657402,0.166640042800593,0.16674898462430576]","[0.29363024224520134,0.29380760829003055,0.2940908581416503]"
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/all,authored,0.38771170490450646,1.3091031288636943,separated slower,"[0.3877372124097367,0.38742029874339784,0.38771170490450646]","[0.2961658988937269,0.296184226391376,0.2958342665408286]"
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/all,authored-u64-carrier,0.28272183806367945,0.9546063173367857,separated faster,"[0.283252159315773,0.28272183806367945,0.2827027822653342]","[0.2961658988937269,0.296184226391376,0.2958342665408286]"
