profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx512bw,avx2,composition/avx2/local/k12/h0/u16/prefilter75,authored-u64-carrier,0.32923778657385705,1.0477102977531447,separated slower,"[0.3292262739073236,0.32923778657385705,0.32929808504467245]","[0.31424506113943923,0.3143373802713644,0.3140419919484694]"
gnr-avx512bw,avx2,composition/avx2/local/k31/h0/u32/all,authored,0.4198289173964059,1.1806251589565242,separated slower,"[0.4198289173964059,0.41972011668914155,0.42002327689808866]","[0.35544940709769024,0.3555988233957886,0.3558073354789606]"
gnr-avx512bw,avx2,composition/avx2/local/k31/h0/u32/all,authored-u64-carrier,0.34612750981317053,0.9733651717624603,separated faster,"[0.34600543950076496,0.34629089141070524,0.34612750981317053]","[0.35544940709769024,0.3555988233957886,0.3558073354789606]"
gnr-avx512bw,avx2,composition/avx2/local/k31/h0/u32/prefilter75,authored,0.4406919929112924,1.2021058377657337,separated slower,"[0.4405061669342334,0.4406919929112924,0.44084102625022353]","[0.36662224503355223,0.36659167936841935,0.366599993999176]"
gnr-avx512bw,avx2,composition/avx2/local/k31/h0/u32/prefilter75,authored-u64-carrier,0.3635453733265349,0.9916677012475676,separated faster,"[0.363804949223957,0.36348096441092204,0.3635453733265349]","[0.36662224503355223,0.36659167936841935,0.366599993999176]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/all,authored,0.3178185928335334,1.8667163072176742,separated slower,"[0.31774891737497746,0.3178386765173306,0.3178185928335334]","[0.1702034098901189,0.1702781619501028,0.17025543281787658]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/all,authored-u64-carrier,0.2432761175588374,1.4288890141853596,separated slower,"[0.2432761175588374,0.24343254655975394,0.24309315681910484]","[0.1702034098901189,0.1702781619501028,0.17025543281787658]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/all,dense32-authored,0.0782532025936281,0.45962235271127055,separated faster,"[0.07823101580251206,0.07826936357323387,0.0782532025936281]","[0.1702034098901189,0.1702781619501028,0.17025543281787658]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/prefilter75,authored,0.3139881887693604,1.7583365192707114,separated slower,"[0.31402128711941557,0.3139543182499188,0.3139881887693604]","[0.1785488178500234,0.1785778479846277,0.17857115821014188]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/prefilter75,authored-u64-carrier,0.24416123079920982,1.3673049626070173,separated slower,"[0.24416123079920982,0.24428901234344252,0.24406511693064253]","[0.1785488178500234,0.1785778479846277,0.17857115821014188]"
gnr-avx512bw,avx2,composition/avx2/local/k5/h0/u8/prefilter75,dense32-authored,0.08208904322610541,0.4596993380616557,separated faster,"[0.08211934167556677,0.08208904322610541,0.08207439291037098]","[0.1785488178500234,0.1785778479846277,0.17857115821014188]"
