az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
1,1,25600,19.827846032008992,0.0,39.53437051011011,27.219098657466144,0.0,42.87539243161164,31.562516161159834,0.0,49.88800748847946,6.473570665719453,497.923447592453,-26.513773031631715,66.5017661870871,8.174689040606609,32.22717992163193
1,2,51200,216.57488322889049,171.53288373978972,267.4742666066568,315.4273164899313,264.0610647597297,361.78741468850814,326.24449253751555,281.7962701153769,378.73805399903205,193.6646934225834,3382.58845061269,171.53288373978972,267.4742666066568,196.28828370416352,332.30651053456506
1,3,51000,340.08830142441104,0.0,679.38060621011,361.15062875259883,0.0,705.5517363341942,370.29999306270486,0.0,716.8703672071242,230.36777530235838,3616.645430757281,-175.9753279932714,791.7692105306555,232.94756016992667,372.2692579341817
1,4,51000,198.16810254187834,151.441117027877,248.574839905756,256.64097380966626,203.18646149421446,300.18901400507525,273.5982350421613,218.9695510536697,315.7977557114307,153.36054109402514,561.6444322274583,151.441117027877,248.574839905756,156.47149809052632,276.9093765506118
1,5,51200,134.31936992751534,87.05960581201217,181.99571395825814,155.1009937318352,108.36549198174166,204.52875249648636,165.10996171726114,118.77193244515809,215.0800109187937,103.4650329561159,248.7182813873915,87.05960581201217,181.99571395825814,106.36303125042912,162.70008073248144
1,6,51000,313.31413875381907,270.7019444542542,366.3867752800802,345.01046847366916,297.31714499585576,393.82499084437416,352.47706744756766,305.7246795923413,401.40288758494694,237.57320475647413,392.19886291554946,270.7019444542542,366.3867752800802,240.02115519783786,353.9733775296345
2,1,51200,273.6951382409985,221.65309254174184,318.32448631696695,318.86924401909545,271.79043978103124,367.4461831429629,328.5799520373891,283.9748290250299,379.78775399563057,193.23173297450413,542.2335695051494,221.65309254174184,318.32448631696695,196.2447902278444,328.4926740970782
2,2,25600,20.775680675280398,0.0,41.159651334934935,28.792514503149377,0.0,44.7128214547948,35.71350692182213,0.0,51.26554476358656,3.960114209781401,85.84095445078518,-27.326260520119977,68.70787765095105,5.810865917325719,41.2534174234299
2,3,51200,413.286693762867,0.0,812.8336504756742,442.731928096768,29.271406774461386,858.8980394147025,452.8945372896015,73.12689380922056,876.9884640317389,302.25249844419164,535.2616969147902,-85.3630086491587,878.2321898515065,305.4342408635323,460.0236246384536
2,4,51200,148.3603975670821,97.90958898263284,194.32273894714717,165.036995717317,114.9999711614611,211.19663287951957,179.46187509681164,126.45463817275399,224.14239250692557,98.08500638022088,285.7210412910085,97.90958898263284,194.32273894714717,100.62418875689897,187.08058517593867
2,5,51200,142.34758088000422,92.24236819949944,189.6486487062563,151.74242389282375,105.0288420780784,201.50640235820845,158.81908840277433,112.10109664084067,208.63477973356657,117.79594431055105,365.3729362296972,92.24236819949944,189.6486487062563,120.56380051892856,159.48439632168657
