node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
0,1,az1a,az1b,True,1,1,4,0,1,az1a,az1b,4,52852,2,17.933310154537786,27.656810016698785,0.0,38.19874051616617,54103,35,18.632721925765715,26.583813113105137,0.0,38.97696787007007,1.0729969035936477,-38.97696787007007,38.19874051616617
0,1,az1a,az1b,True,1,1,4,1,0,az1b,az1a,3,52851,1,24.64702812324365,22.25807353365619,0.0,39.14764167667668,53163,33,24.01786574568169,22.26698543188232,0.0,38.66780985755756,-0.00891189822612759,-38.66780985755756,39.14764167667668
0,1,az1a,az1b,True,1,1,16,0,1,az1a,az1b,4,52863,13,16.548276556741154,27.349807958237363,0.0,39.09445414259259,63729,44,16.017787578543242,27.43200512400514,0.0,37.71945842152152,-0.08219716576777714,-37.71945842152152,39.09445414259259
0,1,az1a,az1b,True,1,1,16,1,0,az1b,az1a,3,52857,7,24.17391194880905,22.91710850577359,0.0,38.19814743218218,63664,39,23.652126767715615,22.899565686685616,0.0,39.71125291676677,0.017542819087974948,-39.71125291676677,38.19814743218218
0,1,az1a,az1b,True,1,1,32,0,1,az1a,az1b,4,52863,13,16.548276556741154,27.349807958237363,0.0,39.09445414259259,63729,44,16.017787578543242,27.43200512400514,0.0,37.71945842152152,-0.08219716576777714,-37.71945842152152,39.09445414259259
0,1,az1a,az1b,True,1,1,32,1,0,az1b,az1a,3,52857,7,24.17391194880905,22.91710850577359,0.0,38.19814743218218,63664,39,23.652126767715615,22.899565686685616,0.0,39.71125291676677,0.017542819087974948,-39.71125291676677,38.19814743218218
0,2,az1a,az2a,False,1,2,4,0,2,az1a,az2a,4,50430,2,212.23662346303354,206.82916948363314,168.2984505068568,243.92770292932937,51537,32,212.92211254741204,208.314708630973,167.64958308333357,252.27113377242222,-1.485539147339864,-83.97268326556542,76.2781198459958
0,2,az1a,az2a,False,1,2,4,2,0,az2a,az1a,3,50431,3,211.83803543136895,211.96870386185543,155.79335239044042,271.15746058423395,60172,35,212.28082908617262,213.1194180128595,164.05023465835814,267.204854581031,-1.150714151004081,-111.41150219059057,107.10722592587581
0,2,az1a,az2a,False,1,2,16,0,2,az1a,az2a,4,50430,2,212.23662346303354,206.82916948363314,168.2984505068568,243.92770292932937,63778,43,212.1895914782188,209.2974933121506,156.0529802402904,258.7722086580078,-2.4683238285174696,-90.473758151151,87.87472268903898
0,2,az1a,az2a,False,1,2,16,2,0,az2a,az1a,3,50440,12,209.04647942648842,209.59177153567714,160.4232782659661,265.06604233463435,49311,45,209.58955903551015,210.07658511620807,175.20960625670688,246.72862356051036,-0.4848135805309255,-86.30534529454425,89.85643607792747
0,2,az1a,az2a,False,1,2,32,0,2,az1a,az2a,4,50430,2,212.23662346303354,206.82916948363314,168.2984505068568,243.92770292932937,63778,43,212.1895914782188,209.2974933121506,156.0529802402904,258.7722086580078,-2.4683238285174696,-90.473758151151,87.87472268903898
0,2,az1a,az2a,False,1,2,32,2,0,az2a,az1a,3,50453,25,205.54361404626434,210.58423769670935,163.86010848193197,265.2776092063063,64672,51,208.44857793882187,209.0250229424522,164.2304134926428,253.08659632012015,1.559214754257141,-89.22648783818818,101.04719571366348
0,3,az1a,az2b,False,1,2,4,0,3,az1a,az2b,4,65084,2,210.47241945799183,219.21728979311524,171.65078884864866,255.3689218735235,62758,35,207.1453781196414,214.8862774988038,165.79697102287295,253.48085125365387,4.331012294311449,-81.83006240500521,89.57195085065055
0,3,az1a,az2b,False,1,2,4,3,0,az2b,az1a,3,65085,3,217.38098971926863,213.0203040645702,159.2782158182182,262.1365911333836,56021,33,223.62065068173655,211.49397489991085,173.32908814929914,257.73369998663645,1.5263291646593586,-98.45548416841825,88.80750298408446
0,3,az1a,az2b,False,1,2,16,0,3,az1a,az2b,4,65089,7,206.6770686858507,215.06151459580195,171.2097890566067,248.90284861231223,62758,35,207.1453781196414,214.8862774988038,165.79697102287295,253.48085125365387,0.1752370969981598,-82.27106219704717,83.10587758943927
0,3,az1a,az2b,False,1,2,16,3,0,az2b,az1a,3,65097,15,216.64180672184762,210.74392384910794,149.0730151870374,266.0197393034035,57069,46,215.28708380643042,209.1539785303762,175.60409768463484,246.76649406901933,1.5899453187317363,-97.69347888198192,90.41564161876869
0,3,az1a,az2b,False,1,2,32,0,3,az1a,az2b,4,65112,30,205.3560298305792,213.59531001367736,157.74506011211218,260.86155853193196,62758,35,207.1453781196414,214.8862774988038,165.79697102287295,253.48085125365387,-1.29096748512643,-95.73579114154168,95.06458750905901
