node,n,p50_us,p99_us,min_us,max_us
0,140600,5.1502144626745725,9.782166923786956,-0.8567397880405188,476.5625408058303
1,140400,1.4107483373703436,18.167535780653605,-8.339799528211588,303.76055981254194
2,140800,6.593095496523194,12.458614096441481,-7.41901278157765,3165.616162103166
3,140800,2.2724417362973908,24.97450713924136,-8.115884651850909,43.22504020826099
6,140400,12.444342766825459,34.16507596499384,-14.198097692415118,775.2013695088121
7,140800,7.959743889038219,14.615335506084136,0.7807039120183327,266.6374309902006
8,140800,4.9583035270103135,9.959359619221246,-0.1523663173443638,53.5260640521883
9,140800,7.7666346225468885,11.735845952169386,1.5786665851609432,4678.037053315009
10,140400,7.3336870971433825,13.57031322580602,0.3377545163912582,130.10150607100175
11,140400,6.272137688508519,11.667467146315829,-11.26942490577558,43.95114888606081
