node_a,node_b,host_a,host_b,same_az,az_a,az_b,flow,canonical_flow,arm,index,port_a,port_b,rtt_train_worst_us,rtt_train_median_us,rtt_round_0_us,rtt_round_1_us,rtt_round_2_us,rtt_round_3_us,rtt_round_4_us,rtt_holdout_worst_us,ab_train_worst_us,ab_train_median_us,ab_request_holdout_round,ab_request_holdout_us,ab_request_holdout_lo_us,ab_request_holdout_hi_us,ba_train_worst_us,ba_train_median_us,ba_request_holdout_round,ba_request_holdout_us,ba_request_holdout_lo_us,ba_request_holdout_hi_us
0,1,az1a,az1b,True,1,1,0,0,sequential,0,52850,48100,38.7115,38.66125,38.013999999999996,38.66125,38.7115,37.914249999999996,39.329,39.329,18.470203446929023,15.978296226649501,4,28.74134773148468,0.0,39.495150111111116,27.111712824087938,27.111712824087938,3,17.616108932249947,0.0,38.03501200725725
0,1,az1a,az1b,True,1,1,1,1,sequential,1,52851,48100,40.66,39.22925,38.333,40.66,39.22925,39.01975,38.821,39.01975,18.351069597972938,17.068232669015256,4,27.46368867278786,0.0,38.93952599584585,24.64702812324365,24.64702812324365,3,22.25807353365619,0.0,39.14764167667668
0,1,az1a,az1b,True,1,1,2,2,sequential,2,52852,48100,39.227999999999994,39.01375,38.11725,39.01375,39.227999999999994,37.35125,38.079750000000004,38.079750000000004,17.933310154537786,16.199274021681745,4,27.656810016698785,0.0,38.19874051616617,26.593763321921926,26.593763321921926,3,15.1225313525761,0.0,37.474128785735736
0,1,az1a,az1b,True,1,1,3,3,sequential,3,52853,48100,38.8885,38.37075,37.12925,38.37075,38.8885,38.457750000000004,37.93675,38.457750000000004,18.183053256103975,15.973340441397436,4,25.78939868761762,0.0,38.07502532242242,25.900198805170948,25.900198805170948,3,21.03220106974081,0.0,38.59238461666667
0,1,az1a,az1b,True,1,1,4,4,sequential,4,52854,48100,42.107749999999996,39.15025,38.988,42.107749999999996,39.15025,40.15,37.9925,40.15,17.634968531821798,15.923406674009662,4,25.81443503890233,0.0,38.111208628128125,24.712302036596697,24.712302036596697,3,22.572286198771444,0.0,40.30071724679679
0,1,az1a,az1b,True,1,1,5,5,sequential,5,52855,48100,39.9125,38.962,39.9125,38.43175,38.962,38.292500000000004,39.03275,39.03275,17.875464403780118,16.920550849087213,4,29.797997819919722,0.0,39.1911047972973,26.146762029321398,26.146762029321398,3,16.738701994731322,0.0,38.44479477187187
0,1,az1a,az1b,True,1,1,6,6,sequential,6,52856,48100,45.435500000000005,40.7275,45.435500000000005,40.7275,39.74225,40.583,40.065,40.583,19.855014076545487,18.187386158571346,4,25.616552710638963,0.0,40.204351707457455,25.21021194408339,25.21021194408339,3,24.487139156206045,0.0,40.715297754604606
0,1,az1a,az1b,True,1,1,7,7,sequential,7,52857,48100,39.21925,38.99925,38.99925,39.21925,37.94175,38.05475,39.334,39.334,17.210303925884713,15.309088185280531,4,30.718344126282958,0.0,39.48684618658659,24.17391194880905,24.17391194880905,3,22.91710850577359,0.0,38.19814743218218
0,1,az1a,az1b,True,1,1,8,8,sequential,8,52858,48100,39.3805,39.096000000000004,38.258,39.3805,39.096000000000004,39.466499999999996,49.7795,49.7795,18.900415639924873,17.0450817179055,4,29.62290985322965,0.0,49.89514780520521,26.332569684073327,26.332569684073327,3,21.22102754009329,0.0,39.58947463053053
0,1,az1a,az1b,True,1,1,9,9,sequential,9,52859,48100,39.234,39.1095,38.15075,39.234,39.1095,38.34225,40.269499999999994,40.269499999999994,16.686670002363158,16.05534057698329,4,30.4555534423528,0.0,40.43458904199199,26.552757688952028,26.552757688952028,3,23.80851708628703,0.0,38.46079252387388
0,1,az1a,az1b,True,1,1,10,10,sequential,10,52860,48100,39.8685,38.541,37.8185,38.541,39.8685,39.178,38.817499999999995,39.178,18.620874975582467,16.456307148522463,4,27.486240230279858,0.0,38.97472389239239,26.528091948218297,26.528091948218297,3,23.668361494569808,0.0,39.29955078448448
