node,tx,n,p50_us,p99_us,max_us
0,0,140600,7.0595,13.059025000000023,1191.413
0,1,140600,1.991,3.6250050000000047,18.452
1,0,140400,6.34825,12.37102000000002,4077.227
1,1,140400,1.828,4.000010000000009,24.1075
2,0,140800,7.4405,12.670010000000008,1423.363
2,1,140800,1.8275,3.358005000000005,14.0565
3,0,140800,7.49325,15.207,1124.53
3,1,140800,1.984,4.3465,15.7765
4,0,140800,9.803,18.97203000000003,1600.468
4,1,140800,2.219,4.8505050000000045,48.011
5,0,140600,10.489,20.607055000000052,965.3155
5,1,140600,2.1965,5.321,19.6355
6,0,140400,8.3745,16.081005000000005,1375.3135
6,1,140400,2.1015,4.7425,17.0255
7,0,140800,8.292,16.68803500000003,327.4605
7,1,140800,2.0645,5.05551000000001,17.12
8,0,140800,6.532,12.506505000000006,1935.0215
8,1,140800,1.6645,3.3815200000000187,12.832
9,0,140800,9.007,17.011015000000015,1226.5585
9,1,140800,2.2205,4.637505000000004,17.07
10,0,140400,8.814,15.7545,5056.693
10,1,140400,2.0995,4.2515,15.2005
11,0,140400,8.357,14.705035000000032,221.0945
11,1,140400,2.02,3.8235,27.533
