node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,primary,sequential_port_a,sequential_flow,sequential_rtt_train_worst_us,sequential_rtt_round_3_us,sequential_rtt_round_4_us,sequential_rtt_holdout_worst_us,scattered_port_a,scattered_flow,scattered_rtt_train_worst_us,scattered_rtt_round_3_us,scattered_rtt_round_4_us,scattered_rtt_holdout_worst_us,round_3_gain_us,round_4_gain_us,holdout_worst_gain_us
0,1,az1a,az1b,True,1,1,4,False,52850,0,38.7115,37.914249999999996,39.329,39.329,53163,33,40.21275,38.5185,37.93275,38.5185,-0.6042500000000075,1.396250000000002,0.8104999999999976
0,1,az1a,az1b,True,1,1,16,True,52850,0,38.7115,37.914249999999996,39.329,39.329,64070,40,38.03975,38.127250000000004,38.152,38.152,-0.21300000000000807,1.1769999999999996,1.1769999999999996
0,1,az1a,az1b,True,1,1,32,False,52880,30,38.6825,38.86275,38.994249999999994,38.994249999999994,64070,40,38.03975,38.127250000000004,38.152,38.152,0.7354999999999947,0.8422499999999928,0.8422499999999928
0,2,az1a,az2a,False,1,2,4,False,50430,2,422.698,422.68399999999997,421.41575,422.68399999999997,61734,34,427.83425,425.69550000000004,423.25525000000005,425.69550000000004,-3.011500000000069,-1.8395000000000437,-3.011500000000069
0,2,az1a,az2a,False,1,2,16,True,50430,2,422.698,422.68399999999997,421.41575,422.68399999999997,49311,45,421.2835,420.64975000000004,420.998,420.998,2.034249999999929,0.4177500000000123,1.6859999999999786
0,2,az1a,az2a,False,1,2,32,False,50454,26,418.48125000000005,416.05475,415.15675,416.05475,49311,45,421.2835,420.64975000000004,420.998,420.998,-4.595000000000027,-5.841250000000002,-4.943249999999978
0,3,az1a,az2b,False,1,2,4,False,65085,3,424.60275,424.0195,424.601,424.601,56021,33,428.182,426.59975,425.361,426.59975,-2.580249999999978,-0.7599999999999909,-1.9987499999999727
0,3,az1a,az2b,False,1,2,16,True,65092,10,423.61775,419.61025,421.68600000000004,421.68600000000004,55661,40,424.93475,425.53200000000004,426.03999999999996,426.03999999999996,-5.921750000000031,-4.353999999999928,-4.353999999999928
0,3,az1a,az2b,False,1,2,32,False,65112,30,420.45575,418.7625,417.256,418.7625,55661,40,424.93475,425.53200000000004,426.03999999999996,426.03999999999996,-6.7695000000000505,-8.783999999999992,-7.277499999999975
0,4,az1a,az3a,False,1,3,4,False,65372,0,497.39300000000003,496.14975000000004,496.01075000000003,496.14975000000004,50004,34,593.82925,592.701,593.08475,593.08475,-96.55124999999998,-97.07399999999996,-96.93499999999995
