node,reference,samples,drift_ppm,point_model_drift_ppm,fit_residual_p50_us,fit_residual_p99_us,anchor_halfwidth_p50_us,anchor_halfwidth_max_us,max_gap_ms,assumed_rate_envelope_ppm,errors,wall_rate_lower_bound_max_ppm,phc_error_p50_us,ntp_strata,ntp_root_distance_p50_us,point_model,affine_target_drift_ppm,affine_max_violation_us,point_max_adjustment_us,point_max_rate_ppm
0,phc+ntp,28881,-1.5321503254467161,-1.5322082557604821,1.7743012752701761,3.9175088318325817,24.099807250000012,71415.35143638439,100.2663995,99.99999999999999,2,53.68082775676874,21.624499999999998,1,30.517578125,feasible,-1.5322082557604821,0.0,4.656612873077393e-13,1.5322082562139838
1,phc+ntp,28417,-2.1683324223613467,-2.1686853229984107,6.7690001593786295,20.355180755909394,23.773724149999907,99182.58874008438,52.4016825,99.99999999999999,12,0.0,21.607,1,30.517578125,feasible,-2.1686853229984098,6.797764963234156,6.797764963234156,100.00000000000443
2,phc+ntp,27830,2.7698254358914216,2.7698326752401865,3.343017516870168,11.666525293663982,24.28294657499995,98967.03563623437,100.2632455,99.99999999999999,12,0.0,22.115,1,30.517578125,feasible,2.769832675240187,0.0,9.313225746154785e-13,2.769832678395955
3,phc+ntp,27363,-2.7801102670947886,-2.7807128719556538,7.9943897326535955,18.447818051617563,24.042372099999803,99516.44212043437,100.252513,99.99999999999999,8,2.254778069278236,21.551,1,30.517578125,feasible,-2.7807128719556533,4.262241132775341,4.262241132775341,87.85237725890269
4,ntp,1265,-16.54008222822166,-16.540185137784068,25.367800775601527,1111.5154940005514,446.5457554281242,4253.862317940624,2201.7495445,99.99999999999999,15,14.977607877119391,,3,335.693359375,feasible,-16.540185137784068,0.0,7.450580596923828e-12,16.54018513779084
5,ntp,1244,-6.373400720886318,-6.365949505412608,16.22706954176142,938.3289019512353,440.6951320249997,2512.7264653281254,2201.8120725,99.99999999999999,18,1.1583762807996774,,3,328.06396484375,feasible,-6.365949505412608,0.0,1.862645149230957e-12,6.365949505414113
6,phc+ntp,26079,-7.442530297076088,-7.454774791954614,7.140917531441199,31.650844195740074,24.61219709999999,92644.43553063438,52.6329845,99.99999999999999,4,273.93808373322923,21.606,1,30.517578125,feasible,-7.442611838188256,18.364500318713485,18.364500318711624,100.00000000272352
7,phc+ntp,25522,-2.4933447155056387,-2.493256032607533,2.4342274188755835,7.7375593863719585,24.215019025000046,96668.10249733436,100.3459325,99.99999999999999,7,0.0,21.521,1,30.517578125,feasible,-2.493256032607533,0.0,9.313225746154785e-13,2.493256034293861
8,phc+ntp,25164,-3.7604560389993122,-3.7605295148299525,1.7761610965442378,4.374593859892199,23.526660349999965,99095.88259588438,100.2453205,99.99999999999999,11,0.0,21.533,1,30.517578125,feasible,-3.7605295148299525,0.0,9.313225746154785e-13,3.7605295162228725
9,phc+ntp,24389,-0.11799820465094345,-0.11791717691638555,0.3768728095901479,1.1947218024188184,24.3513809,97650.19298598438,100.3436015,99.99999999999999,4,0.0,21.626,1,30.517578125,feasible,-0.11791717691638558,0.0,5.820766091346741e-14,0.11791717707454649
10,phc+ntp,23696,3.8588823050811305,3.858905718108045,2.262773719506571,6.156422354578227,24.339185199999946,96719.51971963438,100.2235455,99.99999999999999,4,0.0,21.4985,1,30.517578125,feasible,3.858905718108045,0.0,9.313225746154785e-13,3.858905721053709
11,phc+ntp,23224,2.3877401915720418,2.387806119024847,2.575211043952317,5.939928625696924,23.905910225000056,70367.75957248437,52.459298,99.99999999999999,5,0.0,21.5175,1,30.517578125,feasible,2.3878061190248467,0.0,9.313225746154785e-13,2.3878061210583583
