family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,B64prefix9/scalar_raw,4096,918273,3,0.403435005,0.402985384,0.403822843,291072,32768,0
prefix,B64prefix9/scalar_tuplepack,4096,918273,3,1.314396674,1.313866349,1.32277227,291072,32768,0
prefix,B64prefix9/full_string_rare,4096,918273,3,8.230553878,8.220345748,8.296473323,291072,32768,32768
prefix,B64prefix9/all_fields,4096,918273,3,16.289639122,16.280321623,16.296654952,291072,32768,32768
prefix,B64prefix9/equality_mismatch0,4096,918273,3,2.013929467,2.012856333,2.01930538,291072,32768,0
prefix,B64prefix9/equality_mismatch7,4096,918273,3,2.017321737,2.013085616,2.045515951,291072,32768,0
prefix,B64prefix9/equality_mismatch8,4096,918273,3,2.015719966,2.012963546,2.028585876,291072,32768,0
prefix,B64prefix9/equality_mismatch15,4096,918273,3,3.952494303,3.946670532,3.956184192,291072,32768,32768
prefix,B64prefix9/equality_mismatch16,4096,918273,3,3.490040172,3.486437017,3.512364881,291072,32768,32768
prefix,B64prefix9/equality_mismatch17,4096,918273,3,2.390882015,2.37591671,2.420416404,291072,32768,8192
prefix,B64prefix9/update_raw,4096,918273,3,0.974866442,0.974401875,0.977837218,291072,32768,0
prefix,B64prefix9/update_tuplepack_effects,4096,918273,3,3.190786997,3.063309326,3.281046766,291072,32768,0
prefix,C64pad/scalar_raw,4096,918273,3,0.4039808,0.403920169,0.404689198,295168,32768,0
prefix,C64pad/scalar_tuplepack,4096,918273,3,1.314676833,1.314561836,1.315046843,295168,32768,0
prefix,C64pad/full_string_rare,4096,918273,3,8.270927635,8.252511514,8.280110127,295168,32768,32768
prefix,C64pad/all_fields,4096,918273,3,16.331965396,16.32790174,16.333642257,295168,32768,32768
prefix,C64pad/equality_mismatch0,4096,918273,3,2.01105419,2.010097905,2.012229719,295168,32768,0
prefix,C64pad/equality_mismatch7,4096,918273,3,2.013569882,2.013489171,2.027933487,295168,32768,0
prefix,C64pad/equality_mismatch8,4096,918273,3,3.93053182,3.907445207,3.956025735,295168,32768,32768
