case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
D_prefix_plane/scalar_raw,262144,262144,712367,0,2.572128042,19136640,0,17611548396101175,15
D_prefix_plane/scalar_raw,262144,262144,712367,1,2.534021139,19136640,0,18785651622507920,16
D_prefix_plane/scalar_raw,262144,262144,712367,2,2.666761780,19136640,0,17611548396101175,15
D_prefix_plane/scalar_tuplepack,262144,262144,712367,0,4.063299179,19136640,0,11741032264067450,10
D_prefix_plane/scalar_tuplepack,262144,262144,712367,1,4.053419113,19136640,0,11741032264067450,10
D_prefix_plane/scalar_tuplepack,262144,262144,712367,2,4.024906540,19136640,0,11741032264067450,10
D_prefix_plane/full_string_rare,262144,262144,712367,0,49.609539032,19136640,262144,4581009957,1
D_prefix_plane/full_string_rare,262144,262144,712367,1,50.249935150,19136640,262144,4581009957,1
D_prefix_plane/full_string_rare,262144,262144,712367,2,50.884414673,19136640,262144,4581009957,1
D_prefix_plane/all_fields,262144,262144,712367,0,62.234680176,19136640,262144,1174158151457770,1
D_prefix_plane/all_fields,262144,262144,712367,1,60.557369232,19136640,262144,1174158151457770,1
D_prefix_plane/all_fields,262144,262144,712367,2,61.320381165,19136640,262144,1174158151457770,1
D_prefix_plane/equality_mismatch0,262144,262144,712367,0,3.595574812,19136640,0,0,11
D_prefix_plane/equality_mismatch0,262144,262144,712367,1,3.549411427,19136640,0,0,11
D_prefix_plane/equality_mismatch0,262144,262144,712367,2,3.575617357,19136640,0,0,11
D_prefix_plane/equality_mismatch7,262144,262144,712367,0,3.558071136,19136640,0,0,11
D_prefix_plane/equality_mismatch7,262144,262144,712367,1,3.581264843,19136640,0,0,11
D_prefix_plane/equality_mismatch7,262144,262144,712367,2,3.558189045,19136640,0,0,11
D_prefix_plane/equality_mismatch8,262144,262144,712367,0,17.147495270,19136640,262144,0,3
D_prefix_plane/equality_mismatch8,262144,262144,712367,1,15.976228078,19136640,262144,0,3
D_prefix_plane/equality_mismatch8,262144,262144,712367,2,15.983388265,19136640,262144,0,3
D_prefix_plane/equality_mismatch15,262144,262144,712367,0,16.286115011,19136640,262144,0,3
D_prefix_plane/equality_mismatch15,262144,262144,712367,1,16.184729258,19136640,262144,0,3
D_prefix_plane/equality_mismatch15,262144,262144,712367,2,16.165142059,19136640,262144,0,3
D_prefix_plane/equality_mismatch16,262144,262144,712367,0,14.153327942,19136640,262144,786432,3
D_prefix_plane/equality_mismatch16,262144,262144,712367,1,13.980808258,19136640,262144,786432,3
D_prefix_plane/equality_mismatch16,262144,262144,712367,2,14.143386841,19136640,262144,786432,3
D_prefix_plane/equality_mismatch17,262144,262144,712367,0,9.482239532,19136640,98304,163840,5
D_prefix_plane/equality_mismatch17,262144,262144,712367,1,9.299051666,19136640,98304,163840,5
D_prefix_plane/equality_mismatch17,262144,262144,712367,2,9.272516632,19136640,98304,163840,5
D_prefix_plane/update_raw,262144,262144,712367,0,4.146981430,19136640,0,2621440,10
D_prefix_plane/update_raw,262144,262144,712367,1,4.142237091,19136640,0,2621440,10
D_prefix_plane/update_raw,262144,262144,712367,2,4.176403427,19136640,0,2621440,10
D_prefix_plane/update_tuplepack_effects,262144,262144,712367,0,5.454493931,19136640,0,1835008,7
D_prefix_plane/update_tuplepack_effects,262144,262144,712367,1,5.379827976,19136640,0,2097152,8
D_prefix_plane/update_tuplepack_effects,262144,262144,712367,2,5.428183079,19136640,0,2097152,8
A63/scalar_raw,262144,262144,712367,0,2.720054881,18612480,0,17611548396101175,15
A63/scalar_raw,262144,262144,712367,1,2.709519196,18612480,0,17611548396101175,15
A63/scalar_raw,262144,262144,712367,2,2.686955007,18612480,0,17611548396101175,15
A63/scalar_tuplepack,262144,262144,712367,0,4.060657883,18612480,0,11741032264067450,10
