case,rows,queries,seed,rep,ns_per_operation,allocated_bytes,conditional_visits,checksum,batches
n8b8stride64_combined/load50_uniform/miss/raw,4096,32768,712367,0,24.130758432,67072,33412,1829587348619264,13
n8b8stride64_combined/load50_uniform/miss/raw,4096,32768,712367,1,24.157322810,67072,33412,1829587348619264,13
n8b8stride64_combined/load50_uniform/miss/raw,4096,32768,712367,2,24.130148081,67072,33412,1829587348619264,13
n8b8stride64_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,0,22.934114729,67072,33412,1970324836974592,14
n8b8stride64_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,1,22.856913975,67072,33412,1970324836974592,14
n8b8stride64_combined/load50_uniform/miss/rawfp_tuplepack,4096,32768,712367,2,22.914962769,67072,33412,1970324836974592,14
n8b8stride64_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,0,29.412003951,67072,33412,1548112371908608,11
n8b8stride64_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,1,29.129294656,67072,33412,1548112371908608,11
n8b8stride64_combined/load50_uniform/miss/seriespack_tuplepack,4096,32768,712367,2,29.115384189,67072,33412,1548112371908608,11
n8b8stride64_combined/load50_uniform/mixed/raw,4096,32768,712367,0,26.201464335,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/raw,4096,32768,712367,1,26.170341492,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/raw,4096,32768,712367,2,26.355471293,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,712367,0,27.507616679,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,712367,1,27.433748881,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/rawfp_tuplepack,4096,32768,712367,2,27.322715759,67072,33219,846069096405984,12
n8b8stride64_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,712367,0,34.275621202,67072,33219,634551822304488,9
n8b8stride64_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,712367,1,34.109018962,67072,33219,634551822304488,9
n8b8stride64_combined/load50_uniform/mixed/seriespack_tuplepack,4096,32768,712367,2,34.093519423,67072,33219,634551822304488,9
