protocol,mtu,bytes,a,b,a_name,b_name,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,transmitted,lost,measured_retrans
icmp,1500,56,use1-az1,use1-az2,us-east-1c,us-east-1d,6000,395.0,409.6975,8.248555050229506,473.0,397.0,400.0,405.0,408.0,412.0,418.0,430.0,438.0100000000002,449.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az1,use1-az3,us-east-1c,us-east-1e,6000,756.0,767.969,5.698862956766025,947.0,759.0,761.0,765.0,768.0,770.0,773.0,775.0,781.0,829.0020000000004,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az1,use1-az4,us-east-1c,us-east-1a,6000,317.0,336.85883333333334,8.918664248205681,459.0,322.0,326.0,332.0,335.0,340.0,347.0,353.0,368.0,399.00800000000163,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az1,use1-az5,us-east-1c,us-east-1f,6000,310.0,329.2103333333333,8.66006696792172,425.0,315.0,318.0,323.0,328.0,334.0,339.0,344.0,357.0,397.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az1,use1-az6,us-east-1c,us-east-1b,6000,551.0,571.0136666666667,11.102093491269514,714.0,555.0,558.0,564.0,569.0,575.0,582.1000000000004,590.0,609.0,666.0120000000024,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az2,use1-az3,us-east-1d,us-east-1e,6000,851.0,867.1848333333334,12.531054889309555,961.0,853.0,856.0,861.0,865.0,868.0,874.0,893.0,919.0,933.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az2,use1-az4,us-east-1d,us-east-1a,6000,221.0,235.47266666666667,8.696661402834742,354.0,224.0,226.0,230.0,234.0,239.0,243.10000000000036,249.0,271.0,281.0040000000008,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az2,use1-az5,us-east-1d,us-east-1f,6000,305.0,323.27933333333334,10.582940969104738,434.0,308.0,310.0,316.0,322.0,327.0,337.0,346.0,355.0,383.0020000000004,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az2,use1-az6,us-east-1d,us-east-1b,6000,727.0,740.8838333333333,7.4315098492089,803.0,730.0,733.0,737.0,740.0,743.0,748.0,752.0,771.0,792.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az3,use1-az4,us-east-1e,us-east-1a,6000,730.0,739.7338333333333,5.789788882641193,828.0,732.0,734.0,736.0,739.0,742.0,746.0,749.0,758.0,794.0030000000006,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az3,use1-az5,us-east-1e,us-east-1f,6000,724.0,741.7905,12.408972953069082,911.0,726.0,729.0,734.0,739.0,745.0,758.0,766.0,780.0,847.0080000000016,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az3,use1-az6,us-east-1e,us-east-1b,6000,488.0,499.27916666666664,4.614567437895873,570.0,491.0,493.0,496.0,499.0,502.0,505.0,507.0,512.0,535.0030000000006,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az4,use1-az5,us-east-1a,us-east-1f,6000,331.0,351.01883333333336,14.77537857289018,713.0,336.0,338.0,343.0,347.0,355.0,365.0,374.0,403.02000000000044,487.01100000000224,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az4,use1-az6,us-east-1a,us-east-1b,6000,809.0,825.2818333333333,9.167918882652097,924.0,812.0,814.0,819.0,824.0,829.0,835.0,841.0,857.0,895.0020000000004,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,56,use1-az5,use1-az6,us-east-1f,us-east-1b,6000,642.0,667.5628333333333,63.22153682598113,4730.0,647.0,650.0,658.0,663.0,671.0,689.0,694.0,703.0100000000002,729.0120000000024,0.05,0.03333333333333333,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az1,use1-az2,us-east-1c,us-east-1d,6000,402.0,416.92466666666667,10.720758285784743,489.0,405.0,407.0,411.0,415.0,419.0,424.0,447.0,457.0,468.0010000000002,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az1,use1-az3,us-east-1c,us-east-1e,6000,760.0,770.9476666666667,5.90538690989469,827.0,762.0,764.0,767.0,770.0,773.0,777.0,779.0,794.0100000000002,822.0030000000006,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az1,use1-az4,us-east-1c,us-east-1a,6000,321.0,338.965,11.374405845288505,437.0,324.0,327.0,332.0,336.0,342.0,353.0,362.0,382.0,418.005000000001,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az1,use1-az5,us-east-1c,us-east-1f,6000,316.0,334.3755,13.928645534174048,679.0,320.0,323.0,328.0,333.0,338.0,343.0,348.0500000000002,378.0,541.0090000000018,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az1,use1-az6,us-east-1c,us-east-1b,6000,561.0,577.8905,11.806516975100376,776.0,565.0,567.0,571.0,575.0,580.0,590.0,600.0,623.0,680.0070000000014,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az2,use1-az3,us-east-1d,us-east-1e,6000,853.0,867.8078333333333,9.517732851834458,955.0,856.0,858.0,862.0,866.0,871.0,876.0,882.0,913.0,921.0030000000006,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az2,use1-az4,us-east-1d,us-east-1a,6000,223.0,238.73366666666666,7.976469554605945,330.0,227.0,229.0,234.0,238.0,242.0,246.0,250.0,275.0100000000002,290.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az2,use1-az5,us-east-1d,us-east-1f,6000,309.0,328.94433333333336,10.544820271372839,463.0,313.0,317.0,323.0,327.0,331.0,339.0,352.0,366.0,418.01000000000204,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az2,use1-az6,us-east-1d,us-east-1b,6000,727.0,742.6356666666667,7.832853538497676,802.0,730.0,733.0,738.0,741.0,746.0,751.0,757.0,773.0,787.0010000000002,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az3,use1-az4,us-east-1e,us-east-1a,6000,736.0,748.5388333333333,6.806724026447835,833.0,740.0,742.0,745.0,747.0,750.0,755.0,761.0,779.0,797.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az3,use1-az5,us-east-1e,us-east-1f,6000,728.0,746.2705,14.223278914629121,1060.0,730.0,733.0,739.0,743.0,748.0,768.0,774.0,781.0,871.0220000000045,0.03333333333333333,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az3,use1-az6,us-east-1e,us-east-1b,6000,487.0,503.768,7.148345449589483,681.0,493.0,495.0,500.0,503.0,506.0,510.0,514.0,532.0,553.0020000000004,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az4,use1-az5,us-east-1a,us-east-1f,6000,332.0,351.67533333333336,11.435147203055829,610.0,336.0,339.0,345.0,350.0,356.0,363.0,370.0,394.0,429.01000000000204,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az4,use1-az6,us-east-1a,us-east-1b,6000,813.0,830.1431666666666,9.309153379276168,898.0,816.99,819.0,824.0,829.0,833.0,841.0,848.0,866.0,891.0,0.0,0.0,0.0,0.0,6000,0,0
icmp,1500,1472,use1-az5,use1-az6,us-east-1f,us-east-1b,6000,645.0,664.9946666666667,12.539974942381486,954.0,650.0,653.0,658.0,663.0,668.0,674.0,681.0500000000002,710.0,794.0420000000086,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az1,use1-az2,us-east-1c,us-east-1d,6000,396.0,411.69166666666666,15.02993448274328,1350.0,400.0,402.0,407.0,411.0,415.0,419.0,422.0,446.0,470.0020000000004,0.016666666666666666,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az1,use1-az3,us-east-1c,us-east-1e,6000,755.0,768.4871666666667,8.684881613406649,832.0,758.0,759.0,764.0,767.0,771.0,774.0,778.0,809.0,815.0010000000002,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az1,use1-az4,us-east-1c,us-east-1a,6000,318.0,334.8648333333333,8.278278603604067,412.0,321.0,324.0,330.0,334.0,338.0,344.0,348.0500000000002,364.0,393.0040000000008,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az1,use1-az5,us-east-1c,us-east-1f,6000,314.0,335.22333333333336,12.186431890517513,601.0,319.0,323.0,328.0,333.0,339.0,348.0,356.0,378.0100000000002,411.0010000000002,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az1,use1-az6,us-east-1c,us-east-1b,6000,556.0,573.3415,18.366823652535388,972.0,559.0,562.0,567.0,570.0,575.0,583.0,591.0500000000002,622.0100000000002,885.0090000000018,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az2,use1-az3,us-east-1d,us-east-1e,6000,851.0,868.1198333333333,11.758704859474202,968.0,857.0,860.0,863.0,865.0,868.0,874.0,904.0,910.0,922.0010000000002,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az2,use1-az4,us-east-1d,us-east-1a,6000,221.0,236.00016666666667,8.51922335890361,318.0,224.0,226.0,232.0,235.0,238.0,242.0,246.0,277.0,288.00900000000183,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az2,use1-az5,us-east-1d,us-east-1f,6000,308.0,329.02116666666666,12.1506262652955,654.0,314.0,318.0,323.0,327.0,332.0,338.0,349.0,368.0,410.01200000000244,0.0,0.0,0.0,0.0,6000,0,0
icmp,9001,56,use1-az2,use1-az6,us-east-1d,us-east-1b,6000,727.0,740.5576666666667,6.378427801756654,812.0,731.0,733.0,736.0,739.0,744.0,749.0,752.0,759.0,781.0080000000016,0.0,0.0,0.0,0.0,6000,0,0
