mtu,bytes,azs,leader,followers,healthy_p50_lower_us,healthy_p50_independent_us,healthy_p50_upper_us,one_follower_down_worst_p50_us,healthy_p99_lower_us,healthy_p99_independent_us,healthy_p99_upper_us,one_follower_down_worst_p99_us,healthy_p999_lower_us,healthy_p999_independent_us,healthy_p999_upper_us,one_follower_down_worst_p999_us
1500,64,"use1-az1,use1-az5,use1-az6",use1-az5,"use1-az1,use1-az6",287.699,287.699,287.699,653.9,345.783,345.783,345.783,677.268,383.666,383.666,383.666,687.298
1500,64,"use1-az1,use1-az5,use1-az6",use1-az6,"use1-az1,use1-az5",596.912,596.912,596.912,654.694,633.631,637.891,638.501,681.016,636.138,658.099,672.631,698.96
1500,64,"use1-az2,use1-az3,use1-az4",use1-az2,"use1-az3,use1-az4",214.894,214.894,214.894,823.52,239.168,239.168,239.168,855.141,265.982,265.982,265.982,862.057
1500,64,"use1-az2,use1-az3,use1-az4",use1-az3,"use1-az2,use1-az4",730.151,730.151,730.151,845.13,749.366,749.366,749.366,890.737,772.191,772.191,772.191,933.463
1500,64,"use1-az2,use1-az3,use1-az4",use1-az4,"use1-az2,use1-az3",213.912,213.912,213.912,658.643,239.896,239.896,239.896,748.789,275.44,275.44,275.44,781.686
1500,64,"use1-az2,use1-az3,use1-az5",use1-az2,"use1-az3,use1-az5",343.52,343.52,343.52,823.52,474.755,474.755,474.755,855.141,492.664,492.664,492.664,862.057
1500,64,"use1-az2,use1-az3,use1-az5",use1-az3,"use1-az2,use1-az5",508.784,508.784,508.784,845.13,732.105,732.105,732.105,890.737,743.789,743.789,743.789,933.463
1500,64,"use1-az2,use1-az3,use1-az5",use1-az5,"use1-az2,use1-az3",330.772,330.772,330.772,600.483,356.207,356.207,356.207,732.735,369.971,369.971,369.971,745.622
1500,64,"use1-az2,use1-az3,use1-az6",use1-az2,"use1-az3,use1-az6",797.137,799.978,823.52,885.34,826.996,853.696,855.141,1271.707,827.225,860.922,862.057,1284.638
1500,64,"use1-az2,use1-az3,use1-az6",use1-az3,"use1-az2,use1-az6",446.743,446.743,446.743,845.13,479.272,479.272,479.272,890.737,505.537,505.537,505.537,933.463
1500,64,"use1-az2,use1-az3,use1-az6",use1-az6,"use1-az2,use1-az3",445.282,445.282,445.282,977.301,480.781,480.781,480.781,1001.192,524.539,524.539,524.539,1015.854
1500,64,"use1-az2,use1-az4,use1-az5",use1-az2,"use1-az4,use1-az5",214.894,214.894,214.894,343.52,239.168,239.168,239.168,474.755,265.982,265.982,265.982,492.664
1500,64,"use1-az2,use1-az4,use1-az5",use1-az4,"use1-az2,use1-az5",213.912,213.912,213.912,357.352,239.896,239.896,239.896,388.466,275.44,275.44,275.44,449.84
1500,64,"use1-az2,use1-az4,use1-az5",use1-az5,"use1-az2,use1-az4",309.582,310.285,311.563,330.772,326.588,349.917,356.207,374.756,326.843,358.008,369.971,394.509
1500,64,"use1-az2,use1-az4,use1-az6",use1-az2,"use1-az4,use1-az6",214.894,214.894,214.894,885.34,239.168,239.168,239.168,1271.707,265.982,265.982,265.982,1284.638
1500,64,"use1-az2,use1-az4,use1-az6",use1-az4,"use1-az2,use1-az6",213.912,213.912,213.912,782.237,239.896,239.896,239.896,831.47,275.44,275.44,275.44,987.379
1500,64,"use1-az2,use1-az4,use1-az6",use1-az6,"use1-az2,use1-az4",774.804,777.169,789.055,977.301,818.22,862.994,866.78,1001.192,834.591,891.282,902.099,1015.854
1500,64,"use1-az2,use1-az5,use1-az6",use1-az2,"use1-az5,use1-az6",343.52,343.52,343.52,885.34,474.755,474.755,474.755,1271.707,492.664,492.664,492.664,1284.638
1500,64,"use1-az2,use1-az5,use1-az6",use1-az5,"use1-az2,use1-az6",330.772,330.772,330.772,653.9,356.207,356.207,356.207,677.268,369.971,369.971,369.971,687.298
1500,64,"use1-az2,use1-az5,use1-az6",use1-az6,"use1-az2,use1-az5",654.694,654.694,654.694,977.301,681.016,681.016,681.016,1001.192,698.96,698.96,698.96,1015.854
1500,64,"use1-az3,use1-az4,use1-az5",use1-az3,"use1-az4,use1-az5",508.784,508.784,508.784,730.151,711.391,729.045,732.105,749.366,712.755,735.275,743.789,772.191
