case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/neon/local/k29/h0/u64/get16,calico,resident/calico/local/k29/h0/u64/get16,9.413361785066375,23.70513835342975,0.39710216598269354,9.20891452949127,23.766429735865636,0.3874757223460538,False,True
resident/series/neon/local/k30/h0/u64/get16,calico,resident/calico/local/k30/h0/u64/get16,9.344809047274193,22.16268051209373,0.4216461561215449,9.136461527650399,22.196320206925392,0.41162054982427965,False,True
resident/series/neon/local/k31/h0/u64/get16,calico,resident/calico/local/k31/h0/u64/get16,9.295529164883579,23.133131145907043,0.4018275393094913,9.20504460878993,23.13024539946322,0.3979657132822097,False,True
resident/series/neon/local/k32/h0/u64/get16,calico,resident/calico/local/k32/h0/u64/get16,4.13374619059774,11.642152923703323,0.35506716134792116,4.045968495999965,11.623053920660332,0.34809857405962236,False,True
resident/series/neon/local/k33/h0/u64/get16,calico,resident/calico/local/k33/h0/u64/get16,7.27345088848476,16.71729836558614,0.4350853068135534,7.16765225322471,16.71435999358512,0.4288319897367064,False,True
resident/series/neon/local/k34/h0/u64/get16,calico,resident/calico/local/k34/h0/u64/get16,7.459655740429838,18.32417088893084,0.4070937662416161,7.425679822265261,18.327288758889537,0.40517066762881015,False,True
resident/series/neon/local/k35/h0/u64/get16,calico,resident/calico/local/k35/h0/u64/get16,8.59892537053209,18.801221342986725,0.45735993495654903,8.526953244890343,18.82095786093604,0.4530562848019821,False,True
resident/series/neon/local/k36/h0/u64/get16,calico,resident/calico/local/k36/h0/u64/get16,7.522810029502753,21.772616621377416,0.34551703914707665,7.601050251096032,21.78132088581918,0.3489710422495418,False,True
resident/series/neon/local/k37/h0/u64/get16,calico,resident/calico/local/k37/h0/u64/get16,8.688834306628738,22.069493502857664,0.39370338542221944,8.665416585205964,22.080585234564197,0.3924450594561876,False,True
resident/series/neon/local/k38/h0/u64/get16,calico,resident/calico/local/k38/h0/u64/get16,8.740817161823218,22.652683294128142,0.38586233022950295,8.72285650022748,22.63407541078528,0.3853860315438811,False,True
resident/series/neon/local/k39/h0/u64/get16,calico,resident/calico/local/k39/h0/u64/get16,8.60402942098464,22.602046864194104,0.38067478899953267,8.568122564585522,22.400514340584973,0.38249668888458976,False,True
resident/series/neon/local/k40/h0/u64/get16,calico,resident/calico/local/k40/h0/u64/get16,4.949209547260693,15.60322744769002,0.3171913992699888,4.552292740048426,15.70315896746703,0.2898966220414392,False,True
