case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
bulk/series/neon/local/k1/h0/u64/encode,calico,bulk/calico/local/k1/h0/u64/encode,0.09385197881142768,0.1001933913072199,0.9367082757349959,0.09572526957327882,0.10045323415544616,0.9529336748396665,False,True
bulk/series/neon/local/k1/h0/u64/decode,calico,bulk/calico/local/k1/h0/u64/decode,0.1426906907281827,0.3158978566609644,0.4516988251722286,0.1355611501692162,0.31595408212508236,0.42905332717160205,False,True
bulk/series/neon/local/k1/h0/u8/encode,predecessor,bulk/predecessor/local/k1/h0/u8/encode,0.018577215406411766,0.016187752235287185,1.1476093244073666,0.018762150846817816,0.016189332977619902,1.158920560393351,True,False
bulk/series/neon/local/k1/h0/u8/encode,calico,bulk/calico/local/k1/h0/u8/encode,0.018577215406411766,0.01577404911202411,1.17770746588147,0.018762150846817816,0.01577768104649843,1.1891576963385082,True,False
bulk/series/neon/local/k1/h0/u8/decode,predecessor,bulk/predecessor/local/k1/h0/u8/decode,0.024023566659670773,0.03055215468219053,0.7863133356572914,0.02386151160112075,0.030541162033345864,0.7812902329999085,False,True
bulk/series/neon/local/k1/h0/u8/decode,calico,bulk/calico/local/k1/h0/u8/decode,0.024023566659670773,0.045625155952067835,0.5265421269991729,0.02386151160112075,0.04562788892374595,0.5229589219216011,False,True
bulk/series/neon/striped/k1/h0/u64/encode,calico,bulk/calico/striped/k1/h0/u64/encode,0.08892076422406761,0.08937790907597923,0.9948852590462481,0.0890522599053021,0.08908223780082877,0.9996634806638592,False,False
bulk/series/neon/striped/k1/h0/u64/decode,calico,bulk/calico/striped/k1/h0/u64/decode,0.12109688726544279,0.28457736065201505,0.42553240000535975,0.12471975246657171,0.28433302096166246,0.4386397051061758,False,True
bulk/series/neon/striped/k1/h0/u8/encode,predecessor,bulk/predecessor/striped/k1/h0/u8/encode,0.011794049685900622,0.011181430013692276,1.0547890271153295,0.011788751528948831,0.011180915091810514,1.0543637468084817,True,False
bulk/series/neon/striped/k1/h0/u8/encode,calico,bulk/calico/striped/k1/h0/u8/encode,0.011794049685900622,0.01121063248846264,1.052041416756673,0.011788751528948831,0.011209258416411112,1.05169772084916,True,False
bulk/series/neon/striped/k1/h0/u8/decode,predecessor,bulk/predecessor/striped/k1/h0/u8/decode,0.01813629386657008,0.015869267998431615,1.142856360379226,0.01754751839825512,0.01587001521503273,1.1057026827317338,True,False
bulk/series/neon/striped/k1/h0/u8/decode,calico,bulk/calico/striped/k1/h0/u8/decode,0.01813629386657008,0.015871875220203197,1.1426686270494695,0.01754751839825512,0.015870132667604432,1.1056944995850426,True,False
bulk/series/neon/local/k6/h0/u64/encode,calico,bulk/calico/local/k6/h0/u64/encode,0.29144058765431224,0.2728511390273326,1.068130368424511,0.2914527773023189,0.2728385939506488,1.0682241580347576,True,False
bulk/series/neon/local/k6/h0/u64/decode,calico,bulk/calico/local/k6/h0/u64/decode,0.3558107574329651,0.45796234930759117,0.7769432530227156,0.37095214992600645,0.4607008641624567,0.8051909140660908,False,True
bulk/series/neon/local/k6/h0/u8/encode,predecessor,bulk/predecessor/local/k6/h0/u8/encode,0.17288174265892503,0.17271533770702546,1.0009634636628615,0.17286320342989642,0.17270567985978635,1.0009120925857098,True,False
bulk/series/neon/local/k6/h0/u8/encode,calico,bulk/calico/local/k6/h0/u8/encode,0.17288174265892503,0.18524202125744876,0.9332749744651865,0.17286320342989642,0.18522673769673154,0.9332518921373127,False,True
bulk/series/neon/local/k6/h0/u8/decode,predecessor,bulk/predecessor/local/k6/h0/u8/decode,0.16821823577450465,0.16807200291778368,1.0008700607726588,0.16578725391231375,0.168074206671328,0.9863931961702701,False,True
bulk/series/neon/local/k6/h0/u8/decode,calico,bulk/calico/local/k6/h0/u8/decode,0.16821823577450465,0.1878977999932031,0.8952645309343147,0.16578725391231375,0.18789783185722184,0.8823265935196672,False,True
