dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
census1881,0,256,local16,inline,5,7383.49,7376.16,7403.99,32988.02392578125,0.9153679357593767,1.0
census1881,0,256,local16,split,5,7767.55,7758.59,7774.68,34709.7421875,0.8701083353180861,1.0520160520295958
census1881,0,256,scan128,inline,5,7352.15,7334.02,7367.29,32779.77734375,0.919269873438382,1.0
census1881,0,256,scan128,split,5,7742.21,7734.7,7750.61,34580.255859375,0.872956171429088,1.053053868596261
census1881,3,37,direct32,inline,5,1021.47,1020.42,1024.57,4561.519836425781,1.0,1.0
census1881,3,37,direct32,split,5,1135.62,1135.55,1138.98,5078.457763671875,0.8994822211655308,1.1117507122088752
census1881,3,37,local16,inline,5,1096.02,1094.53,1098.42,4892.9361572265625,0.9319811682268572,1.0
census1881,3,37,local16,split,5,1154.78,1151.75,2388.86,5151.722412109375,0.884558097646305,1.0536121603620372
census1881,3,37,scan128,inline,5,1158.75,1088.9,2186.3,4854.132019042969,0.8815275080906149,1.0
census1881,3,37,scan128,split,5,1149.75,1146.82,2180.13,5135.12841796875,0.8884279191128507,0.9922330097087378
census1881,15,18,direct32,inline,5,491.076,489.283,492.556,2192.443634033203,1.0,1.0
census1881,15,18,direct32,split,5,538.965,538.533,539.98,2408.107696533203,0.9111463638640728,1.0975185103731397
census1881,15,18,local16,inline,5,532.063,530.668,533.335,2374.174041748047,0.9229658893777617,1.0
census1881,15,18,local16,split,5,556.129,554.597,557.143,2481.8899536132812,0.8830253412427692,1.0452314857451093
census1881,15,18,scan128,inline,5,526.83,526.306,529.909,2353.5984497070312,0.9321337053698536,1.0
census1881,15,18,scan128,split,5,557.432,551.967,566.905,2464.417236328125,0.8809612652305573,1.0580870489531726
census1881,255,1,direct32,inline,5,43.3366,43.0792,43.6147,192.88951873779297,1.0,1.0
census1881,255,1,direct32,split,5,43.1602,42.9989,43.5276,192.7524757385254,1.0040870987622854,0.9959295376194719
census1881,255,1,local16,inline,5,58.7382,58.6455,59.0012,262.14828872680664,0.7377924417159532,1.0
census1881,255,1,local16,split,5,58.9258,58.8059,59.429,263.1552391052246,0.7354435578303561,1.0031938329741124
census1881,255,1,scan128,inline,5,58.0195,57.8855,58.091,258.94945526123047,0.7469316350537318,1.0
census1881,255,1,scan128,split,5,58.2907,58.116,58.3855,260.45901107788086,0.7434565033530219,1.0046742905402495
census1881_srt,0,256,direct32,inline,5,6750.74,6737.14,6770.39,30166.5087890625,1.0,1.0
census1881_srt,0,256,direct32,split,5,7672.18,7655.52,7672.83,34241.74365234375,0.8798985425263744,1.1364946657699748
census1881_srt,0,256,local16,inline,5,7373.65,7355.37,7385.86,32902.3525390625,0.9155221633790592,1.0
census1881_srt,0,256,local16,split,5,7766.96,7762.04,7788.19,34700.3515625,0.8691611647285424,1.0533399334115399
census1881_srt,0,256,scan128,inline,5,7322.48,7317.21,7342.77,32706.05224609375,0.921919895991522,1.0
census1881_srt,0,256,scan128,split,5,7745.03,7738.0,7766.52,34566.0361328125,0.8716221886809993,1.0577058592170958
census1881_srt,3,37,direct32,inline,5,1022.8,1021.4,1023.92,4561.926696777344,1.0,1.0
census1881_srt,3,37,direct32,split,5,1136.63,1135.43,1137.43,5078.45166015625,0.8998530744393513,1.111292530308956
census1881_srt,3,37,local16,inline,5,1091.51,1090.57,1097.37,4872.671813964844,0.9370505080118368,1.0
census1881_srt,3,37,local16,split,5,1153.12,1151.67,1154.83,5146.744079589844,0.8869848758151797,1.05644474168812
census1881_srt,3,37,scan128,inline,5,1082.24,1081.13,1085.42,4838.5267333984375,0.9450768775872265,1.0
census1881_srt,3,37,scan128,split,5,1152.14,1148.91,1153.17,5133.190246582031,0.8877393372333222,1.0645882613837967
census1881_srt,15,18,direct32,inline,5,490.377,490.102,492.989,2192.1748046875,1.0,1.0
census1881_srt,15,18,direct32,split,5,539.24,538.373,539.452,2407.6924743652344,0.9093854313478229,1.0996437434871538
census1881_srt,15,18,local16,inline,5,528.785,528.315,529.904,2365.1891174316406,0.9273655644543625,1.0
census1881_srt,15,18,local16,split,5,555.56,554.531,556.474,2479.7651977539062,0.8826715386276911,1.0506349461501365
census1881_srt,15,18,scan128,inline,5,525.195,524.895,527.009,2345.6524963378906,0.9337046239968011,1.0
census1881_srt,15,18,scan128,split,5,551.529,550.303,552.843,2461.5091247558594,0.8891227841147066,1.0501413760603204
census1881_srt,255,1,direct32,inline,5,43.375,43.267,43.5176,193.75310134887695,1.0,1.0
census1881_srt,255,1,direct32,split,5,43.1798,42.943,43.4764,193.16012573242188,1.0045206323327112,0.995499711815562
census1881_srt,255,1,local16,inline,5,58.7385,58.5885,59.143,262.15948486328125,0.7384424185159648,1.0
census1881_srt,255,1,local16,split,5,58.9584,58.8887,59.5403,263.4112014770508,0.7356882140627968,1.0037437115350238
census1881_srt,255,1,scan128,inline,5,57.9621,57.8718,58.3275,258.84128189086914,0.7483338250339446,1.0
census1881_srt,255,1,scan128,split,5,58.6267,58.5097,58.8313,261.7378807067871,0.7398506141399738,1.0114661132015577
dimension_003,0,256,direct32,inline,5,6765.55,6755.11,6774.0,30170.0546875,1.0,1.0
dimension_003,0,256,direct32,split,5,7659.58,7654.74,7682.43,34242.53125,0.8832795009648049,1.1321444671903984
dimension_003,0,256,local16,inline,5,7357.73,7353.41,7378.42,32890.93115234375,0.9195159376601207,1.0
dimension_003,0,256,local16,split,5,7775.68,7766.12,7784.98,34696.71826171875,0.8700911045722046,1.0568042045576558
dimension_003,0,256,scan128,inline,5,7334.53,7329.73,7353.78,32704.21484375,0.922424477096692,1.0
dimension_003,0,256,scan128,split,5,7746.37,7727.43,7766.06,34560.5390625,0.8733832750049378,1.0561508372042927
dimension_003,3,37,direct32,inline,5,1022.69,1020.56,1024.3,4560.8338623046875,1.0,1.0
dimension_003,3,37,direct32,split,5,1137.37,1135.81,1141.6,5078.331115722656,0.899170894256047,1.1121356422767406
dimension_003,3,37,local16,inline,5,1091.82,1090.31,1095.45,4872.5501708984375,0.9366837024417946,1.0
dimension_003,3,37,local16,split,5,1151.69,1150.5,1152.37,5146.3800048828125,0.8879906919396713,1.054835046069865
dimension_003,3,37,scan128,inline,5,1083.97,1083.06,1086.28,4838.484680175781,0.9434670701218668,1.0
dimension_003,3,37,scan128,split,5,1149.82,1148.81,1150.14,5132.549133300781,0.8894348680663061,1.060748913715324
dimension_003,15,18,direct32,inline,5,490.847,489.978,491.553,2192.361846923828,1.0,1.0
dimension_003,15,18,direct32,split,5,539.475,538.149,539.516,2408.214141845703,0.9098605125353352,1.0990695675027047
dimension_003,15,18,local16,inline,5,529.499,529.127,530.438,2365.144500732422,0.9270026950003682,1.0
dimension_003,15,18,local16,split,5,556.104,554.476,556.691,2479.6168212890625,0.8826532447168155,1.0502456095290076
dimension_003,15,18,scan128,inline,5,525.718,524.739,527.113,2345.842498779297,0.9336697621158112,1.0
dimension_003,15,18,scan128,split,5,551.729,550.491,552.901,2462.675018310547,0.889652347438688,1.0494770960857343
dimension_003,255,1,direct32,inline,5,43.4099,43.2827,43.5212,193.75997161865234,1.0,1.0
dimension_003,255,1,direct32,split,5,43.1393,43.0235,43.5514,192.30914306640625,1.0062727026168714,0.9937663989090045
dimension_003,255,1,local16,inline,5,58.6878,58.6333,58.8425,262.2205009460449,0.7396750261553509,1.0
dimension_003,255,1,local16,split,5,58.9897,58.9203,59.0719,263.40894317626953,0.7358894857915874,1.0051441696570667
dimension_003,255,1,scan128,inline,5,58.0391,57.998,58.0578,259.1624870300293,0.7479423354256011,1.0
dimension_003,255,1,scan128,split,5,58.5135,58.3851,58.891,261.2550849914551,0.7418783699488153,1.0081738000761555
