case,control,control_case,before_over_control,after_over_control,before_control,after_control
bulk/series/avx2/local/k1/h0/u64/encode,calico,bulk/calico/local/k1/h0/u64/encode,0.731551125447614,0.746190978538917,0.05828695676711467,0.05815312379512724
bulk/series/avx2/local/k1/h0/u64/decode,calico,bulk/calico/local/k1/h0/u64/decode,0.8442011408290984,0.8342842590960083,0.06752236994100484,0.06777922763550989
bulk/series/avx2/local/k1/h0/u8/encode,predecessor,bulk/predecessor/local/k1/h0/u8/encode,3.7551917823404573,3.5081045624287066,0.0029075053116836107,0.00312418382099305
bulk/series/avx2/local/k1/h0/u8/encode,calico,bulk/calico/local/k1/h0/u8/encode,3.8306625194187607,3.786905166818104,0.002850222382733467,0.002894174275164284
bulk/series/avx2/local/k1/h0/u8/decode,predecessor,bulk/predecessor/local/k1/h0/u8/decode,2.1839375182403775,2.0032551842809347,0.004954184441472616,0.005273357105065394
bulk/series/avx2/local/k1/h0/u8/decode,calico,bulk/calico/local/k1/h0/u8/decode,2.0691469391885025,2.0392386027729303,0.005229028963142724,0.005180305995052431
bulk/series/avx512/local/k1/h0/u64/encode,calico,bulk/calico/local/k1/h0/u64/encode,0.7349372715898681,0.7404779663054458,0.05828695676711467,0.05815312379512724
bulk/series/avx512/local/k1/h0/u64/decode,calico,bulk/calico/local/k1/h0/u64/decode,0.6657073736243267,0.6347654315094523,0.06752236994100484,0.06777922763550989
bulk/series/avx512/local/k1/h0/u8/encode,predecessor,bulk/predecessor/local/k1/h0/u8/encode,1.560548576644733,1.389917147788505,0.0029075053116836107,0.00312418382099305
bulk/series/avx512/local/k1/h0/u8/encode,calico,bulk/calico/local/k1/h0/u8/encode,1.5919120217501836,1.500378433636366,0.002850222382733467,0.002894174275164284
bulk/series/avx512/local/k1/h0/u8/decode,predecessor,bulk/predecessor/local/k1/h0/u8/decode,1.179199302388196,0.9833191452370466,0.004954184441472616,0.005273357105065394
bulk/series/avx512/local/k1/h0/u8/decode,calico,bulk/calico/local/k1/h0/u8/decode,1.1172190627484786,1.000981989487694,0.005229028963142724,0.005180305995052431
bulk/series/avx2/striped/k1/h0/u64/encode,calico,bulk/calico/striped/k1/h0/u64/encode,1.0055890211353775,1.0161146131093575,0.0573971864516466,0.057487559626223886
bulk/series/avx2/striped/k1/h0/u64/decode,calico,bulk/calico/striped/k1/h0/u64/decode,0.9419547759246023,0.9430472688126058,0.06394783116265408,0.06273830523842064
bulk/series/avx2/striped/k1/h0/u8/encode,predecessor,bulk/predecessor/striped/k1/h0/u8/encode,0.9723740581650004,0.9606636917673843,0.004953558703772853,0.004950821991062048
bulk/series/avx2/striped/k1/h0/u8/encode,calico,bulk/calico/striped/k1/h0/u8/encode,0.9707245729868262,0.958468486842911,0.004961975943727898,0.004962160985472567
bulk/series/avx2/striped/k1/h0/u8/decode,predecessor,bulk/predecessor/striped/k1/h0/u8/decode,1.1821115220546357,1.0513426415996434,0.003711318158674843,0.0037218058532405315
bulk/series/avx2/striped/k1/h0/u8/decode,calico,bulk/calico/striped/k1/h0/u8/decode,1.182947814192288,1.0537503794843468,0.003708694419775131,0.003713301815541638
bulk/series/avx512/striped/k1/h0/u64/encode,calico,bulk/calico/striped/k1/h0/u64/encode,1.0292581637689142,1.0249567329359954,0.0573971864516466,0.057487559626223886
bulk/series/avx512/striped/k1/h0/u64/decode,calico,bulk/calico/striped/k1/h0/u64/decode,0.8683593735242635,0.8753279746756065,0.06394783116265408,0.06273830523842064
bulk/series/avx512/striped/k1/h0/u8/encode,predecessor,bulk/predecessor/striped/k1/h0/u8/encode,0.9739585316613704,0.9611937709863064,0.004953558703772853,0.004950821991062048
bulk/series/avx512/striped/k1/h0/u8/encode,calico,bulk/calico/striped/k1/h0/u8/encode,0.9723063586641151,0.9589973547820464,0.004961975943727898,0.004962160985472567
bulk/series/avx512/striped/k1/h0/u8/decode,predecessor,bulk/predecessor/striped/k1/h0/u8/decode,1.1824902766141634,1.0484584725189507,0.003711318158674843,0.0037218058532405315
bulk/series/avx512/striped/k1/h0/u8/decode,calico,bulk/calico/striped/k1/h0/u8/decode,1.1833268367040808,1.0508596052086523,0.003708694419775131,0.003713301815541638
