case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/avx2/local/k1/h0/u64/get16,admitted,resident/series/avx2/local/k1/h0/u64/admitted-region/get16,8.843352023330006,1.5019399193550735,5.887953245910997,2.7430994240411524,1.4970853333167424,1.832293298848842,True,False
resident/series/avx2/local/k1/h0/u64/get16,raw,resident/series/avx2/local/k1/h0/u64/raw-dense/get16,8.843352023330006,1.3938680966269823,6.344468350147341,2.7430994240411524,1.6118038331337747,1.701881685383412,True,False
resident/series/avx2/local/k1/h0/u64/get16,predecessor,resident/predecessor/local/k1/h0/u64/get16,8.843352023330006,1.3435068682100644,6.582290148700082,2.7430994240411524,1.2844785627753355,2.1355743128279365,True,False
resident/series/avx2/local/k1/h0/u64/get16,calico,resident/calico/local/k1/h0/u64/get16,8.843352023330006,1.8207122148067265,4.857083921013158,2.7430994240411524,1.8263763483368076,1.5019354726856597,True,False
resident/series/avx512/local/k1/h0/u64/get16,admitted,resident/series/avx512/local/k1/h0/u64/admitted-region/get16,8.703720009505467,1.6147107071928648,5.3902658666558745,2.538317934621735,1.6132725569498187,1.5733968347052778,True,False
resident/series/avx512/local/k1/h0/u64/get16,raw,resident/series/avx512/local/k1/h0/u64/raw-dense/get16,8.703720009505467,1.6088511150811462,5.409897738776452,2.538317934621735,1.3852542046632137,1.8323842122817138,True,False
resident/series/avx512/local/k1/h0/u64/get16,predecessor,resident/predecessor/local/k1/h0/u64/get16,8.703720009505467,1.3435068682100644,6.478359147580178,2.538317934621735,1.2844785627753355,1.9761465922305976,True,False
resident/series/avx512/local/k1/h0/u64/get16,calico,resident/calico/local/k1/h0/u64/get16,8.703720009505467,1.8207122148067265,4.78039304549258,2.538317934621735,1.8263763483368076,1.3898109975708226,True,False
resident/series/avx2/striped/k1/h0/u64/get16,admitted,resident/series/avx2/striped/k1/h0/u64/admitted-region/get16,7.999198248838619,1.6156960630259554,4.950930086353819,2.9682367913539016,1.6090706325837592,1.8446901778249887,True,False
resident/series/avx2/striped/k1/h0/u64/get16,raw,resident/series/avx2/striped/k1/h0/u64/raw-dense/get16,7.999198248838619,1.6095733757089872,4.969763025133987,2.9682367913539016,1.404534700431904,2.113323928872066,True,False
resident/series/avx2/striped/k1/h0/u64/get16,predecessor,resident/predecessor/striped/k1/h0/u64/get16,7.999198248838619,1.5070416809310796,5.3078812285381245,2.9682367913539016,1.6077012033838427,1.8462614726582547,True,False
resident/series/avx2/striped/k1/h0/u64/get16,calico,resident/calico/striped/k1/h0/u64/get16,7.999198248838619,1.851439390920196,4.320529361138247,2.9682367913539016,1.8539714063191797,1.6010154100741778,True,False
resident/series/avx512/striped/k1/h0/u64/get16,admitted,resident/series/avx512/striped/k1/h0/u64/admitted-region/get16,7.797162502672711,1.384257945064347,5.632738125487342,3.6241742977512565,1.3978226878785511,2.59272819734497,True,False
resident/series/avx512/striped/k1/h0/u64/get16,raw,resident/series/avx512/striped/k1/h0/u64/raw-dense/get16,7.797162502672711,1.604722981664518,4.858883802227978,3.6241742977512565,1.3929828529033181,2.6017364752176153,True,False
resident/series/avx512/striped/k1/h0/u64/get16,predecessor,resident/predecessor/striped/k1/h0/u64/get16,7.797162502672711,1.5070416809310796,5.173820075006467,3.6241742977512565,1.6077012033838427,2.2542586210193782,True,False
resident/series/avx512/striped/k1/h0/u64/get16,calico,resident/calico/striped/k1/h0/u64/get16,7.797162502672711,1.851439390920196,4.211405753227164,3.6241742977512565,1.8539714063191797,1.954816716912903,True,False
resident/series/avx2/local/k2/h0/u64/get16,admitted,resident/series/avx2/local/k2/h0/u64/admitted-region/get16,9.936464364782019,1.6117445325140074,6.165036805977602,2.969989286921597,1.615240658061622,1.8387286576142456,True,False
