src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,candidates_considered
1,3,az1b,az2b,1,2,2,all-legs,3,1,154.89645102171676,156.83868340526828,156.83868340526828,157.37558820727259,159.1190122075128,159.1190122075128,159.51810278095525,161.18701607133085,161.18701607133085,115.92972607787794,112.48885275880876,112.21614403338334,211.3855681260261,197.90583779039036,197.90583779039036,314.48575,0.06649697274738742,16
1,4,az1b,az3a,1,3,0,all-legs,3,1,237.85415761121845,238.0551489275518,238.0551489275518,241.0126844299029,241.31075541534528,241.31075541534528,249.73381439424114,246.86639987156903,246.86639987156903,0.0,0.0,0.0,481.31177223213217,481.59525254344345,479.88271394334333,481.4095,0.14167752897469654,16
1,7,az1b,az4b,1,4,3,all-legs,3,1,168.89760339252996,169.727104354152,169.727104354152,173.2050107902648,172.9928637903922,172.9928637903922,177.59937130173032,181.7112832930722,181.7112832930722,124.97168497832824,126.59012237147142,126.59012237147142,224.57665395405405,211.30477069574584,211.30477069574584,350.596,1.2114353104006454,16
0,8,az1a,az5a,1,5,0,all-legs,3,1,105.67718839917751,105.83930911323708,105.83930911323708,112.80141549915308,112.12604788498628,112.04461723864343,120.89617511726712,123.77759569646624,123.77759569646624,65.52714009084087,67.91730569234234,50.54121522117115,158.22968413588586,162.53664172867866,162.53664172867866,211.867,0.23882437619602115,16
0,11,az1a,az6b,1,6,1,all-legs,3,1,227.96789678812956,228.28819217720422,228.1824097288542,241.94817179404012,240.44966996696633,235.8597226782715,274.8303664308426,264.42423939501924,260.7202534435165,186.46558145955964,192.33670499014016,192.33670499014016,277.0990092556556,275.5547803172673,268.79618722502505,468.04949999999997,0.835755424065951,16
3,0,az2b,az1a,2,1,1,all-legs,3,1,154.42895115931168,155.46656368265982,155.46656368265982,156.60400490396563,158.2545974931835,158.2545974931835,162.01015657564653,166.09584805411313,166.09584805411313,112.68550079724716,109.48867707177182,99.87512806706701,210.1784131746747,208.92408189434434,208.92408189434434,310.874,0.6303720785669782,16
3,4,az2b,az3a,2,3,1,all-legs,3,1,295.36359444833266,295.3361176055871,295.3361176055871,299.43426690675267,300.3411971985216,298.6347332431621,323.4617017686355,370.58517544075636,370.58517544075636,0.0,0.0,0.0,692.8199215691191,693.7866286376376,692.1215378607608,693.60425,0.08551457793197415,16
3,7,az2b,az4b,2,4,1,all-legs,3,1,131.42986273576662,127.51169005880143,127.51169005880143,135.19652113626003,130.23469914031182,129.55827371255378,141.66473927783915,134.59414142368456,134.59414142368456,88.2074785648649,89.7908992633634,89.7908992633634,187.33772112467466,167.5535217594594,166.61233150200195,346.23075,3.266013318717654,16
3,8,az2b,az5a,2,5,2,all-legs,3,1,109.38863492820784,111.5064794185491,111.5064794185491,112.2108408927001,114.96065356546434,114.96065356546434,116.60751804053953,117.93240633552752,117.93240633552752,70.26480784724723,71.76830378683687,71.76830378683687,165.43666968278274,161.35730599259267,149.8278350361362,223.53,0.01753533266303009,16
3,11,az2b,az6b,2,6,1,all-legs,3,1,331.36308147677005,330.6171865980579,330.6171865980579,334.1668308595491,334.88327916767423,334.88327916767423,342.36210072607093,338.3617367993603,338.28598606061297,283.77983712652656,286.8253680708708,286.8253680708708,382.919510811962,385.39029399459463,377.8604644290291,934.159,1.6340812152054127,16
5,0,az3b,az1a,3,1,1,all-legs,3,1,230.04466748732796,227.6714260061346,227.6714260061346,233.3349953936194,229.82465035550518,229.82465035550518,246.62733072933378,238.6633561597363,238.6633561597363,0.0,0.0,0.0,479.91763188343344,479.2575609487988,479.2575609487988,479.0695,1.8047364476122993,16
5,2,az3b,az2a,3,2,2,all-legs,3,1,306.94567693372073,303.5212300549634,303.5212300549634,309.0666395441459,306.06585042067775,306.06585042067775,312.8768747114884,310.39595662801656,310.39595662801656,0.0,0.0,0.0,669.9031143382383,669.9679974398399,669.3204010321322,669.732,4.506175707526495,16
5,6,az3b,az4a,3,4,2,all-legs,3,1,281.83548078498757,278.65345355594343,278.65345355594343,284.5251809513944,280.60370526531955,280.60370526531955,287.0345537769577,284.6599767082314,284.6599767082314,0.0,0.0,0.0,582.423058985085,582.474717014965,580.7129185759259,582.26425,1.7045475694104084,16
5,8,az3b,az5a,3,5,1,all-legs,3,1,212.628318593333,207.3985388000952,207.3985388000952,215.95828035445922,210.01223744325918,210.01223744325918,223.19046978482146,218.34580723039386,218.34580723039386,0.0,0.0,0.0,439.8634543888889,439.38962831776774,437.94823126751754,439.219,2.822189895437077,16
5,11,az3b,az6b,3,6,3,all-legs,3,1,173.33461185928667,167.8131020161817,167.8131020161817,175.95963733372196,170.66573163050896,170.66573163050896,180.88111979870052,174.41378132961518,173.44074295632072,0.0,0.0,0.0,370.6767964893894,370.96728596886885,369.8274893201201,370.78625,2.5541129301088006,16
7,0,az4b,az1a,4,1,2,all-legs,3,1,169.13163783526605,170.15380964379088,170.15380964379088,173.8297880534182,176.487934345599,174.03730664043985,195.58085539186808,194.8797714128297,183.3954816260823,127.65103791521523,122.76633703803802,112.44067236951952,225.4366377629629,224.85831639159161,224.85831639159161,347.01175,1.4341333504153795,16
7,3,az4b,az2b,4,2,3,all-legs,3,1,129.72714010736686,130.2648818399451,130.2648818399451,132.96070106899754,133.6482493252239,133.6482493252239,151.7321475746404,140.41033125602672,140.41033125602672,81.24810599739739,88.71429720915916,78.45523086721721,184.84796790075075,182.42887422597593,182.42887422597593,267.1875,0.9766790976431707,16
6,4,az4a,az3a,4,3,0,all-legs,3,1,291.4552127347207,288.1331438286478,288.1331438286478,294.89224790924794,290.62091523560224,290.62091523560224,297.1338209919343,297.04231485171675,297.04231485171675,0.0,0.0,0.0,583.3144021464965,580.7346378995495,580.7069520702203,580.55625,0.43895558968290516,16
7,9,az4b,az5b,4,5,0,all-legs,3,1,117.6940380717019,116.78924147648348,116.78924147648348,120.58675007136118,118.50255707346732,118.50255707346732,125.7635664378872,120.92751382179046,120.92751382179046,74.91743183198194,76.59730413463458,62.22799676576575,169.31536368898898,172.58433464284292,172.58433464284292,237.35425,0.8770830299482668,16
6,11,az4a,az6b,4,6,2,all-legs,3,1,387.86796842613535,385.92348921302937,385.92348921302937,392.16340184809746,388.1113076613185,388.1113076613185,399.9080107068667,391.800272988487,391.800272988487,346.63268148093096,341.71394025665666,338.2663334951952,442.55548435015015,439.0944330633133,439.0944330633133,781.807,1.9663848330021665,16
8,0,az5a,az1a,5,1,1,all-legs,3,1,106.80438510617782,107.37537181608492,107.37537181608492,109.98305501678595,110.15728262398484,110.15728262398484,119.2605744942539,114.57066496590156,113.15689695738645,59.88306340455455,67.28685871356353,60.37026455305309,155.36262830255242,152.5088873009009,152.5088873009009,211.83225,0.7006561426142355,16
8,3,az5a,az2b,5,2,0,all-legs,3,1,111.37585143382506,110.38261155602385,110.38261155602385,113.2805793898312,113.42018706275638,113.42018706275638,117.8554309158304,118.20514999638414,118.20514999638414,69.01094223358353,66.04789591541552,58.57474222187177,165.02297337537536,162.47273416571576,162.47273416571576,219.54,0.09223316458893294,16
8,4,az5a,az3a,5,3,3,all-legs,3,1,216.4848229169577,215.9394623922798,215.9394623922798,219.58282370041616,219.12830387933636,219.12830387933636,225.0565263537604,234.89539517938906,220.49975642454916,0.0,0.0,0.0,440.27170219484486,440.53139668098095,440.53139668098095,440.34,0.18118974911678265,16
9,7,az5b,az4b,5,4,2,all-legs,3,1,119.59071223226073,123.69671124133788,123.69671124133788,124.0452597178851,130.47027218064383,130.47027218064383,127.51366331781148,133.11867528756412,133.11867528756412,70.54245821871874,80.485541638939,80.485541638939,175.42775821997003,174.11978539579582,166.02163053948948,256.565,1.1349508101787364,16
9,11,az5b,az6b,5,6,2,all-legs,3,1,291.486763553126,291.0132557537795,291.0132557537795,295.5822682839664,293.02375818063507,293.02375818063507,301.9361790013853,299.94331159739056,295.2827164106798,240.87374856571574,253.76130572772783,253.76130572772783,345.03506164859857,329.05326963363353,329.05326963363353,579.291,0.6579354280833627,16
11,0,az6b,az1a,6,1,2,all-legs,3,1,225.34444394158757,226.55225520841597,226.55225520841597,229.64304119293004,230.01135015335808,230.01135015335808,238.96839220045672,245.13577602880034,241.68121305926232,187.6886807830831,184.58183691206204,172.91376959569578,280.9003291600601,280.0051533501502,280.0051533501502,469.79600000000005,0.356514236058473,16
10,2,az6a,az2a,6,2,2,all-legs,3,1,297.43054889356057,297.4291962985593,297.4291962985593,299.52971409539606,299.7120728395352,299.7120728395352,309.18683670875726,301.81402292268245,301.81402292268245,250.51935138513517,252.68783859634632,252.68783859634632,353.4691881011512,342.61483608653657,342.61483608653657,758.4225,0.9161142529890185,16
11,4,az6b,az3a,6,3,2,all-legs,3,1,175.89074324795257,176.41508296078882,176.41508296078882,177.4986002028041,178.57373151613538,178.57373151613538,183.45559823234234,183.09598166126597,180.9822541019619,0.0,0.0,0.0,357.1118614194695,358.496233526026,356.0776018344845,358.345,0.1031700907559241,16
11,6,az6b,az4a,6,4,3,all-legs,3,1,386.5949031630694,388.2996241988708,387.29440752002216,391.03475017356055,390.81395223620797,390.510255004007,394.1488127310981,405.5674212253381,405.5674212253381,349.7022229994494,337.52752113603606,331.52548934469473,436.3430629588088,441.4514298698699,441.4514298698699,792.5707500000001,0.028950325514813358,16
11,9,az6b,az5b,6,5,0,all-legs,3,1,289.490335905028,290.89207391666025,290.89207391666025,292.0743932980599,293.3423820461898,293.3423820461898,300.86307950604356,299.65927443030597,299.65927443030597,250.05904484144145,247.36677672682663,235.30225743838838,346.55871013188187,346.5813664042542,346.5813664042542,581.4780000000001,0.7544337989186829,16
