node,n,p50_us,p99_us,min_us,max_us
0,13200,6.650742616693082,8.979838101911506,2.518110576656647,36.95666066396481
1,13200,8.373743171876004,15.385458482115789,3.1876961914425483,36.0185485079108
2,13200,7.3803068469011635,12.28908157362219,2.832179138921754,26.03909332790051
3,13200,6.588679771671013,11.831522532314036,0.8191143743311986,33.010620343564774
6,13200,6.423990148124016,10.098671879208919,1.82392251333459,45.72617269514239
7,13200,6.056309169491767,10.643668679333759,3.610916088116006,30.05485482639933
8,13200,5.750313745195687,8.79338680534454,2.478299157743895,50.59258650293964
9,13200,5.954739507946069,9.6543493036764,2.1778500211730134,66.50009464963257
10,13200,6.129315136960285,8.42012786138585,3.8758456815274838,16.463475049212224
11,13200,7.074660214075513,10.554563501984184,3.8624632378451644,69.05951393312178
