src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,baseline_flow,baseline_holdout_worst_p50_us,baseline_holdout_request_p50_us,holdout_worst_gain_vs_flow0_us,holdout_request_gain_vs_flow0_us
0,1,az1a,az1b,1,1,3,all-legs,3,1,23.700263916918075,20.896673611033705,20.896673611033705,26.44112629750342,22.967741362969882,22.967741362969882,31.822643545923547,26.138548215157822,26.138548215157822,0.0,0.0,0.0,44.95934048583584,44.2897506427928,44.2897506427928,44.15675,0.9614155859639268,0,24.694339324739992,24.694339324739992,3.7976657137062872,3.7976657137062872
0,2,az1a,az2a,1,2,2,all-legs,3,1,208.00920434442793,206.92284034904702,206.92284034904702,211.78155310528842,209.84961775579475,209.84961775579475,217.5717059623014,217.75364228292062,217.75364228292062,168.49764322292287,166.07548335925944,166.07548335925944,263.04578596756755,252.33657285320328,252.33657285320328,440.26800000000003,1.4891692635110303,0,206.09212316816027,206.09212316816027,-0.8307171808867508,-0.8307171808867508
0,3,az1a,az2b,1,2,2,all-legs,3,1,155.61306173135765,154.36853084750322,154.36853084750322,157.8437557242438,156.9548266369643,156.9548266369643,166.00766689927588,160.95112441564277,160.95112441564277,117.66884357517526,110.42095560125134,105.91969319979981,212.4309655384384,205.99195924434446,205.99195924434446,310.49725,0.7121367594677679,0,156.86829496669037,156.86829496669037,2.499764119187148,2.499764119187148
0,4,az1a,az3a,1,3,0,all-legs,3,1,238.54200446495145,237.62468366558687,237.62468366558687,240.95828432758321,240.037579955455,240.037579955455,248.63855998560683,247.64874303172425,247.64874303172425,0.0,0.0,0.0,480.42986121301306,480.426818024975,480.426818024975,480.26099999999997,0.7105227767460747,0,237.62468366558687,237.62468366558687,0.0,0.0
0,5,az1a,az3b,1,3,2,all-legs,3,1,251.53360456658555,253.9242353690173,253.9242353690173,254.27781234542422,257.7595846180252,257.7595846180252,271.1596041266734,265.98148673466716,265.98148673466716,0.0,0.0,0.0,482.17084915815815,480.6248893588088,480.6248893588088,480.45,3.89153640747989,0,254.06544097414317,254.06544097414317,0.14120560512586167,0.14120560512586167
0,6,az1a,az4a,1,4,0,all-legs,3,1,187.92634104690188,189.13361144101833,189.13361144101833,192.45143834395913,195.39602370101375,195.39602370101375,201.9761452872444,209.90997043141354,209.41187858301788,150.16406863098098,149.17093160390388,137.42963661281277,232.49950847427425,244.0146017150651,244.0146017150651,395.22925,0.44707228810781885,0,189.13361144101833,189.13361144101833,0.0,0.0
0,7,az1a,az4b,1,4,2,all-legs,3,1,177.7990617822783,176.04830827497238,176.04830827497238,180.38982074190616,180.579119042266,180.579119042266,186.22914200520887,188.1540571256474,188.1540571256474,136.47650106066064,130.15433845775766,130.15433845775766,232.83815813928925,233.3036329482983,229.07822197872872,347.01175,0.6378284628131325,0,181.78052360179956,180.16524611301747,5.732215326827173,4.116937838045089
0,8,az1a,az5a,1,5,0,all-legs,3,1,105.67718839917751,105.83930911323708,105.83930911323708,112.80141549915308,112.12604788498628,112.04461723864343,120.89617511726712,123.77759569646624,123.77759569646624,65.52714009084087,67.91730569234234,50.54121522117115,158.22968413588586,162.53664172867866,162.53664172867866,211.867,0.23882437619602115,0,105.83930911323708,105.83930911323708,0.0,0.0
0,9,az1a,az5b,1,5,0,all-legs,3,1,115.26760696217563,116.19961629620323,116.19961629620323,120.01259472896318,120.6996902308853,119.79156502736994,126.50749411261229,131.03386456211678,125.03985640675042,73.70465162557562,77.38372204599594,65.89138292402419,170.3499137456456,168.76328699739742,168.76328699739742,232.41475,0.21137361738946936,0,116.19961629620323,116.19961629620323,0.0,0.0
0,10,az1a,az6a,1,6,1,all-legs,3,1,277.6319923396429,278.1529277120869,276.2618441804418,301.90260723713607,304.0876732521399,289.4910751755853,343.79096204012876,354.1672728052747,316.014413542287,240.4680172849349,237.35506363333343,221.47996244779787,333.44716739379373,335.1637887862363,335.1637887862363,569.359,0.6579888589510006,0,287.0766549940473,287.0766549940473,8.923727281960396,10.814810813605504
0,11,az1a,az6b,1,6,1,all-legs,3,1,227.96789678812956,228.28819217720422,228.1824097288542,241.94817179404012,240.44966996696633,235.8597226782715,274.8303664308426,264.42423939501924,260.7202534435165,186.46558145955964,192.33670499014016,192.33670499014016,277.0990092556556,275.5547803172673,268.79618722502505,468.04949999999997,0.835755424065951,0,225.8365026630206,225.8365026630206,-2.451689514183613,-2.345907065833586
1,0,az1b,az1a,1,1,3,all-legs,3,1,21.18966247342463,22.547469974015605,22.547469974015605,26.816982433838085,28.644141418107935,24.003409374694943,29.798746621039378,44.06265985526692,25.477656646550436,0.0,0.0,0.0,44.95934048583584,44.2897506427928,40.37675975770771,44.15675,0.680198665450181,0,22.69204642685939,22.69204642685939,0.14457645284378629,0.14457645284378629
1,2,az1b,az2a,1,2,3,all-legs,3,1,207.4461764424026,209.06309878440726,209.06309878440726,212.1377363112471,213.1759763763852,213.1759763763852,219.5147584267586,220.93811307149264,220.93811307149264,167.62202346901904,154.05423879819813,151.52695509604604,262.7156929491492,264.9999204418418,264.9999204418418,417.868,0.15327860400350346,0,210.0788431149337,210.0788431149337,1.015744330526445,1.015744330526445
1,3,az1b,az2b,1,2,2,all-legs,3,1,154.89645102171676,156.83868340526828,156.83868340526828,157.37558820727259,159.1190122075128,159.1190122075128,159.51810278095525,161.18701607133085,161.18701607133085,115.92972607787794,112.48885275880876,112.21614403338334,211.3855681260261,197.90583779039036,197.90583779039036,314.48575,0.06649697274738742,0,156.98492760828964,156.98492760828964,0.14624420302135377,0.14624420302135377
